date,fishing
2012-01-01,0
2012-01-02,11
2012-01-03,25
2012-01-04,11
2012-01-05,11
2012-01-06,0
2012-01-07,7
2012-01-08,16
2012-01-09,35
2012-01-10,58
2012-01-11,51
2012-01-12,111
2012-01-13,111
2012-01-14,127
2012-01-15,106
2012-01-16,134
2012-01-17,119
2012-01-18,134
2012-01-19,147
2012-01-20,176
2012-01-21,115
2012-01-22,153
2012-01-23,157
2012-01-24,197
2012-01-25,179
2012-01-26,254
2012-01-27,267
2012-01-28,273
2012-01-29,427
2012-01-30,418
2012-01-31,483
2012-02-01,449
2012-02-02,467
2012-02-03,637
2012-02-04,725
2012-02-05,728
2012-02-06,698
2012-02-07,628
2012-02-08,733
2012-02-09,631
2012-02-10,735
2012-02-11,752
2012-02-12,768
2012-02-13,773
2012-02-14,726
2012-02-15,792
2012-02-16,848
2012-02-17,1088
2012-02-18,1121
2012-02-19,945
2012-02-20,827
2012-02-21,851
2012-02-22,781
2012-02-23,937
2012-02-24,919
2012-02-25,1064
2012-02-26,1217
2012-02-27,1279
2012-02-28,1128
2012-02-29,1134
2012-03-01,1088
2012-03-02,1043
2012-03-03,1043
2012-03-04,1043
2012-03-05,1030
2012-03-06,1102
2012-03-07,1128
2012-03-08,1034
2012-03-09,1073
2012-03-10,1045
2012-03-11,1200
2012-03-12,1177
2012-03-13,1140
2012-03-14,1447
2012-03-15,1253
2012-03-16,1236
2012-03-17,1155
2012-03-18,1148
2012-03-19,1296
2012-03-20,1257
2012-03-21,1477
2012-03-22,1305
2012-03-23,1325
2012-03-24,1550
2012-03-25,1523
2012-03-26,1552
2012-03-27,1598
2012-03-28,1508
2012-03-29,1306
2012-03-30,1260
2012-03-31,1331
2012-04-01,1503
2012-04-02,1523
2012-04-03,1391
2012-04-04,1235
2012-04-05,1067
2012-04-06,1099
2012-04-07,1137
2012-04-08,1624
2012-04-09,1558
2012-04-10,1323
2012-04-11,1376
2012-04-12,1283
2012-04-13,1121
2012-04-14,1135
2012-04-15,1314
2012-04-16,1434
2012-04-17,1474
2012-04-18,1371
2012-04-19,1246
2012-04-20,1169
2012-04-21,1354
2012-04-22,1646
2012-04-23,1525
2012-04-24,1580
2012-04-25,1439
2012-04-26,1669
2012-04-27,1554
2012-04-28,1492
2012-04-29,1509
2012-04-30,1285
2012-05-01,1157
2012-05-02,1023
2012-05-03,903
2012-05-04,1029
2012-05-05,941
2012-05-06,1100
2012-05-07,1093
2012-05-08,1116
2012-05-09,971
2012-05-10,940
2012-05-11,876
2012-05-12,1152
2012-05-13,1085
2012-05-14,1243
2012-05-15,1105
2012-05-16,1051
2012-05-17,1069
2012-05-18,855
2012-05-19,986
2012-05-20,750
2012-05-21,636
2012-05-22,822
2012-05-23,836
2012-05-24,875
2012-05-25,828
2012-05-26,900
2012-05-27,841
2012-05-28,758
2012-05-29,830
2012-05-30,964
2012-05-31,940
2012-06-01,812
2012-06-02,835
2012-06-03,831
2012-06-04,706
2012-06-05,485
2012-06-06,453
2012-06-07,619
2012-06-08,595
2012-06-09,867
2012-06-10,1143
2012-06-11,1092
2012-06-12,1052
2012-06-13,1054
2012-06-14,1134
2012-06-15,1018
2012-06-16,996
2012-06-17,955
2012-06-18,1000
2012-06-19,945
2012-06-20,1037
2012-06-21,1102
2012-06-22,586
2012-06-23,472
2012-06-24,377
2012-06-25,981
2012-06-26,1216
2012-06-27,1200
2012-06-28,1127
2012-06-29,618
2012-06-30,927
2012-07-01,1066
2012-07-02,585
2012-07-03,432
2012-07-04,998
2012-07-05,464
2012-07-06,875
2012-07-07,1249
2012-07-08,1425
2012-07-09,1377
2012-07-10,1321
2012-07-11,1086
2012-07-12,964
2012-07-13,359
2012-07-14,408
2012-07-15,1104
2012-07-16,1212
2012-07-17,1032
2012-07-18,1072
2012-07-19,1186
2012-07-20,1221
2012-07-21,1328
2012-07-22,1225
2012-07-23,1215
2012-07-24,1070
2012-07-25,986
2012-07-26,483
2012-07-27,469
2012-07-28,228
2012-07-29,272
2012-07-30,1031
2012-07-31,1391
2012-08-01,1410
2012-08-02,1349
2012-08-03,1230
2012-08-04,1189
2012-08-05,1280
2012-08-06,1333
2012-08-07,1220
2012-08-08,1207
2012-08-09,1327
2012-08-10,1354
2012-08-11,1239
2012-08-12,1115
2012-08-13,1184
2012-08-14,1147
2012-08-15,1572
2012-08-16,1649
2012-08-17,1655
2012-08-18,1669
2012-08-19,1604
2012-08-20,1548
2012-08-21,1129
2012-08-22,1224
2012-08-23,1317
2012-08-24,1394
2012-08-25,1294
2012-08-26,1324
2012-08-27,1188
2012-08-28,959
2012-08-29,1230
2012-08-30,1610
2012-08-31,1591
2012-09-01,1517
2012-09-02,1657
2012-09-03,1294
2012-09-04,1416
2012-09-05,1673
2012-09-06,1422
2012-09-07,1470
2012-09-08,1486
2012-09-09,1454
2012-09-10,1229
2012-09-11,1347
2012-09-12,1298
2012-09-13,1210
2012-09-14,1265
2012-09-15,1448
2012-09-16,1532
2012-09-17,1599
2012-09-18,1501
2012-09-19,1693
2012-09-20,1562
2012-09-21,1620
2012-09-22,1589
2012-09-23,1547
2012-09-24,1307
2012-09-25,1558
2012-09-26,1112
2012-09-27,1158
2012-09-28,1408
2012-09-29,1739
2012-09-30,1622
2012-10-01,1730
2012-10-02,1434
2012-10-03,1714
2012-10-04,1593
2012-10-05,1509
2012-10-06,1638
