date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,10
2012-01-21,11
2012-01-22,2
2012-03-10,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-13,22
2012-05-14,21
2012-05-15,24
2012-05-16,10
2012-05-17,9
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-28,0
2012-05-29,0
2012-06-08,0
2012-06-09,4
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-10-16,10
2012-10-18,13
2012-10-19,4
2012-11-21,0
2012-11-22,14
2012-11-23,4
2012-11-26,13
2012-11-27,14
2012-11-28,25
2012-11-29,28
2012-11-30,23
2012-12-01,23
2012-12-02,11
2012-12-03,0
2012-12-04,0
2012-12-24,0
2012-12-25,0
2012-12-26,20
2012-12-27,9
2012-12-28,6
2012-12-29,26
2012-12-30,9
2012-12-31,0
2013-05-29,0
2013-05-30,0
2013-10-18,19
2013-10-19,18
2013-10-20,23
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-26,0
2013-10-27,0
2013-10-28,0
2013-10-29,0
2013-10-30,0
2013-10-31,0
2013-11-01,0
2013-11-02,0
2013-11-03,0
2013-11-04,0
2013-11-05,0
2013-11-06,0
2013-11-07,0
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,0
2013-11-12,0
2013-11-13,0
2013-11-14,0
2013-11-15,13
2013-11-16,0
2013-11-17,0
2013-11-18,1
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,0
2013-11-23,0
2013-11-24,0
2013-11-25,0
2013-11-26,0
2013-11-27,0
2013-11-28,0
2013-11-29,0
2013-11-30,0
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,17
2013-12-12,2
2013-12-13,9
2013-12-14,0
2013-12-15,0
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-21,0
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,0
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,1
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-11,2
2014-01-12,6
2014-01-13,0
2014-01-14,0
2014-01-15,0
