date,fishing
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-24,0
2012-10-25,0
2012-10-26,6
2012-10-27,3
2012-10-28,0
2012-10-29,8
2012-10-30,2
2012-10-31,3
2012-11-01,2
2012-11-02,9
2012-11-03,21
2012-11-04,41
2012-11-05,43
2012-11-06,28
2012-11-07,14
2012-11-08,1
2012-11-09,14
2012-11-10,5
2012-11-11,13
2012-11-12,19
2012-11-13,29
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,28
2012-11-18,23
2012-11-19,22
2012-11-20,0
2012-11-21,15
2012-11-22,2
2012-11-23,41
2012-11-24,23
2012-11-25,28
2012-11-26,18
2012-11-27,25
2012-11-28,17
2012-11-29,26
2012-11-30,13
2012-12-01,18
2012-12-02,25
2012-12-03,33
2012-12-04,0
2012-12-05,8
2012-12-06,0
2012-12-07,0
2012-12-08,23
2012-12-09,0
2012-12-10,16
2012-12-11,36
2012-12-12,19
2012-12-13,13
2012-12-14,15
2012-12-15,7
2012-12-16,20
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-27,2
2013-01-10,0
2013-01-11,0
2013-01-12,1
2013-01-14,1
2013-01-15,9
2013-01-16,0
2013-01-17,0
2013-01-20,36
2013-01-21,29
2013-01-23,8
2013-01-29,0
2013-01-30,8
2013-01-31,0
2013-02-01,0
2013-02-02,8
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,16
2013-02-07,0
2013-02-08,0
2013-02-09,15
2013-02-10,7
2013-02-11,37
2013-02-12,44
2013-02-13,8
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,21
2013-02-18,45
2013-02-19,39
2013-02-20,0
2013-02-21,35
2013-02-22,35
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,26
2013-03-02,8
2013-03-03,22
2013-03-04,45
2013-03-05,7
2013-03-06,39
2013-03-07,43
2013-03-08,37
2013-03-09,33
2013-03-10,22
2013-03-11,9
2013-03-12,36
2013-03-13,38
2013-03-14,20
2013-03-15,0
2013-03-16,0
2013-03-17,0
2013-03-18,19
2013-03-19,0
2013-03-20,37
2013-03-21,43
2013-03-22,4
2013-03-23,5
2013-03-24,5
2013-03-25,0
2013-03-26,0
2013-03-28,0
2013-03-29,24
2013-03-30,66
2013-03-31,50
2013-04-01,48
2013-04-02,60
2013-04-03,19
2013-04-04,41
2013-04-05,48
2013-04-06,35
2013-04-07,0
2013-04-08,0
2013-04-10,47
2013-04-11,90
2013-04-12,47
2013-04-13,61
2013-04-14,45
2013-04-15,19
2013-04-16,0
2013-04-17,0
2013-04-18,0
2013-04-19,58
2013-04-20,88
2013-04-21,40
2013-04-22,59
2013-04-23,35
2013-04-24,35
2013-04-25,41
2013-04-26,45
2013-04-27,15
2013-04-28,38
2013-04-29,45
2013-04-30,44
2013-05-01,13
2013-05-02,21
2013-05-03,7
2013-05-04,0
2013-05-06,0
2013-05-07,43
2013-05-08,18
2013-05-09,3
2013-05-10,50
2013-05-11,53
2013-05-12,51
2013-05-13,42
2013-05-14,0
2013-05-15,20
2013-05-16,25
2013-05-17,30
2013-05-18,10
2013-05-19,55
2013-05-20,31
2013-05-21,27
2013-05-22,32
2013-05-23,7
2013-05-24,2
2013-05-25,29
2013-05-26,38
2013-05-27,29
2013-05-28,25
2013-05-29,15
2013-05-30,0
2013-06-01,33
2013-06-02,57
2013-06-03,35
2013-06-04,26
2013-06-05,28
2013-06-06,39
2013-06-07,44
2013-06-08,29
2013-06-09,45
2013-06-10,45
2013-06-11,17
2013-06-12,27
2013-06-13,0
2013-06-14,0
2013-06-15,11
2013-06-16,31
2013-06-17,22
2013-06-18,40
2013-06-19,33
2013-06-20,48
2013-06-21,30
2013-06-22,42
2013-06-23,35
2013-06-24,40
2013-06-25,40
2013-06-26,39
2013-06-27,31
2013-06-28,30
2013-06-29,51
2013-06-30,0
2013-07-01,0
2013-07-02,16
2013-07-03,31
2013-07-04,25
2013-07-05,35
2013-07-06,29
2013-07-07,10
2013-07-08,42
2013-07-09,26
2013-07-10,51
2013-07-11,50
2013-07-12,18
2013-07-13,21
2013-07-14,37
2013-07-15,23
2013-07-16,46
2013-07-17,0
2013-07-18,11
2013-07-19,48
2013-07-20,43
2013-07-21,0
2013-07-22,43
2013-07-23,39
2013-07-24,43
2013-07-25,70
2013-07-26,69
2013-07-27,46
2013-07-28,34
2013-07-29,41
2013-07-30,39
2013-07-31,33
2013-08-01,0
2013-08-02,19
2013-08-03,57
2013-08-04,30
2013-08-05,22
2013-08-06,32
2013-08-07,21
2013-08-08,22
2013-08-09,34
2013-08-10,22
2013-08-11,5
2013-08-12,29
2013-08-13,29
2013-08-14,58
2013-08-15,23
2013-08-16,0
2013-08-17,0
2013-08-18,6
2013-08-19,15
2013-08-20,39
2013-08-21,0
2013-08-22,0
2013-08-23,4
2013-08-24,29
2013-08-25,32
2013-08-26,34
2013-08-27,28
2013-08-28,17
2013-08-29,17
2013-08-30,1
2013-08-31,29
2013-09-01,56
2013-09-02,23
2013-09-03,0
2013-09-04,2
2013-09-05,16
2013-09-06,14
2013-09-07,19
2013-09-08,5
2013-09-09,29
2013-09-10,23
2013-09-11,36
2013-09-12,32
2013-09-13,2
2013-09-14,0
2013-09-15,0
2013-09-16,17
2013-09-17,18
2013-09-18,30
2013-09-19,32
2013-09-20,0
2013-09-21,20
2013-09-22,23
2013-09-23,15
2013-09-24,13
2013-09-25,25
2013-09-26,23
2013-09-27,18
2013-09-28,1
2013-09-29,19
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,8
2013-10-05,65
2013-10-06,55
2013-10-07,95
2013-10-08,95
2013-10-09,116
2013-10-10,89
2013-10-11,56
2013-10-12,53
2013-10-13,73
2013-10-14,49
2013-10-15,80
2013-10-16,86
2013-10-17,11
2013-10-18,30
2013-10-19,77
2013-10-20,95
2013-10-21,81
2013-10-22,67
2013-10-23,91
2013-10-24,22
2013-10-25,72
2013-10-26,31
2013-10-27,35
2013-10-28,41
2013-10-29,56
2013-10-30,60
2013-10-31,73
2013-11-01,18
2013-11-02,45
2013-11-03,52
2013-11-04,28
2013-11-05,2
2013-11-06,0
2013-11-07,27
2013-11-08,46
2013-11-09,25
2013-11-10,41
2013-11-11,23
2013-11-12,17
2013-11-13,6
2013-11-14,4
2013-11-15,0
2013-11-16,0
2013-11-17,20
2013-11-18,31
2013-11-19,11
2013-11-20,11
2013-11-21,7
2013-11-22,9
2013-11-23,19
2013-11-24,4
2013-11-25,0
2013-11-26,0
2013-11-27,0
2013-11-28,0
2013-11-29,0
2013-11-30,14
2013-12-01,8
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,1
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,5
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,0
2013-12-14,9
2013-12-15,38
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,27
2013-12-20,26
2013-12-21,18
2013-12-22,12
2013-12-23,0
2013-12-26,0
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,0
2014-01-01,0
2014-01-02,0
2014-01-03,1
2014-01-04,17
2014-01-05,7
2014-01-06,4
2014-01-07,5
2014-01-08,30
2014-01-09,17
2014-01-10,50
2014-01-11,47
2014-01-12,41
2014-01-13,13
2014-01-14,23
2014-01-15,14
2014-01-16,0
2014-01-17,1
2014-01-18,4
2014-01-19,0
2014-01-20,0
2014-01-21,5
2014-01-22,28
2014-01-23,41
2014-01-24,0
2014-01-25,0
2014-01-26,0
2014-01-27,0
2014-01-28,0
