date,fishing
2012-01-01,3
2012-01-02,0
2012-01-03,9
2012-01-04,11
2012-01-05,4
2012-01-06,14
2012-01-07,13
2012-01-08,22
2012-01-09,25
2012-01-10,31
2012-01-11,18
2012-01-12,53
2012-01-13,28
2012-01-14,26
2012-01-15,13
2012-01-16,14
2012-01-17,8
2012-01-18,3
2012-01-19,8
2012-01-20,8
2012-01-21,8
2012-01-22,8
2012-01-23,7
2012-01-24,23
2012-01-25,14
2012-01-26,25
2012-01-27,65
2012-01-28,31
2012-01-29,30
2012-01-30,32
2012-01-31,35
2012-02-01,24
2012-02-02,28
2012-02-03,21
2012-02-04,29
2012-02-05,30
2012-02-06,18
2012-02-07,37
2012-02-08,38
2012-02-09,27
2012-02-10,42
2012-02-11,43
2012-02-12,28
2012-02-13,47
2012-02-14,36
2012-02-15,14
2012-02-16,31
2012-02-17,57
2012-02-18,28
2012-02-19,19
2012-02-20,23
2012-02-21,45
2012-02-22,7
2012-02-23,12
2012-02-24,38
2012-02-25,48
2012-02-26,58
2012-02-27,56
2012-02-28,30
2012-02-29,21
2012-03-01,59
2012-03-02,63
2012-03-03,60
2012-03-04,70
2012-03-05,82
2012-03-06,80
2012-03-07,52
2012-03-08,81
2012-03-09,54
2012-03-10,48
2012-03-11,42
2012-03-12,55
2012-03-13,46
2012-03-14,69
2012-03-15,90
2012-03-16,77
2012-03-17,69
2012-03-18,54
2012-03-19,68
2012-03-20,52
2012-03-21,76
2012-03-22,57
2012-03-23,83
2012-03-24,40
2012-03-25,30
2012-03-26,41
2012-03-27,45
2012-03-28,45
2012-03-29,114
2012-03-30,60
2012-03-31,77
2012-04-01,64
2012-04-02,56
2012-04-03,83
2012-04-04,77
2012-04-05,93
2012-04-06,80
2012-04-07,80
2012-04-08,61
2012-04-09,57
2012-04-10,50
2012-04-11,50
2012-04-12,66
2012-04-13,79
2012-04-14,83
2012-04-15,91
2012-04-16,50
2012-04-17,96
2012-04-18,61
2012-04-19,122
2012-04-20,102
2012-04-21,89
2012-04-22,56
2012-04-23,53
2012-04-24,50
2012-04-25,33
2012-04-26,75
2012-04-27,71
2012-04-28,93
2012-04-29,96
2012-04-30,97
2012-05-01,89
2012-05-02,112
2012-05-03,122
2012-05-04,88
2012-05-05,71
2012-05-06,63
2012-05-07,73
2012-05-08,119
2012-05-09,63
2012-05-10,106
2012-05-11,100
2012-05-12,82
2012-05-13,130
2012-05-14,125
2012-05-15,117
2012-05-16,83
2012-05-17,78
2012-05-18,83
2012-05-19,75
2012-05-20,59
2012-05-21,98
2012-05-22,100
2012-05-23,100
2012-05-24,79
2012-05-25,69
2012-05-26,92
2012-05-27,44
2012-05-28,36
2012-05-29,44
2012-05-30,38
2012-05-31,57
2012-06-01,73
2012-06-02,46
2012-06-03,24
2012-06-04,57
2012-06-05,60
2012-06-06,12
2012-06-07,40
2012-06-08,87
2012-06-09,70
2012-06-10,117
2012-06-11,103
2012-06-12,86
2012-06-13,71
2012-06-14,23
2012-06-15,35
2012-06-16,31
2012-06-17,38
2012-06-18,38
2012-06-19,34
2012-06-20,34
2012-06-21,18
2012-06-22,24
2012-06-23,54
2012-06-24,22
2012-06-25,23
2012-06-26,48
2012-06-27,52
2012-06-28,54
2012-06-29,89
2012-06-30,58
2012-07-01,41
2012-07-02,60
2012-07-03,42
2012-07-04,50
2012-07-05,56
2012-07-06,63
2012-07-07,47
2012-07-08,14
2012-07-09,66
2012-07-10,65
2012-07-11,61
2012-07-12,49
2012-07-13,37
2012-07-14,18
2012-07-15,63
2012-07-16,76
2012-07-17,79
2012-07-18,36
2012-07-19,68
2012-07-20,96
2012-07-21,56
2012-07-22,75
2012-07-23,88
2012-07-24,69
2012-07-25,38
2012-07-26,111
2012-07-27,174
2012-07-28,151
2012-07-29,102
2012-07-30,162
2012-07-31,157
2012-08-01,122
2012-08-02,133
2012-08-03,123
2012-08-04,73
2012-08-05,102
2012-08-06,127
2012-08-07,110
2012-08-08,35
2012-08-09,112
2012-08-10,139
2012-08-11,120
2012-08-12,89
2012-08-13,146
2012-08-14,112
2012-08-15,99
2012-08-16,94
2012-08-17,63
2012-08-18,81
2012-08-19,104
2012-08-20,119
2012-08-21,120
2012-08-22,130
2012-08-23,106
2012-08-24,111
2012-08-25,94
2012-08-26,73
2012-08-27,82
2012-08-28,59
2012-08-29,29
2012-08-30,27
2012-08-31,43
2012-09-01,54
2012-09-02,27
2012-09-03,45
2012-09-04,55
2012-09-05,0
2012-09-06,14
2012-09-07,87
2012-09-08,61
2012-09-09,43
2012-09-10,53
2012-09-11,44
2012-09-12,13
2012-09-13,31
2012-09-14,37
2012-09-15,58
2012-09-16,31
2012-09-17,27
2012-09-18,40
2012-09-19,42
2012-09-20,107
2012-09-21,92
2012-09-22,94
2012-09-23,92
2012-09-24,73
2012-09-25,57
2012-09-26,76
2012-09-27,66
2012-09-28,57
2012-09-29,59
2012-09-30,58
2012-10-01,55
2012-10-02,44
2012-10-03,33
2012-10-04,82
2012-10-05,74
2012-10-06,37
2012-10-07,62
2012-10-08,98
2012-10-09,117
2012-10-10,81
2012-10-11,54
2012-10-12,61
2012-10-13,68
2012-10-14,77
2012-10-15,44
2012-10-16,81
2012-10-17,34
2012-10-18,15
2012-10-19,16
2012-10-20,12
2012-10-21,32
2012-10-22,35
2012-10-23,30
2012-10-24,1
2012-10-25,9
2012-10-26,15
2012-10-27,12
2012-10-28,11
2012-10-29,30
2012-10-30,8
2012-10-31,13
2012-11-01,19
2012-11-02,32
2012-11-03,22
2012-11-04,34
2012-11-05,19
2012-11-06,73
2012-11-07,46
2012-11-08,68
2012-11-09,54
2012-11-10,57
2012-11-11,32
2012-11-12,30
2012-11-13,20
2012-11-14,11
2012-11-15,2
2012-11-16,7
2012-11-17,5
2012-11-18,30
2012-11-19,59
2012-11-20,41
2012-11-21,50
2012-11-22,64
2012-11-23,54
2012-11-24,58
2012-11-25,104
2012-11-26,41
2012-11-27,44
2012-11-28,27
2012-11-29,65
2012-11-30,61
2012-12-01,30
2012-12-02,45
2012-12-03,17
2012-12-04,55
2012-12-05,12
2012-12-06,56
2012-12-07,46
2012-12-08,54
2012-12-09,30
2012-12-10,53
2012-12-11,25
2012-12-12,46
2012-12-13,42
2012-12-14,31
2012-12-15,27
2012-12-16,65
2012-12-17,42
2012-12-18,48
2012-12-19,59
2012-12-20,20
2012-12-21,30
2012-12-22,25
2012-12-23,23
2012-12-24,23
2012-12-25,23
2012-12-26,25
2012-12-27,18
2012-12-28,0
2012-12-29,8
2012-12-30,26
2012-12-31,2
2013-01-01,12
2013-01-02,31
2013-01-03,19
2013-01-04,22
2013-01-05,11
2013-01-06,25
2013-01-07,23
2013-01-08,17
2013-01-09,28
2013-01-10,0
2013-01-11,14
2013-01-12,7
2013-01-13,10
2013-01-14,22
2013-01-15,27
2013-01-16,19
2013-01-17,18
2013-01-18,45
2013-01-19,43
2013-01-20,34
2013-01-21,48
2013-01-22,24
2013-01-23,24
2013-01-24,24
2013-01-25,48
2013-01-26,39
2013-01-27,18
2013-01-28,9
2013-01-29,13
2013-01-30,17
2013-01-31,30
2013-02-01,29
2013-02-02,25
2013-02-03,19
2013-02-04,32
2013-02-05,35
2013-02-06,41
2013-02-07,55
2013-02-08,67
2013-02-09,45
2013-02-10,59
2013-02-11,50
2013-02-12,42
2013-02-13,18
2013-02-14,16
2013-02-15,14
2013-02-16,43
2013-02-17,41
2013-02-18,19
2013-02-19,17
2013-02-20,14
2013-02-21,37
2013-02-22,33
2013-02-23,55
2013-02-24,76
2013-02-25,80
2013-02-26,50
2013-02-27,36
2013-02-28,24
