date,fishing
2012-01-01,0
2012-01-02,4
2012-01-03,19
2012-01-04,50
2012-01-05,34
2012-01-06,23
2012-01-07,20
2012-01-08,44
2012-01-09,36
2012-01-10,48
2012-01-11,35
2012-01-12,34
2012-01-13,23
2012-01-14,47
2012-01-15,48
2012-01-16,31
2012-01-17,65
2012-01-18,59
2012-01-19,77
2012-01-20,87
2012-01-21,102
2012-01-22,98
2012-01-23,80
2012-01-24,121
2012-01-25,114
2012-01-26,106
2012-01-27,89
2012-01-28,88
2012-01-29,123
2012-01-30,139
2012-01-31,106
2012-02-01,95
2012-02-02,66
2012-02-03,71
2012-02-04,69
2012-02-05,84
2012-02-06,92
2012-02-07,73
2012-02-08,40
2012-02-09,99
2012-02-10,118
2012-02-11,98
2012-02-12,141
2012-02-13,124
2012-02-14,118
2012-02-15,115
2012-02-16,129
2012-02-17,143
2012-02-18,127
2012-02-19,170
2012-02-20,156
2012-02-21,153
2012-02-22,97
2012-02-23,125
2012-02-24,139
2012-02-25,145
2012-02-26,98
2012-02-27,103
2012-02-28,115
2012-02-29,92
2012-03-01,82
2012-03-02,115
2012-03-03,90
2012-03-04,98
2012-03-05,58
2012-03-06,96
2012-03-07,106
2012-03-08,92
2012-03-09,135
2012-03-10,161
2012-03-11,130
2012-03-12,168
2012-03-13,179
2012-03-14,148
2012-03-15,154
2012-03-16,206
2012-03-17,157
2012-03-18,110
2012-03-19,130
2012-03-20,137
2012-03-21,103
2012-03-22,82
2012-03-23,131
2012-03-24,156
2012-03-25,147
2012-03-26,158
2012-03-27,130
2012-03-28,121
2012-03-29,103
2012-03-30,125
2012-03-31,103
2012-04-01,103
2012-04-02,123
2012-04-03,149
2012-04-04,135
2012-04-05,145
2012-04-06,92
2012-04-07,128
2012-04-08,135
2012-04-09,109
2012-04-10,150
2012-04-11,154
2012-04-12,150
2012-04-13,154
2012-04-14,109
2012-04-15,111
2012-04-16,185
2012-04-17,178
2012-04-18,52
2012-04-19,78
2012-04-20,111
2012-04-21,45
2012-04-22,34
2012-04-23,44
2012-04-24,48
2012-04-25,28
2012-04-26,34
2012-04-27,51
2012-04-28,58
2012-04-29,103
2012-04-30,47
2012-05-01,64
2012-05-02,37
2012-05-03,43
2012-05-04,27
2012-05-05,23
2012-05-06,61
2012-05-07,61
2012-05-08,18
2012-05-09,33
2012-05-10,41
2012-05-11,26
2012-05-12,24
2012-05-13,18
2012-05-14,28
2012-05-15,44
2012-05-16,48
2012-05-17,25
2012-05-18,43
2012-05-19,39
2012-05-20,54
2012-05-21,83
2012-05-22,83
2012-05-23,100
2012-05-24,94
2012-05-25,72
2012-05-26,74
2012-05-27,79
2012-05-28,90
2012-05-29,72
2012-05-30,60
2012-05-31,30
2012-06-01,46
2012-06-02,40
2012-06-03,50
2012-06-04,39
2012-06-05,111
2012-06-06,93
2012-06-07,62
2012-06-08,54
2012-06-09,124
2012-06-10,143
2012-06-11,148
2012-06-12,125
2012-06-13,126
2012-06-14,185
2012-06-15,109
2012-06-16,117
2012-06-17,225
2012-06-18,256
2012-06-19,265
2012-06-20,229
2012-06-21,195
2012-06-22,162
2012-06-23,156
2012-06-24,156
2012-06-25,209
2012-06-26,181
2012-06-27,184
2012-06-28,176
2012-06-29,141
2012-06-30,154
2012-07-01,117
2012-07-02,118
