date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,7
2012-01-19,0
2012-01-20,0
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,1
2012-01-25,11
2012-01-26,21
2012-01-27,18
2012-01-28,4
2012-01-29,6
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,3
2012-02-07,0
2012-02-08,5
2012-02-09,3
2012-02-10,6
2012-02-11,0
2012-02-12,0
2012-02-13,0
2012-02-14,0
2012-02-15,5
2012-02-16,14
2012-02-17,21
2012-02-18,18
2012-02-19,14
2012-02-20,0
2012-02-21,0
2012-02-22,17
2012-02-23,12
2012-02-24,7
2012-02-25,12
2012-02-26,15
2012-02-27,24
2012-02-28,18
2012-02-29,5
2012-03-01,11
2012-03-02,1
2012-03-03,0
2012-03-04,6
2012-03-05,5
2012-03-06,17
2012-03-07,0
2012-03-08,0
2012-03-09,10
2012-03-10,6
2012-03-11,0
2012-03-12,7
2012-03-13,0
2012-03-14,0
2012-03-15,5
2012-03-16,6
2012-03-17,0
2012-03-18,7
2012-03-19,19
2012-03-20,20
2012-03-21,5
2012-03-22,3
2012-03-23,5
2012-03-24,6
2012-03-25,5
2012-03-26,6
2012-03-27,0
2012-03-28,5
2012-03-29,9
2012-03-30,15
2012-03-31,11
2012-04-01,23
2012-04-02,11
2012-04-03,8
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,4
2012-04-09,0
2012-04-10,3
2012-04-11,0
2012-04-12,0
2012-04-13,0
2012-04-14,3
2012-04-15,4
2012-04-16,7
2012-04-17,0
2012-04-18,0
2012-04-19,0
2012-04-20,10
2012-04-21,0
2012-04-22,2
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0
2012-05-01,0
2012-05-02,3
2012-05-03,4
2012-05-04,7
2012-05-05,14
2012-05-06,7
2012-05-07,0
2012-05-08,2
2012-05-09,3
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,5
2012-05-17,2
2012-05-18,4
2012-05-19,4
2012-05-20,5
2012-05-21,0
2012-05-22,0
2012-05-23,1
2012-05-24,3
2012-05-25,13
2012-05-26,7
2012-05-27,22
2012-05-28,20
2012-05-29,18
2012-05-30,4
2012-05-31,0
2012-06-01,3
2012-06-02,7
2012-06-03,2
2012-06-04,1
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,11
2012-06-12,17
2012-06-13,11
2012-06-14,7
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,5
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,4
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,10
2012-06-28,7
2012-06-29,0
2012-06-30,0
