date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,11
2012-01-04,24
2012-01-05,23
2012-01-06,23
2012-01-07,22
2012-01-08,11
2012-01-09,0
2012-01-10,12
2012-01-11,15
2012-01-12,0
2012-01-13,6
2012-01-14,21
2012-01-15,11
2012-01-16,17
2012-01-17,7
2012-01-18,0
2012-01-19,13
2012-01-20,26
2012-01-21,20
2012-01-22,27
2012-01-23,27
2012-01-24,13
2012-01-25,7
2012-01-26,9
2012-01-27,0
2012-01-28,0
2012-01-29,14
2012-01-30,25
2012-01-31,22
2012-02-01,23
2012-02-02,23
2012-02-03,28
2012-02-04,17
2012-02-05,37
2012-02-06,36
2012-02-07,56
2012-02-08,41
2012-02-09,19
2012-02-10,34
2012-02-11,31
2012-02-12,36
2012-02-13,35
2012-02-14,38
2012-02-15,42
2012-02-16,49
2012-02-17,51
2012-02-18,43
2012-02-19,41
2012-02-20,47
2012-02-21,37
2012-02-22,24
2012-02-23,36
2012-02-24,24
2012-02-25,25
2012-02-26,26
2012-02-27,13
2012-02-28,12
2012-02-29,24
2012-03-01,26
2012-03-02,3
2012-03-03,6
2012-03-04,24
2012-03-05,28
2012-03-06,20
2012-03-07,23
2012-03-08,21
2012-03-09,5
2012-03-10,22
2012-03-11,8
2012-03-12,23
2012-03-13,27
2012-03-14,24
2012-03-15,21
2012-03-16,23
2012-03-17,29
2012-03-18,30
2012-03-19,22
2012-03-20,44
2012-03-21,42
2012-03-22,34
2012-03-23,39
2012-03-24,34
2012-03-25,3
2012-03-26,5
2012-03-27,15
2012-03-28,16
2012-03-29,33
2012-03-30,15
2012-03-31,32
2012-04-01,34
2012-04-02,42
2012-04-03,39
2012-04-04,58
2012-04-05,28
2012-04-06,32
2012-04-07,40
2012-04-08,46
2012-04-09,70
2012-04-10,59
2012-04-11,56
2012-04-12,45
2012-04-13,45
2012-04-14,47
2012-04-15,48
2012-04-16,47
2012-04-17,48
2012-04-18,46
2012-04-19,46
2012-04-20,44
2012-04-21,49
2012-04-22,47
2012-04-23,47
2012-04-24,46
2012-04-25,43
2012-04-26,35
2012-04-27,39
2012-04-28,45
2012-04-29,23
2012-04-30,18
2012-05-01,8
2012-05-03,11
2012-05-04,41
2012-05-05,18
2012-05-07,0
2012-05-08,16
2012-05-09,34
2012-05-10,23
2012-05-11,19
2012-05-12,3
2012-05-13,37
2012-05-14,30
2012-05-15,36
2012-05-16,25
2012-05-17,19
2012-05-18,35
2012-05-19,61
2012-05-20,26
2012-05-21,36
2012-05-22,22
2012-05-23,47
2012-05-24,43
2012-05-25,14
2012-05-26,0
2012-05-27,28
2012-05-28,13
2012-05-29,22
2012-05-30,19
2012-05-31,22
2012-06-01,11
2012-06-02,16
2012-06-03,17
2012-06-04,38
2012-06-05,70
2012-06-06,36
2012-06-07,40
2012-06-08,23
2012-06-09,16
2012-06-10,26
2012-06-11,26
2012-06-12,35
2012-06-13,47
2012-06-14,50
2012-06-15,45
2012-06-16,31
2012-06-17,29
2012-06-18,36
2012-06-19,36
2012-06-20,7
2012-06-21,25
2012-06-22,41
2012-06-23,44
2012-06-24,40
2012-06-25,53
2012-06-26,28
2012-06-27,23
2012-06-28,35
2012-06-29,47
2012-06-30,35
2012-07-01,23
