date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,10
2012-01-05,21
2012-01-06,23
2012-01-07,20
2012-01-08,22
2012-01-09,29
2012-01-10,35
2012-01-11,40
2012-01-12,41
2012-01-13,31
2012-01-14,63
2012-01-15,61
2012-01-16,60
2012-01-17,88
2012-01-18,56
2012-01-19,32
2012-01-20,63
2012-01-21,32
2012-01-22,42
2012-01-23,45
2012-01-24,57
2012-01-25,33
2012-01-26,52
2012-01-27,47
2012-01-28,85
2012-01-29,83
2012-01-30,33
2012-01-31,49
2012-02-01,19
2012-02-02,45
2012-02-03,50
2012-02-04,38
2012-02-05,46
2012-02-06,31
2012-02-07,41
2012-02-08,37
2012-02-09,64
2012-02-10,61
2012-02-11,108
2012-02-12,104
2012-02-13,110
2012-02-14,81
2012-02-15,107
2012-02-16,113
2012-02-17,131
2012-02-18,160
2012-02-19,128
2012-02-20,131
2012-02-21,127
2012-02-22,121
2012-02-23,92
2012-02-24,115
2012-02-25,135
2012-02-26,186
2012-02-27,92
2012-02-28,130
2012-02-29,166
2012-03-01,185
2012-03-02,174
2012-03-03,165
2012-03-04,165
2012-03-05,195
2012-03-06,136
2012-03-07,173
2012-03-08,162
2012-03-09,154
2012-03-10,121
2012-03-11,119
2012-03-12,114
2012-03-13,151
2012-03-14,159
2012-03-15,173
2012-03-16,109
2012-03-17,99
2012-03-18,120
2012-03-19,151
2012-03-20,155
2012-03-21,207
2012-03-22,189
2012-03-23,94
2012-03-24,89
2012-03-25,133
2012-03-26,264
2012-03-27,222
2012-03-28,202
2012-03-29,92
2012-03-30,49
2012-03-31,68
2012-04-01,87
2012-04-02,152
2012-04-03,122
2012-04-04,136
2012-04-05,160
2012-04-06,93
2012-04-07,55
2012-04-08,48
2012-04-09,127
2012-04-10,110
2012-04-11,72
2012-04-12,88
2012-04-13,102
2012-04-14,94
2012-04-15,93
2012-04-16,123
2012-04-17,111
2012-04-18,148
2012-04-19,217
2012-04-20,157
2012-04-21,176
2012-04-22,154
2012-04-23,227
2012-04-24,215
2012-04-25,179
2012-04-26,176
2012-04-27,153
2012-04-28,173
2012-04-29,192
2012-04-30,252
2012-05-01,235
2012-05-02,269
2012-05-03,287
2012-05-04,170
2012-05-05,147
2012-05-06,142
2012-05-07,207
2012-05-08,223
2012-05-09,254
2012-05-10,151
2012-05-11,99
2012-05-12,104
2012-05-13,139
2012-05-14,188
2012-05-15,217
2012-05-16,144
2012-05-17,172
2012-05-18,157
2012-05-19,181
2012-05-20,251
2012-05-21,331
2012-05-22,278
2012-05-23,185
2012-05-24,229
2012-05-25,210
2012-05-26,146
2012-05-27,130
2012-05-28,265
2012-05-29,224
2012-05-30,176
2012-05-31,149
2012-06-01,111
2012-06-02,82
2012-06-03,142
2012-06-04,205
2012-06-05,206
2012-06-06,202
2012-06-07,158
2012-06-08,105
2012-06-09,92
2012-06-10,102
2012-06-11,211
2012-06-12,123
2012-06-13,173
2012-06-14,146
2012-06-15,112
2012-06-16,73
2012-06-17,112
2012-06-18,147
2012-06-19,176
2012-06-20,246
2012-06-21,141
2012-06-22,106
2012-06-23,116
2012-06-24,124
2012-06-25,106
2012-06-26,102
2012-06-27,91
2012-06-28,145
2012-06-29,181
