date,fishing
2012-01-01,0
2012-01-02,7
2012-01-03,36
2012-01-04,53
2012-01-05,35
2012-01-06,58
2012-01-07,58
2012-01-08,42
2012-01-09,39
2012-01-10,60
2012-01-11,43
2012-01-12,74
2012-01-13,33
2012-01-14,66
2012-01-15,70
2012-01-16,143
2012-01-17,164
2012-01-18,207
2012-01-19,190
2012-01-20,197
2012-01-21,197
2012-01-22,231
2012-01-23,236
2012-01-24,257
2012-01-25,332
2012-01-26,323
2012-01-27,345
2012-01-28,375
2012-01-29,408
2012-01-30,508
2012-01-31,467
2012-02-01,480
2012-02-02,477
2012-02-03,502
2012-02-04,444
2012-02-05,509
2012-02-06,490
2012-02-07,551
2012-02-08,568
2012-02-09,510
2012-02-10,567
2012-02-11,528
2012-02-12,616
2012-02-13,573
2012-02-14,519
2012-02-15,524
2012-02-16,519
2012-02-17,505
2012-02-18,447
2012-02-19,426
2012-02-20,371
2012-02-21,376
2012-02-22,276
2012-02-23,383
2012-02-24,440
2012-02-25,409
2012-02-26,465
2012-02-27,487
2012-02-28,384
2012-02-29,437
2012-03-01,418
2012-03-02,481
2012-03-03,457
2012-03-04,448
2012-03-05,534
2012-03-06,539
2012-03-07,542
2012-03-08,496
2012-03-09,525
2012-03-10,551
2012-03-11,522
2012-03-12,548
2012-03-13,451
2012-03-14,489
2012-03-15,588
2012-03-16,623
2012-03-17,605
2012-03-18,671
2012-03-19,588
2012-03-20,583
2012-03-21,717
2012-03-22,714
2012-03-23,652
2012-03-24,644
2012-03-25,706
2012-03-26,820
2012-03-27,668
2012-03-28,769
2012-03-29,876
2012-03-30,878
2012-03-31,961
2012-04-01,905
2012-04-02,909
2012-04-03,983
2012-04-04,962
2012-04-05,895
2012-04-06,843
2012-04-07,958
2012-04-08,1019
2012-04-09,1093
2012-04-10,1158
2012-04-11,1286
2012-04-12,1218
2012-04-13,1257
2012-04-14,1254
2012-04-15,1182
2012-04-16,1268
2012-04-17,1256
2012-04-18,1227
2012-04-19,1204
2012-04-20,1210
