date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,1
2012-01-07,0
2012-01-08,1
2012-01-09,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,0
2012-01-21,3
2012-01-22,0
2012-01-23,18
2012-01-24,38
2012-01-25,26
2012-01-26,22
2012-01-27,10
2012-01-28,27
2012-01-29,46
2012-01-30,23
2012-01-31,41
2012-02-01,29
2012-02-02,29
2012-02-03,55
2012-02-04,68
2012-02-05,10
2012-02-06,0
2012-02-07,23
2012-02-08,56
2012-02-09,25
2012-02-10,54
2012-02-11,32
2012-02-12,24
2012-02-13,34
2012-02-14,77
2012-02-15,59
2012-02-16,45
2012-02-17,27
2012-02-18,23
2012-02-19,32
2012-02-20,50
2012-02-21,56
2012-02-22,15
2012-02-23,53
2012-02-24,51
2012-02-25,41
2012-02-26,30
2012-02-27,64
2012-02-28,31
2012-02-29,77
2012-03-01,46
2012-03-02,45
2012-03-03,44
2012-03-04,64
2012-03-05,28
2012-03-06,41
2012-03-07,11
2012-03-08,85
2012-03-09,21
2012-03-10,28
2012-03-11,31
2012-03-12,54
2012-03-13,45
2012-03-14,25
2012-03-15,54
2012-03-16,84
2012-03-17,84
2012-03-18,75
2012-03-19,62
2012-03-20,50
2012-03-21,19
2012-03-22,10
2012-03-23,16
2012-03-24,40
2012-03-25,13
2012-03-26,38
2012-03-27,29
2012-03-28,72
2012-03-29,26
2012-03-30,18
2012-03-31,33
2012-04-01,36
2012-04-02,26
2012-04-03,49
2012-04-04,59
2012-04-05,30
2012-04-06,42
2012-04-07,72
2012-04-08,63
2012-04-09,38
2012-04-10,45
2012-04-11,34
2012-04-12,70
2012-04-13,57
2012-04-14,21
2012-04-15,11
2012-04-16,43
2012-04-17,60
2012-04-18,62
2012-04-19,40
2012-04-20,76
2012-04-21,55
2012-04-22,21
2012-04-23,20
2012-04-24,69
2012-04-25,29
2012-04-26,73
2012-04-27,44
2012-04-28,37
2012-04-29,28
2012-04-30,16
2012-05-01,36
2012-05-02,61
2012-05-03,46
2012-05-04,39
2012-05-05,23
2012-05-06,11
2012-05-07,25
2012-05-08,35
2012-05-09,33
2012-05-10,43
2012-05-11,65
2012-05-12,48
2012-05-13,13
2012-05-14,27
2012-05-15,15
2012-05-16,25
2012-05-17,15
2012-05-18,21
2012-05-19,35
2012-05-20,37
2012-05-21,15
2012-05-22,6
2012-05-23,7
2012-05-24,7
2012-05-25,4
2012-05-26,0
2012-05-27,12
2012-05-28,27
2012-05-29,11
2012-05-30,1
2012-05-31,46
2012-06-01,31
2012-06-02,56
2012-06-03,32
2012-06-04,37
2012-06-05,22
2012-06-06,4
2012-06-07,31
2012-06-08,33
2012-06-09,44
2012-06-10,22
2012-06-11,13
2012-06-12,33
2012-06-13,37
2012-06-14,12
2012-06-15,14
2012-06-16,10
2012-06-17,10
2012-06-18,18
2012-06-19,13
2012-06-20,10
2012-06-21,18
2012-06-22,17
2012-06-23,0
2012-06-24,17
2012-06-25,23
2012-06-26,0
2012-06-27,15
2012-06-28,0
2012-06-29,0
