date,fishing
2012-01-01,18
2012-01-02,21
2012-01-03,23
2012-01-04,23
2012-01-05,8
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,23
2012-01-10,23
2012-01-11,23
2012-01-12,23
2012-01-13,23
2012-01-14,23
2012-01-15,22
2012-01-16,24
2012-01-17,24
2012-01-18,24
2012-01-19,23
2012-01-20,23
2012-01-21,23
2012-01-22,24
2012-01-23,23
2012-01-24,23
2012-01-25,14
2012-01-30,8
2012-01-31,23
2012-02-01,29
2012-02-02,19
2012-02-03,24
2012-02-04,23
2012-02-05,21
2012-02-06,15
2012-02-07,0
2012-02-08,5
2012-02-09,23
2012-02-10,24
2012-02-11,23
2012-02-12,24
2012-02-13,23
2012-02-14,19
2012-02-15,19
2012-02-16,19
2012-02-17,23
2012-02-18,24
2012-02-19,23
2012-02-20,19
2012-02-21,23
2012-02-22,29
2012-02-23,11
2012-02-24,2
2012-02-25,27
2012-02-26,18
2012-02-27,13
2012-02-28,18
2012-02-29,28
2012-03-01,23
2012-03-02,12
2012-03-03,23
2012-03-04,23
2012-03-05,24
2012-03-06,20
2012-03-07,28
2012-03-08,16
2012-03-12,9
2012-03-13,19
2012-03-14,21
2012-03-15,24
2012-03-19,0
2012-03-21,0
2012-03-28,4
2012-03-29,20
2012-03-30,13
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,14
2012-04-05,19
2012-04-06,18
2012-04-07,23
2012-04-08,17
2012-04-12,3
2012-04-13,11
2012-04-14,0
2012-04-15,0
2012-04-16,7
2012-04-17,23
2012-04-18,14
2012-04-19,24
2012-04-20,24
2012-04-21,23
2012-04-22,24
2012-04-23,23
2012-04-24,24
2012-04-25,26
2012-04-26,23
2012-04-27,23
2012-04-28,23
2012-04-29,23
2012-04-30,23
2012-05-01,22
2012-05-02,23
2012-05-03,23
2012-05-04,13
2012-05-05,7
2012-05-06,23
2012-05-07,24
2012-05-08,23
2012-05-09,12
2012-05-10,22
2012-05-11,20
2012-05-12,23
2012-05-13,23
2012-05-14,23
2012-05-15,23
2012-05-16,19
2012-05-17,22
2012-05-18,8
2012-05-19,18
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,27
2012-05-24,24
2012-05-25,22
2012-05-27,5
2012-05-28,23
2012-05-29,12
2012-06-02,6
2012-06-03,23
2012-06-04,23
2012-06-05,23
2012-06-06,23
2012-06-07,23
2012-06-08,23
2012-06-09,23
2012-06-10,20
2012-06-11,15
2012-06-12,0
2012-06-13,9
2012-06-14,21
2012-06-15,23
2012-06-16,23
2012-06-17,24
2012-06-18,23
2012-06-19,24
2012-06-20,24
2012-06-21,23
2012-06-22,23
2012-06-23,15
2012-06-24,0
2012-06-25,0
2012-06-26,8
2012-06-27,25
2012-06-28,48
2012-06-29,47
2012-06-30,37
2012-07-01,23
2012-07-02,23
2012-07-03,24
2012-07-04,28
2012-07-05,43
2012-07-06,42
2012-07-07,34
2012-07-08,33
2012-07-09,23
2012-07-10,19
2012-07-11,14
2012-07-12,11
2012-07-13,22
2012-07-14,42
2012-07-15,24
2012-07-16,23
2012-07-17,23
2012-07-18,38
2012-07-19,24
2012-07-20,32
2012-07-21,39
2012-07-22,48
2012-07-23,31
2012-07-24,27
2012-07-25,46
2012-07-26,46
2012-07-27,45
2012-07-28,49
2012-07-29,38
2012-07-30,23
2012-07-31,53
2012-08-01,48
2012-08-02,45
2012-08-03,40
2012-08-04,20
2012-08-05,23
2012-08-06,22
2012-08-07,23
2012-08-08,23
2012-08-09,24
2012-08-10,23
2012-08-11,23
2012-08-12,23
2012-08-13,15
2012-08-14,1
2012-08-15,22
2012-08-16,32
2012-08-17,58
2012-08-18,86
2012-08-19,94
2012-08-20,72
2012-08-21,102
2012-08-22,96
2012-08-23,85
2012-08-24,82
2012-08-25,86
2012-08-26,127
2012-08-27,135
2012-08-28,132
2012-08-29,129
2012-08-30,92
2012-08-31,109
2012-09-01,47
2012-09-02,48
2012-09-03,47
2012-09-04,49
2012-09-05,48
2012-09-06,37
2012-09-07,28
2012-09-08,31
2012-09-09,47
2012-09-10,47
2012-09-11,47
2012-09-12,49
2012-09-13,49
2012-09-14,47
2012-09-15,46
2012-09-16,47
2012-09-17,47
2012-09-18,48
2012-09-19,47
2012-09-20,48
2012-09-21,48
2012-09-22,51
2012-09-23,45
2012-09-24,49
2012-09-25,46
2012-09-26,35
2012-09-27,27
2012-09-28,46
2012-09-29,46
2012-09-30,51
2012-10-01,89
2012-10-02,91
2012-10-03,95
2012-10-04,93
2012-10-05,70
2012-10-06,70
2012-10-07,70
2012-10-08,80
2012-10-09,67
2012-10-10,70
2012-10-11,71
2012-10-12,71
2012-10-13,97
2012-10-14,113
2012-10-15,98
2012-10-16,108
2012-10-17,93
2012-10-18,86
2012-10-19,106
2012-10-20,124
2012-10-21,119
2012-10-22,131
2012-10-23,103
2012-10-24,98
2012-10-25,66
2012-10-26,40
2012-10-27,54
2012-10-28,98
2012-10-29,119
2012-10-30,124
2012-10-31,109
2012-11-01,97
2012-11-02,93
2012-11-03,116
2012-11-04,108
2012-11-05,117
2012-11-06,117
2012-11-07,122
2012-11-08,118
2012-11-09,110
2012-11-10,107
2012-11-11,117
2012-11-12,108
2012-11-13,136
2012-11-14,135
2012-11-15,130
2012-11-16,117
2012-11-17,93
2012-11-18,89
2012-11-19,83
2012-11-20,93
2012-11-21,87
2012-11-22,69
2012-11-23,63
2012-11-24,61
2012-11-25,46
2012-11-26,44
2012-11-27,35
2012-11-28,35
2012-11-29,65
2012-11-30,87
2012-12-01,75
2012-12-02,68
2012-12-03,76
2012-12-04,50
2012-12-05,51
2012-12-06,46
2012-12-07,61
2012-12-08,45
2012-12-09,44
2012-12-10,53
2012-12-11,46
2012-12-12,46
2012-12-13,44
2012-12-14,36
2012-12-15,26
2012-12-16,38
2012-12-17,39
2012-12-18,21
2012-12-19,27
2012-12-20,48
2012-12-21,92
2012-12-22,89
2012-12-23,75
2012-12-24,103
2012-12-25,147
2012-12-26,97
2012-12-27,82
2012-12-28,81
2012-12-29,63
2012-12-30,75
2012-12-31,92
2013-01-01,84
2013-01-02,90
2013-01-03,86
2013-01-04,69
2013-01-05,51
2013-01-06,78
2013-01-07,48
2013-01-08,67
2013-01-09,53
2013-01-10,95
2013-01-11,89
2013-01-12,65
2013-01-13,57
2013-01-14,87
2013-01-15,53
2013-01-16,33
2013-01-17,71
2013-01-18,78
2013-01-19,93
2013-01-20,85
2013-01-21,80
2013-01-22,82
2013-01-23,81
2013-01-24,78
2013-01-25,106
2013-01-26,76
2013-01-27,61
2013-01-28,72
2013-01-29,100
2013-01-30,61
2013-01-31,61
2013-02-01,73
2013-02-02,61
2013-02-03,52
2013-02-04,59
2013-02-05,52
2013-02-06,59
2013-02-07,47
2013-02-08,47
2013-02-09,41
2013-02-10,36
2013-02-11,40
2013-02-12,46
2013-02-13,28
2013-02-14,85
2013-02-15,81
2013-02-16,65
2013-02-17,35
2013-02-18,48
2013-02-19,42
2013-02-20,46
2013-02-21,52
2013-02-22,48
2013-02-23,45
2013-02-24,44
2013-02-25,48
2013-02-26,48
2013-02-27,50
2013-02-28,44
2013-03-01,46
2013-03-02,37
2013-03-03,16
2013-03-04,0
2013-03-05,13
2013-03-06,5
2013-03-07,8
2013-03-08,23
2013-03-09,40
2013-03-10,44
2013-03-11,72
2013-03-12,53
2013-03-13,59
2013-03-14,58
2013-03-15,35
