date,fishing
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,4
2012-06-03,6
2012-06-04,1
2012-06-05,10
2012-06-06,10
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,8
2012-06-15,14
2012-06-16,21
2012-06-17,23
2012-06-18,25
2012-06-19,28
2012-06-20,23
2012-06-21,23
2012-06-22,36
2012-06-23,36
2012-06-24,23
2012-06-25,41
2012-06-26,31
2012-06-27,35
2012-06-28,23
2012-06-29,25
2012-06-30,45
2012-07-01,22
2012-07-02,15
2012-07-03,24
2012-07-04,40
2012-07-05,59
2012-07-06,61
2012-07-07,47
2012-07-08,35
2012-07-09,57
2012-07-10,30
2012-07-11,63
2012-07-12,56
2012-07-13,47
2012-07-14,63
2012-07-15,75
2012-07-16,87
2012-07-17,60
2012-07-18,23
2012-07-19,41
2012-07-20,42
2012-07-21,55
2012-07-22,76
2012-07-23,88
2012-07-24,72
2012-07-25,62
2012-07-26,54
2012-07-27,51
2012-07-28,62
2012-07-29,38
2012-07-30,53
2012-07-31,14
2012-08-01,27
2012-08-02,38
2012-08-03,38
2012-08-04,67
2012-08-05,42
2012-08-06,48
2012-08-07,14
2012-08-08,22
2012-08-09,29
2012-08-10,39
2012-08-11,16
2012-08-12,15
2012-08-13,36
2012-08-14,68
2012-08-15,38
2012-08-16,33
2012-08-17,43
2012-08-18,63
2012-08-19,69
2012-08-20,29
2012-08-21,54
2012-08-22,93
2012-08-23,112
2012-08-24,109
2012-08-25,140
2012-08-26,130
2012-08-27,144
2012-08-28,127
2012-08-29,94
2012-08-30,133
2012-08-31,149
2012-09-01,126
2012-09-02,114
2012-09-03,131
2012-09-04,162
2012-09-05,154
2012-09-06,153
2012-09-07,132
2012-09-08,85
2012-09-09,95
