date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,13
2012-01-07,22
2012-01-08,26
2012-01-09,22
2012-01-10,22
2012-01-11,18
2012-01-12,28
2012-01-13,23
2012-01-14,27
2012-01-15,13
2012-01-16,0
2012-01-17,21
2012-01-18,23
2012-01-19,38
2012-01-20,89
2012-01-21,60
2012-01-22,109
2012-01-23,69
2012-01-24,47
2012-01-25,42
2012-01-26,62
2012-01-27,70
2012-01-28,54
2012-01-29,42
2012-01-30,90
2012-01-31,148
2012-02-01,162
2012-02-02,163
2012-02-03,192
2012-02-04,233
2012-02-05,244
2012-02-06,158
2012-02-07,170
2012-02-08,179
2012-02-09,198
2012-02-10,192
2012-02-11,204
2012-02-12,250
2012-02-13,264
2012-02-14,273
2012-02-15,254
2012-02-16,276
2012-02-17,346
2012-02-18,303
2012-02-19,282
2012-02-20,210
2012-02-21,279
2012-02-22,268
2012-02-23,299
2012-02-24,310
2012-02-25,247
2012-02-26,250
2012-02-27,228
2012-02-28,206
2012-02-29,195
2012-03-01,199
2012-03-02,201
2012-03-03,298
2012-03-04,264
2012-03-05,189
2012-03-06,193
2012-03-07,216
2012-03-08,115
2012-03-09,133
2012-03-10,85
2012-03-11,88
2012-03-12,90
2012-03-13,126
2012-03-14,173
2012-03-15,195
2012-03-16,219
2012-03-17,224
2012-03-18,257
2012-03-19,219
2012-03-20,248
2012-03-21,241
2012-03-22,245
2012-03-23,264
2012-03-24,236
2012-03-25,230
2012-03-26,190
2012-03-27,247
2012-03-28,242
2012-03-29,237
2012-03-30,246
2012-03-31,264
2012-04-01,258
2012-04-02,233
2012-04-03,224
2012-04-04,264
2012-04-05,248
2012-04-06,285
2012-04-07,292
2012-04-08,267
2012-04-09,277
2012-04-10,283
2012-04-11,235
2012-04-12,277
2012-04-13,274
2012-04-14,258
2012-04-15,273
2012-04-16,312
2012-04-17,282
2012-04-18,261
2012-04-19,278
2012-04-20,243
2012-04-21,315
2012-04-22,266
2012-04-23,261
2012-04-24,194
2012-04-25,237
2012-04-26,204
2012-04-27,241
2012-04-28,242
2012-04-29,273
2012-04-30,216
2012-05-01,205
2012-05-02,207
2012-05-03,212
2012-05-04,253
2012-05-05,220
2012-05-06,274
2012-05-07,225
2012-05-08,239
2012-05-09,280
2012-05-10,316
2012-05-11,257
2012-05-12,258
2012-05-13,285
2012-05-14,231
2012-05-15,219
2012-05-16,208
2012-05-17,228
2012-05-18,301
2012-05-19,316
2012-05-20,244
2012-05-21,212
2012-05-22,198
2012-05-23,202
2012-05-24,272
2012-05-25,317
2012-05-26,282
2012-05-27,293
2012-05-28,294
2012-05-29,306
2012-05-30,218
2012-05-31,233
2012-06-01,285
2012-06-02,339
2012-06-03,262
2012-06-04,211
2012-06-05,195
2012-06-06,228
2012-06-07,243
2012-06-08,228
2012-06-09,231
2012-06-10,249
2012-06-11,267
2012-06-12,246
2012-06-13,232
2012-06-14,250
2012-06-15,310
2012-06-16,280
2012-06-17,308
2012-06-18,323
2012-06-19,253
2012-06-20,208
2012-06-21,231
2012-06-22,233
2012-06-23,276
2012-06-24,276
2012-06-25,244
2012-06-26,243
2012-06-27,293
2012-06-28,227
2012-06-29,241
