date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,2
2012-01-14,21
2012-01-15,7
2012-01-16,0
2012-01-17,22
2012-01-18,7
2012-01-19,9
2012-01-20,3
2012-01-21,0
2012-01-22,5
2012-01-23,6
2012-01-24,6
2012-01-25,2
2012-01-26,14
2012-01-27,35
2012-01-28,8
2012-01-29,4
2012-01-30,5
2012-01-31,16
2012-02-01,0
2012-02-02,3
2012-02-03,4
2012-02-04,20
2012-02-05,42
2012-02-06,25
2012-02-07,24
2012-02-08,31
2012-02-09,11
2012-02-10,18
2012-02-11,34
2012-02-12,42
2012-02-13,23
2012-02-14,23
2012-02-15,44
2012-02-16,34
2012-02-17,17
2012-02-18,17
2012-02-19,11
2012-02-20,8
2012-02-21,25
2012-02-22,41
2012-02-23,42
2012-02-24,48
2012-02-25,48
2012-02-26,54
2012-02-27,24
2012-02-28,23
2012-02-29,30
2012-03-01,17
2012-03-02,22
2012-03-03,6
2012-03-04,13
2012-03-05,6
2012-03-06,25
2012-03-07,36
2012-03-08,36
2012-03-09,37
2012-03-10,54
2012-03-11,72
2012-03-12,46
2012-03-13,29
2012-03-14,65
2012-03-15,56
2012-03-16,63
2012-03-17,29
2012-03-18,37
2012-03-19,53
2012-03-20,76
2012-03-21,67
2012-03-22,63
2012-03-23,47
2012-03-24,48
2012-03-25,47
2012-03-26,29
2012-03-27,30
2012-03-28,23
2012-03-29,11
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,1
2012-04-03,0
2012-04-04,16
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,2
2012-04-10,0
2012-04-11,0
2012-04-12,14
2012-04-13,43
2012-04-14,38
2012-04-15,37
2012-04-16,48
2012-04-17,58
2012-04-18,62
2012-04-19,55
2012-04-20,64
2012-04-21,63
2012-04-22,51
2012-04-23,42
2012-04-24,54
2012-04-25,54
2012-04-26,51
2012-04-27,41
2012-04-28,41
2012-04-29,22
2012-04-30,19
2012-05-01,23
2012-05-02,26
2012-05-03,13
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,39
2012-05-10,25
2012-05-11,38
2012-05-12,44
2012-05-13,20
2012-05-14,36
2012-05-15,47
2012-05-16,68
2012-05-17,38
2012-05-18,49
2012-05-19,47
2012-05-20,48
2012-05-21,38
2012-05-22,34
2012-05-23,50
2012-05-24,43
2012-05-25,39
2012-05-26,64
2012-05-27,31
2012-05-28,24
2012-05-29,18
2012-05-30,13
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,14
2012-06-13,29
2012-06-14,24
2012-06-15,25
2012-06-16,30
2012-06-17,59
2012-06-18,45
2012-06-19,18
2012-06-20,57
2012-06-21,41
2012-06-22,49
2012-06-23,39
2012-06-24,43
2012-06-25,50
2012-06-26,34
2012-06-27,42
2012-06-28,54
2012-06-29,18
