date,fishing
2012-01-01,168
2012-01-02,360
2012-01-03,523
2012-01-04,711
2012-01-05,818
2012-01-06,824
2012-01-07,639
2012-01-08,734
2012-01-09,1310
2012-01-10,1985
2012-01-11,2254
2012-01-12,2128
2012-01-13,1951
2012-01-14,2062
2012-01-15,2064
2012-01-16,2381
2012-01-17,2378
2012-01-18,2373
2012-01-19,2395
2012-01-20,2420
2012-01-21,2323
2012-01-22,2326
2012-01-23,2450
2012-01-24,2456
2012-01-25,2209
2012-01-26,2463
2012-01-27,2634
2012-01-28,2579
2012-01-29,2555
2012-01-30,2297
2012-01-31,2553
2012-02-01,2696
2012-02-02,2315
2012-02-03,2716
2012-02-04,2757
2012-02-05,2509
2012-02-06,2796
2012-02-07,2760
2012-02-08,2707
2012-02-09,2727
2012-02-10,2836
2012-02-11,2674
2012-02-12,2604
2012-02-13,2652
2012-02-14,2570
2012-02-15,2610
2012-02-16,2387
2012-02-17,2542
2012-02-18,2801
2012-02-19,2779
2012-02-20,2788
2012-02-21,2408
2012-02-22,2536
2012-02-23,2105
2012-02-24,2469
2012-02-25,2307
2012-02-26,2162
2012-02-27,2490
2012-02-28,2282
2012-02-29,2383
2012-03-01,2310
2012-03-02,2621
2012-03-03,2622
2012-03-04,2686
2012-03-05,2632
2012-03-06,2706
2012-03-07,2784
2012-03-08,2656
2012-03-09,2542
2012-03-10,3026
2012-03-11,2882
2012-03-12,2808
2012-03-13,2683
2012-03-14,2819
2012-03-15,2991
2012-03-16,3008
2012-03-17,3126
2012-03-18,3164
2012-03-19,3147
2012-03-20,3069
2012-03-21,2896
2012-03-22,3201
2012-03-23,2868
2012-03-24,3060
2012-03-25,2913
2012-03-26,2788
2012-03-27,2789
2012-03-28,2931
2012-03-29,3090
2012-03-30,2998
2012-03-31,2961
2012-04-01,3060
2012-04-02,3038
2012-04-03,3129
2012-04-04,3052
2012-04-05,3097
2012-04-06,2979
2012-04-07,2987
2012-04-08,3027
2012-04-09,3208
2012-04-10,3269
2012-04-11,3255
2012-04-12,3329
2012-04-13,3099
2012-04-14,3013
2012-04-15,3157
2012-04-16,3154
2012-04-17,3159
2012-04-18,3104
2012-04-19,3163
2012-04-20,3150
2012-04-21,3076
2012-04-22,3037
2012-04-23,3121
2012-04-24,3063
2012-04-25,3073
2012-04-26,3067
2012-04-27,2879
2012-04-28,2975
2012-04-29,2974
2012-04-30,2794
2012-05-01,2891
2012-05-02,3048
2012-05-03,2878
2012-05-04,3138
2012-05-05,3049
2012-05-06,2889
2012-05-07,2898
2012-05-08,2856
2012-05-09,2825
2012-05-10,3115
2012-05-11,3070
2012-05-12,3197
2012-05-13,2966
2012-05-14,2986
2012-05-15,2865
2012-05-16,3066
2012-05-17,2871
2012-05-18,2866
2012-05-19,3041
2012-05-20,2890
2012-05-21,2792
2012-05-22,2909
2012-05-23,2745
2012-05-24,2948
2012-05-25,2873
2012-05-26,2810
2012-05-27,2936
2012-05-28,3064
2012-05-29,2975
2012-05-30,3070
2012-05-31,3012
2012-06-01,3120
2012-06-02,3227
2012-06-03,2962
2012-06-04,3140
2012-06-05,3088
2012-06-06,3145
2012-06-07,2962
2012-06-08,2937
2012-06-09,2980
2012-06-10,3035
2012-06-11,3060
2012-06-12,3136
2012-06-13,2969
2012-06-14,2869
2012-06-15,2913
2012-06-16,3070
2012-06-17,2951
2012-06-18,3013
2012-06-19,3053
2012-06-20,3057
2012-06-21,2944
2012-06-22,2848
2012-06-23,2869
2012-06-24,2795
2012-06-25,2735
2012-06-26,2720
2012-06-27,2868
2012-06-28,2872
2012-06-29,2918
2012-06-30,2837
2012-07-01,2589
2012-07-02,2796
2012-07-03,2756
2012-07-04,2852
2012-07-05,2651
2012-07-06,2805
2012-07-07,3001
2012-07-08,2899
2012-07-09,2847
2012-07-10,2779
2012-07-11,2931
2012-07-12,3003
2012-07-13,2873
2012-07-14,2830
2012-07-15,3108
2012-07-16,2959
2012-07-17,2958
2012-07-18,2965
2012-07-19,2916
2012-07-20,2900
2012-07-21,2971
2012-07-22,3141
2012-07-23,3078
2012-07-24,2928
2012-07-25,2753
2012-07-26,2611
2012-07-27,2620
2012-07-28,2591
2012-07-29,2429
2012-07-30,2420
2012-07-31,2848
2012-08-01,2733
2012-08-02,2573
2012-08-03,2576
2012-08-04,2674
2012-08-05,2447
2012-08-06,2450
2012-08-07,2474
2012-08-08,2514
2012-08-09,2708
2012-08-10,2794
2012-08-11,2492
2012-08-12,2554
2012-08-13,2599
2012-08-14,2680
2012-08-15,2837
2012-08-16,2747
2012-08-17,2636
2012-08-18,2795
2012-08-19,2786
2012-08-20,2788
2012-08-21,2856
2012-08-22,2738
2012-08-23,2656
2012-08-24,2687
2012-08-25,2666
2012-08-26,2671
2012-08-27,2898
2012-08-28,2974
2012-08-29,2919
2012-08-30,2857
2012-08-31,2787
2012-09-01,2778
2012-09-02,2628
2012-09-03,2573
2012-09-04,2751
2012-09-05,2652
2012-09-06,2579
2012-09-07,2793
2012-09-08,2768
2012-09-09,2693
2012-09-10,2694
2012-09-11,2659
2012-09-12,2723
2012-09-13,2685
2012-09-14,2768
2012-09-15,2704
2012-09-16,2657
2012-09-17,2715
2012-09-18,2997
2012-09-19,3038
2012-09-20,3073
2012-09-21,3032
2012-09-22,2900
2012-09-23,2653
2012-09-24,2515
2012-09-25,2359
2012-09-26,2615
2012-09-27,2802
2012-09-28,2879
2012-09-29,2778
2012-09-30,2677
2012-10-01,2598
2012-10-02,2708
2012-10-03,2797
2012-10-04,2785
2012-10-05,2668
2012-10-06,2638
2012-10-07,2368
2012-10-08,2348
2012-10-09,2601
2012-10-10,2720
2012-10-11,2756
2012-10-12,2694
2012-10-13,2900
2012-10-14,2992
2012-10-15,2966
2012-10-16,2536
2012-10-17,2794
2012-10-18,2806
2012-10-19,3015
2012-10-20,2997
2012-10-21,3018
2012-10-22,2778
2012-10-23,2795
2012-10-24,2736
2012-10-25,2953
2012-10-26,2873
2012-10-27,2800
2012-10-28,2871
2012-10-29,2865
2012-10-30,2554
2012-10-31,2517
2012-11-01,2636
2012-11-02,2798
2012-11-03,2773
2012-11-04,2880
2012-11-05,2654
2012-11-06,2489
2012-11-07,2600
2012-11-08,2654
2012-11-09,2442
2012-11-10,2202
2012-11-11,2341
2012-11-12,2527
2012-11-13,2823
2012-11-14,2846
2012-11-15,3102
2012-11-16,3030
2012-11-17,3048
2012-11-18,2981
2012-11-19,2848
2012-11-20,2872
2012-11-21,3061
2012-11-22,2938
2012-11-23,2966
2012-11-24,2809
2012-11-25,2846
2012-11-26,2837
2012-11-27,2899
2012-11-28,3004
2012-11-29,3154
2012-11-30,2973
2012-12-01,2864
2012-12-02,2645
2012-12-03,2633
2012-12-04,2521
2012-12-05,2593
2012-12-06,2590
2012-12-07,2727
2012-12-08,2749
2012-12-09,2832
2012-12-10,2936
2012-12-11,3135
2012-12-12,3233
2012-12-13,3311
2012-12-14,3010
2012-12-15,3104
2012-12-16,3230
2012-12-17,3233
2012-12-18,2954
2012-12-19,2934
2012-12-20,3084
2012-12-21,3046
2012-12-22,3026
2012-12-23,3017
2012-12-24,3342
2012-12-25,3238
2012-12-26,3056
2012-12-27,3157
2012-12-28,3238
2012-12-29,3070
2012-12-30,2980
2012-12-31,2914
2013-01-01,3172
2013-01-02,3064
2013-01-03,2983
2013-01-04,3191
2013-01-05,3182
2013-01-06,3222
2013-01-07,3191
2013-01-08,3155
2013-01-09,3244
2013-01-10,3239
2013-01-11,3362
2013-01-12,3087
2013-01-13,3035
2013-01-14,3037
2013-01-15,3175
2013-01-16,3242
2013-01-17,3203
2013-01-18,3207
2013-01-19,3377
2013-01-20,3101
2013-01-21,3061
2013-01-22,3097
2013-01-23,3404
2013-01-24,3330
2013-01-25,3047
2013-01-26,2951
2013-01-27,2984
2013-01-28,3203
2013-01-29,3266
2013-01-30,3349
2013-01-31,3060
2013-02-01,2894
2013-02-02,3026
2013-02-03,3254
2013-02-04,3230
2013-02-05,3021
2013-02-06,3070
2013-02-07,2705
2013-02-08,2814
2013-02-09,2928
2013-02-10,2982
2013-02-11,2857
2013-02-12,2713
2013-02-13,2847
2013-02-14,2955
2013-02-15,3039
2013-02-16,3138
2013-02-17,3148
2013-02-18,3140
2013-02-19,3072
2013-02-20,3257
2013-02-21,3173
2013-02-22,2958
2013-02-23,2968
2013-02-24,3073
2013-02-25,3132
2013-02-26,3142
2013-02-27,3046
2013-02-28,2720
2013-03-01,2606
2013-03-02,2820
2013-03-03,3248
2013-03-04,3218
2013-03-05,3098
2013-03-06,2993
2013-03-07,3064
2013-03-08,3331
2013-03-09,3463
2013-03-10,3286
2013-03-11,3306
2013-03-12,3182
2013-03-13,2839
2013-03-14,3127
2013-03-15,3340
2013-03-16,3676
2013-03-17,3245
2013-03-18,3234
2013-03-19,3397
2013-03-20,3039
2013-03-21,3063
2013-03-22,3003
2013-03-23,3212
2013-03-24,3148
2013-03-25,3044
2013-03-26,3173
2013-03-27,3144
2013-03-28,3190
2013-03-29,3142
2013-03-30,3058
2013-03-31,3146
2013-04-01,3233
2013-04-02,3365
2013-04-03,3417
2013-04-04,3393
2013-04-05,3146
2013-04-06,3129
2013-04-07,3082
2013-04-08,3054
2013-04-09,3102
2013-04-10,3328
2013-04-11,3004
2013-04-12,3266
2013-04-13,2991
2013-04-14,3133
2013-04-15,3247
2013-04-16,3155
2013-04-17,3051
2013-04-18,3067
2013-04-19,2917
2013-04-20,3075
2013-04-21,3029
2013-04-22,3042
2013-04-23,3126
2013-04-24,3052
2013-04-25,3169
2013-04-26,2902
2013-04-27,3163
2013-04-28,3105
2013-04-29,3128
2013-04-30,3027
2013-05-01,2901
2013-05-02,2990
2013-05-03,3046
2013-05-04,3377
2013-05-05,3380
2013-05-06,3190
2013-05-07,3241
2013-05-08,3341
2013-05-09,3290
2013-05-10,3326
2013-05-11,3367
2013-05-12,3276
2013-05-13,3583
2013-05-14,3528
2013-05-15,3090
2013-05-16,2825
2013-05-17,3043
2013-05-18,3085
2013-05-19,3309
2013-05-20,3737
2013-05-21,4047
2013-05-22,3546
2013-05-23,3757
2013-05-24,3767
2013-05-25,3589
2013-05-26,3208
2013-05-27,3149
2013-05-28,3209
2013-05-29,3607
2013-05-30,3245
2013-06-01,3160
2013-06-02,3160
2013-06-03,3253
2013-06-04,3428
2013-06-05,3593
2013-06-06,3413
2013-06-07,3386
2013-06-08,3017
2013-06-09,3044
2013-06-10,2902
2013-06-11,2961
2013-06-12,3143
2013-06-13,3479
2013-06-14,3286
2013-06-15,3105
