date,fishing
2015-12-30,0
2016-02-02,0
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-20,0
2016-04-21,0
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,15
2016-04-26,18
2016-04-27,18
2016-04-28,20
2016-04-29,12
2016-04-30,11
2016-05-01,6
2016-05-02,23
2016-05-03,0
2016-05-04,0
2016-05-05,0
2016-05-06,7
2016-05-07,10
2016-05-08,0
2016-05-09,16
2016-05-10,6
2016-05-14,7
2016-05-15,1
2016-05-27,18
2016-05-28,10
2016-05-29,10
2016-05-31,0
2016-06-01,0
2016-06-02,19
2016-06-03,30
2016-06-04,0
2016-06-05,8
2016-06-06,23
2016-06-07,11
2016-06-08,35
2016-06-09,2
2016-06-10,23
2016-06-11,0
2016-06-13,13
2016-06-14,8
2016-06-15,10
2016-06-16,12
2016-06-25,0
2016-06-26,2
2016-06-27,0
2016-06-28,0
2016-06-29,37
2016-06-30,45
2016-07-01,41
2016-07-02,53
2016-07-03,29
2016-07-04,31
2016-07-05,29
2016-07-06,61
2016-07-07,56
2016-07-08,41
2016-07-09,23
2016-07-10,21
2016-07-11,19
2016-07-12,0
2016-07-13,18
2016-07-14,8
2016-07-15,5
2016-07-22,6
2016-07-23,6
2016-07-24,18
2016-07-26,1
2016-07-27,2
2016-07-28,0
2016-07-29,28
2016-07-30,27
2016-07-31,40
2016-08-01,35
2016-08-02,47
2016-08-03,46
2016-08-04,47
2016-08-05,31
2016-08-06,0
2016-08-07,14
2016-08-08,39
2016-08-09,88
2016-08-10,74
2016-08-11,66
2016-08-12,37
2016-08-13,22
2016-08-14,25
2016-08-15,15
2016-08-17,6
2016-08-18,0
2016-08-19,0
2016-08-20,0
2016-08-23,0
2016-08-24,11
2016-08-25,23
2016-08-26,16
2016-08-31,6
2016-09-01,18
2016-09-03,11
2016-09-04,30
2016-09-05,18
2016-09-06,2
2016-09-07,41
2016-09-08,39
2016-09-09,81
2016-09-10,122
2016-09-11,59
2016-09-12,45
2016-09-13,81
2016-09-14,79
2016-09-15,58
2016-09-16,43
2016-09-17,43
2016-09-18,40
2016-09-19,20
2016-09-20,29
2016-09-21,30
2016-09-22,45
2016-09-23,23
2016-09-24,17
2016-09-25,42
2016-09-26,41
2016-09-27,23
2016-09-28,17
2016-09-29,0
2016-09-30,6
2016-10-01,6
2016-10-02,5
2016-10-03,6
2016-10-05,1
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,20
2016-10-12,39
2016-10-13,73
2016-10-14,69
2016-10-15,36
2016-10-16,27
2016-10-17,34
2016-10-18,51
2016-10-19,17
2016-10-20,46
2016-10-21,58
2016-10-22,42
2016-10-23,34
2016-10-24,68
2016-10-25,43
2016-10-26,40
2016-10-27,30
2016-10-28,31
2016-10-29,0
2016-10-30,15
2016-10-31,36
2016-11-01,31
2016-11-02,39
2016-11-03,21
2016-11-04,15
2016-11-05,6
2016-11-06,5
2016-11-07,17
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,36
2016-11-12,23
2016-11-13,0
2016-11-14,0
2016-11-18,7
2016-11-19,9
2016-11-20,8
2016-11-21,10
2016-11-22,3
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-12-03,0
2016-12-04,0
2016-12-06,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-18,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
