date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,0
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-25,0
2012-01-26,0
2012-01-27,3
2012-01-28,0
2012-01-29,14
2012-01-30,11
2012-01-31,0
2012-02-01,0
2012-02-02,0
2012-02-03,3
2012-02-04,4
2012-02-05,0
2012-02-06,0
2012-02-07,0
2012-02-08,0
2012-02-09,5
2012-02-10,13
2012-02-11,2
2012-02-12,0
2012-02-13,0
2012-02-14,0
2012-02-15,0
2012-02-16,0
2012-02-17,0
2012-02-18,0
2012-02-19,0
2012-02-20,0
2012-02-21,0
2012-02-22,0
2012-02-23,0
2012-02-24,0
2012-02-25,11
2012-02-26,29
2012-02-27,5
2012-02-28,0
2012-02-29,0
2012-03-01,0
2012-03-02,0
2012-03-03,0
2012-03-04,0
2012-03-05,17
2012-03-06,19
2012-03-07,12
2012-03-08,0
2012-03-09,11
2012-03-10,24
2012-03-11,5
2012-03-12,32
2012-03-13,39
2012-03-14,33
2012-03-15,29
2012-03-16,35
2012-03-17,41
2012-03-18,40
2012-03-19,23
2012-03-20,10
2012-03-21,12
2012-03-22,31
2012-03-23,24
2012-03-24,44
2012-03-25,31
2012-03-26,28
2012-03-27,34
2012-03-28,23
2012-03-29,28
2012-03-30,29
2012-03-31,35
2012-04-01,30
2012-04-02,20
2012-04-03,11
2012-04-04,6
2012-04-05,18
2012-04-06,18
2012-04-07,24
2012-04-08,19
2012-04-09,47
2012-04-10,22
2012-04-11,23
2012-04-12,14
2012-04-13,14
2012-04-14,8
2012-04-15,4
2012-04-16,16
2012-04-17,24
2012-04-18,25
2012-04-19,31
2012-04-20,42
2012-04-21,44
2012-04-22,53
2012-04-23,54
2012-04-24,27
2012-04-25,23
2012-04-26,25
2012-04-27,25
2012-04-28,23
2012-04-29,31
2012-04-30,33
2012-05-01,15
2012-05-02,22
2012-05-03,23
2012-05-04,0
2012-05-05,23
2012-05-06,23
2012-05-07,0
2012-05-08,0
2012-05-09,10
2012-05-10,12
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,7
2012-05-17,19
2012-05-18,31
2012-05-19,40
2012-05-20,39
2012-05-21,37
2012-05-22,44
2012-05-23,21
2012-05-24,20
2012-05-25,25
2012-05-26,23
2012-05-27,13
2012-05-28,24
2012-05-29,25
2012-05-30,25
2012-05-31,47
2012-06-01,40
2012-06-02,47
2012-06-03,49
2012-06-04,47
2012-06-05,48
2012-06-06,47
2012-06-07,47
2012-06-08,49
2012-06-09,45
2012-06-10,47
2012-06-11,49
2012-06-12,67
2012-06-13,70
2012-06-14,51
2012-06-15,62
2012-06-16,32
2012-06-17,23
2012-06-18,29
2012-06-19,51
2012-06-20,60
2012-06-21,71
2012-06-22,44
2012-06-23,43
2012-06-24,47
2012-06-25,47
2012-06-26,72
2012-06-27,73
2012-06-28,66
2012-06-29,69
