date,fishing
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2013-01-18,0
2013-09-24,18
2013-09-25,14
2013-09-27,9
2013-09-28,10
2013-10-02,0
2013-10-17,0
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-24,26
2013-10-25,46
2013-10-26,67
2013-10-27,70
2013-10-28,55
2013-10-29,53
2013-10-30,49
2013-10-31,42
2013-11-01,62
2013-11-02,4
2013-11-05,37
2013-11-06,78
2013-11-07,72
2013-11-08,34
2013-11-15,18
2013-11-16,32
2013-11-17,50
2013-11-18,63
2013-11-19,41
2013-11-20,32
2013-11-22,0
2013-11-25,15
2013-11-26,16
2013-11-29,38
2013-11-30,54
2013-12-01,64
2013-12-02,66
2013-12-03,69
2013-12-04,47
2013-12-07,50
2013-12-08,69
2013-12-09,71
2013-12-10,70
2013-12-11,12
2013-12-20,49
2013-12-21,58
2013-12-22,0
2013-12-23,24
2013-12-24,36
2013-12-25,24
2013-12-27,0
2013-12-30,0
2014-01-08,0
2014-02-20,0
2014-02-21,0
2014-02-22,0
2014-02-23,0
2014-02-24,0
2014-02-25,0
2014-02-26,0
2014-03-06,13
2014-03-07,23
2014-03-10,29
2014-03-11,48
2014-03-12,7
2014-03-18,36
2014-03-19,14
2014-03-20,0
2014-03-21,9
2014-03-22,29
2014-03-23,51
2014-03-24,44
2014-03-25,24
2014-03-26,0
2014-03-29,45
2014-03-30,82
2014-03-31,75
2014-04-01,65
2014-04-02,4
2014-04-06,38
2014-04-07,82
2014-04-08,89
2014-04-09,56
2014-04-10,63
2014-04-11,26
2014-04-12,8
2014-04-14,14
2014-04-15,35
2014-04-16,0
2014-04-17,0
2014-04-18,12
2014-04-19,2
2014-04-20,36
2014-04-21,21
2014-04-22,24
2014-04-23,25
2014-04-24,23
2014-04-25,29
2014-04-26,18
2014-04-27,12
2014-05-02,0
2014-05-03,0
2014-05-04,0
2014-05-05,0
2014-05-06,0
2014-05-08,8
2014-07-31,0
2014-08-01,35
2014-08-02,61
2014-08-03,76
2014-08-04,48
2014-08-05,12
2014-08-06,38
2014-08-07,55
2014-08-08,40
2014-08-09,1
2014-08-10,0
2014-08-13,21
2014-08-14,52
2014-08-15,48
2014-08-16,24
2014-08-17,24
2014-08-18,27
2014-08-20,32
2014-08-21,82
2014-08-22,66
2014-08-23,49
2014-08-24,23
2014-08-25,21
2014-08-26,0
2014-08-30,24
2014-08-31,37
2014-09-01,91
2014-09-02,80
2014-09-03,41
2014-09-04,45
2014-09-05,44
2014-09-06,20
2014-09-07,13
2014-09-08,24
