date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,23
2012-01-04,5
2012-01-05,11
2012-01-06,0
2012-01-07,21
2012-01-08,25
2012-01-09,4
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,1
2012-01-17,16
2012-01-18,4
2012-01-19,37
2012-01-20,47
2012-01-21,7
2012-01-22,48
2012-01-23,44
2012-01-24,24
2012-01-25,73
2012-01-26,69
2012-01-27,13
2012-01-28,35
2012-01-29,81
2012-01-30,50
2012-01-31,36
2012-02-01,61
2012-02-02,65
2012-02-03,70
2012-02-04,57
2012-02-05,29
2012-02-06,50
2012-02-07,36
2012-02-08,41
2012-02-09,48
2012-02-10,17
2012-02-11,74
2012-02-12,74
2012-02-13,15
2012-02-14,63
2012-02-15,79
2012-02-16,38
2012-02-17,60
2012-02-18,42
2012-02-19,15
2012-02-20,24
2012-02-21,40
2012-02-22,68
2012-02-23,6
2012-02-24,20
2012-02-25,85
2012-02-26,52
2012-02-27,41
2012-02-28,60
2012-02-29,25
2012-03-01,29
2012-03-02,31
2012-03-03,34
2012-03-04,51
2012-03-05,92
2012-03-06,45
2012-03-07,24
2012-03-08,57
2012-03-09,62
2012-03-10,81
2012-03-11,64
2012-03-12,36
2012-03-13,117
2012-03-14,83
2012-03-15,34
2012-03-16,95
2012-03-17,84
2012-03-18,72
2012-03-19,67
2012-03-20,20
2012-03-21,22
2012-03-22,66
2012-03-23,18
2012-03-24,34
2012-03-25,43
2012-03-26,32
2012-03-27,100
2012-03-28,79
2012-03-29,82
2012-03-30,58
2012-03-31,74
2012-04-01,91
2012-04-02,29
2012-04-03,53
2012-04-04,45
2012-04-05,42
2012-04-06,51
2012-04-07,32
2012-04-08,55
2012-04-09,17
2012-04-10,6
2012-04-11,25
2012-04-12,64
2012-04-13,24
2012-04-14,60
2012-04-15,45
2012-04-16,25
2012-04-17,35
2012-04-18,34
2012-04-19,35
2012-04-20,42
2012-04-21,55
2012-04-22,36
2012-04-23,16
2012-04-24,70
2012-04-25,46
2012-04-26,11
2012-04-27,53
2012-04-28,57
2012-04-29,24
2012-04-30,22
2012-05-01,43
2012-05-02,25
2012-05-03,18
2012-05-04,21
2012-05-05,22
2012-05-06,14
2012-05-07,12
2012-05-08,22
2012-05-09,30
2012-05-10,26
2012-05-11,41
2012-05-12,31
2012-05-13,56
2012-05-14,15
2012-05-15,20
2012-05-16,33
2012-05-17,32
2012-05-18,33
2012-05-19,51
2012-05-20,31
2012-05-21,17
2012-05-22,32
2012-05-23,11
2012-05-24,13
2012-05-25,7
2012-05-26,23
2012-05-27,83
2012-05-28,32
2012-05-29,12
2012-05-30,35
2012-05-31,8
2012-06-01,38
2012-06-02,38
2012-06-03,17
2012-06-04,35
2012-06-05,80
2012-06-06,43
2012-06-07,60
2012-06-08,0
2012-06-09,29
2012-06-10,32
2012-06-11,26
2012-06-12,15
2012-06-13,12
2012-06-14,22
2012-06-15,22
2012-06-16,15
2012-06-17,16
2012-06-18,35
2012-06-19,22
2012-06-20,15
2012-06-21,18
2012-06-22,46
2012-06-23,2
2012-06-24,4
2012-06-25,44
2012-06-26,45
2012-06-27,11
2012-06-28,55
2012-06-29,26
