date,fishing
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,0
2012-02-07,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-14,0
2012-04-15,0
2012-04-16,0
2012-04-22,0
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-05-01,0
2012-05-02,0
2012-05-03,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-18,0
2012-08-19,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
