date,fishing
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,0
2012-04-11,0
2012-04-12,0
2012-04-13,0
2012-04-14,0
2012-04-15,0
2012-04-16,0
2012-04-17,0
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-21,1
2012-04-22,6
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,3
2012-04-27,0
2012-04-28,3
2012-04-29,2
2012-04-30,3
2012-05-01,0
2012-05-02,6
2012-05-03,4
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,7
2012-05-11,9
2012-05-12,19
2012-05-13,6
2012-05-14,5
2012-05-15,8
2012-05-16,13
2012-05-17,14
2012-05-18,24
2012-05-19,21
2012-05-20,9
2012-05-21,5
2012-05-22,6
2012-05-23,6
2012-05-24,5
2012-05-25,0
2012-05-26,0
2012-05-27,15
2012-05-28,17
2012-05-29,6
2012-05-30,1
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,4
2012-06-05,2
2012-06-06,14
2012-06-07,9
2012-06-08,18
2012-06-09,6
2012-06-10,12
2012-06-11,6
2012-06-12,0
2012-06-13,0
2012-06-14,5
2012-06-15,0
2012-06-16,0
2012-06-17,13
2012-06-18,28
2012-06-19,24
2012-06-20,27
2012-06-21,23
2012-06-22,27
2012-06-23,16
2012-06-24,22
2012-06-25,23
2012-06-26,23
2012-06-27,23
2012-06-28,26
2012-06-29,9
2012-06-30,10
2012-07-01,10
2012-07-02,9
2012-07-03,23
2012-07-04,28
2012-07-05,15
2012-07-06,16
2012-07-07,23
2012-07-08,7
2012-07-09,4
2012-07-10,21
2012-07-11,5
2012-07-12,0
2012-07-13,16
2012-07-14,17
2012-07-15,8
2012-07-16,21
2012-07-17,12
