date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,1
2012-01-05,0
2012-01-06,1
2012-01-07,0
2012-01-08,0
2012-01-09,33
2012-01-10,34
2012-01-11,12
2012-01-12,16
2012-01-13,31
2012-01-14,22
2012-01-15,21
2012-01-16,17
2012-01-17,34
2012-01-18,50
2012-01-19,31
2012-01-20,18
2012-01-21,11
2012-01-22,10
2012-01-23,21
2012-01-24,20
2012-01-25,52
2012-01-26,44
2012-01-27,51
2012-01-28,34
2012-01-29,37
2012-01-30,27
2012-01-31,35
2012-02-01,28
2012-02-02,17
2012-02-03,26
2012-02-04,27
2012-02-05,20
2012-02-06,24
2012-02-07,36
2012-02-08,13
2012-02-09,37
2012-02-10,12
2012-02-11,37
2012-02-12,29
2012-02-13,60
2012-02-14,18
2012-02-15,15
2012-02-16,33
2012-02-17,40
2012-02-18,43
2012-02-19,54
2012-02-20,51
2012-02-21,42
2012-02-22,47
2012-02-23,48
2012-02-24,11
2012-02-25,13
2012-02-26,20
2012-02-27,48
2012-02-28,6
2012-02-29,12
2012-03-01,13
2012-03-02,30
2012-03-03,50
2012-03-04,17
2012-03-05,26
2012-03-06,43
2012-03-07,41
2012-03-08,50
2012-03-09,31
2012-03-10,36
2012-03-11,33
2012-03-12,25
2012-03-13,15
2012-03-14,27
2012-03-15,26
2012-03-16,5
2012-03-17,2
2012-03-18,7
2012-03-19,12
2012-03-20,14
2012-03-21,27
2012-03-22,8
2012-03-23,0
2012-03-24,16
2012-03-25,15
2012-03-26,11
2012-03-27,5
2012-03-28,11
2012-03-29,7
2012-03-30,2
2012-03-31,4
2012-04-01,5
2012-04-02,1
2012-04-03,3
2012-04-04,8
2012-04-05,13
2012-04-06,11
2012-04-07,13
2012-04-08,8
2012-04-09,7
2012-04-10,0
2012-04-11,2
2012-04-12,2
2012-04-13,5
2012-04-14,5
2012-04-15,5
2012-04-16,6
2012-04-17,6
2012-04-18,0
2012-04-19,4
2012-04-20,0
2012-04-21,3
2012-04-22,1
2012-04-23,11
2012-04-24,0
2012-04-25,3
2012-04-26,0
2012-04-27,1
2012-04-28,0
2012-04-29,11
2012-04-30,0
2012-05-01,11
2012-05-02,10
2012-05-03,7
2012-05-04,11
2012-05-05,0
2012-05-06,3
2012-05-07,3
2012-05-08,1
2012-05-09,7
2012-05-10,3
2012-05-11,5
2012-05-12,8
2012-05-13,0
2012-05-14,4
2012-05-15,2
2012-05-16,5
2012-05-17,1
2012-05-18,19
2012-05-19,0
2012-05-20,3
2012-05-21,4
2012-05-22,7
2012-05-23,10
2012-05-24,3
2012-05-25,9
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,6
2012-05-30,10
2012-05-31,4
2012-06-01,3
2012-06-02,5
2012-06-03,11
2012-06-04,2
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,1
2012-06-09,5
2012-06-10,4
2012-06-11,0
2012-06-12,0
2012-06-13,5
2012-06-14,0
2012-06-15,2
2012-06-16,14
2012-06-17,11
2012-06-18,6
2012-06-19,0
2012-06-20,4
2012-06-21,4
2012-06-22,0
2012-06-23,3
2012-06-24,2
2012-06-25,2
2012-06-26,12
2012-06-27,1
2012-06-28,3
2012-06-29,0
