date,fishing
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,0
2013-11-12,0
2013-11-13,0
2013-11-14,0
2013-11-15,0
2013-11-16,0
2013-11-17,7
2013-11-18,6
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,0
2013-11-23,0
2013-11-24,0
2013-11-25,0
2013-11-26,0
2013-11-27,24
2013-11-28,24
2013-11-29,0
2013-11-30,0
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,0
2013-12-14,0
2013-12-15,0
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-21,0
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,0
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,0
2014-01-07,11
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-11,0
2014-01-12,0
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-18,0
2014-01-19,0
2014-01-20,0
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-25,0
2014-01-26,0
2014-01-27,8
2014-01-28,21
2014-01-29,16
2014-01-30,0
2014-01-31,13
2014-02-01,24
2014-02-02,5
2014-02-03,9
2014-02-04,24
2014-02-05,24
2014-02-06,20
2014-02-07,13
2014-02-08,23
2014-02-09,2
2014-02-10,4
2014-02-11,0
2014-02-12,0
2014-02-13,21
2014-02-14,23
2014-02-15,23
2014-02-16,14
2014-02-17,21
2014-02-18,26
2014-02-19,15
2014-02-20,24
2014-02-21,23
2014-02-22,25
2014-02-23,23
2014-02-24,20
2014-02-25,11
2014-02-26,0
2014-02-27,32
2014-02-28,54
2014-03-01,55
2014-03-02,28
2014-03-03,32
2014-03-04,42
2014-03-05,21
2014-03-06,71
2014-03-07,68
2014-03-08,54
2014-03-09,41
2014-03-10,27
2014-03-11,26
2014-03-12,1
2014-03-13,0
2014-03-14,36
2014-03-15,26
2014-03-16,24
2014-03-17,19
2014-03-18,33
2014-03-19,29
2014-03-20,43
2014-03-21,51
2014-03-22,63
2014-03-23,45
2014-03-24,36
2014-03-25,45
2014-03-26,76
2014-03-27,63
2014-03-28,55
2014-03-29,36
2014-03-30,32
2014-03-31,47
2014-04-01,46
2014-04-02,29
2014-04-03,32
2014-04-04,12
2014-04-05,0
2014-04-06,9
2014-04-07,29
2014-04-08,19
2014-04-09,21
2014-04-10,23
2014-04-11,0
2014-04-12,0
2014-04-13,16
2014-04-14,16
2014-04-15,23
2014-04-16,12
2014-04-17,18
2014-04-18,22
2014-04-19,4
2014-04-20,16
2014-04-21,55
2014-04-22,39
2014-04-23,47
2014-04-24,30
2014-04-25,23
2014-04-26,7
2014-04-27,3
2014-04-28,28
2014-04-29,45
2014-04-30,19
2014-05-01,20
2014-05-02,7
2014-05-03,8
2014-05-04,21
2014-05-05,11
2014-05-06,27
2014-05-07,36
2014-05-08,54
2014-05-09,27
2014-05-10,3
2014-05-11,0
2014-05-12,11
2014-05-13,23
2014-05-14,24
2014-05-15,18
2014-05-16,20
2014-05-17,19
2014-05-18,37
2014-05-19,23
2014-05-20,24
2014-05-21,3
2014-05-22,0
2014-05-23,0
2014-05-24,4
2014-05-25,23
2014-05-26,23
2014-05-27,3
2014-05-28,11
2014-05-29,7
2014-05-30,0
2014-05-31,0
2014-06-01,7
2014-06-02,12
2014-06-03,24
2014-06-04,10
2014-06-05,0
2014-06-06,0
2014-06-07,9
2014-06-08,21
2014-06-09,3
2014-06-10,0
2014-06-11,0
2014-06-12,0
2014-06-13,0
2014-06-14,0
2014-06-15,0
2014-06-16,0
2014-06-17,2
2014-06-18,22
2014-06-19,8
2014-06-20,4
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,6
2014-06-27,6
2014-06-28,24
2014-06-29,4
2014-06-30,0
2014-07-01,0
2014-07-02,19
2014-07-03,28
2014-07-04,15
2014-07-05,18
2014-07-06,18
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,18
2014-07-19,24
2014-07-20,21
2014-07-21,20
2014-07-22,17
2014-07-23,21
2014-07-24,25
2014-07-25,24
2014-07-26,24
2014-07-27,11
2014-07-28,0
2014-07-29,1
2014-07-30,15
2014-07-31,23
2014-08-01,11
2014-08-02,16
2014-08-03,21
2014-08-04,7
2014-08-05,26
2014-08-06,44
2014-08-07,26
2014-08-08,25
2014-08-09,21
2014-08-10,32
2014-08-11,48
2014-08-12,71
2014-08-13,59
2014-08-14,47
2014-08-15,48
2014-08-16,68
2014-08-17,57
2014-08-18,54
2014-08-19,61
2014-08-20,58
2014-08-21,38
2014-08-22,45
2014-08-23,63
2014-08-24,48
2014-08-25,53
2014-08-26,58
2014-08-27,57
2014-08-28,42
2014-08-29,23
2014-08-30,24
2014-08-31,23
2014-09-01,20
2014-09-02,4
2014-09-03,2
2014-09-04,7
2014-09-05,26
2014-09-06,21
2014-09-07,14
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,18
2014-09-25,11
2014-09-26,1
2014-09-27,0
2014-09-28,0
2014-09-29,23
2014-09-30,14
2014-10-01,0
2014-10-02,3
2014-10-03,4
2014-10-04,6
2014-10-05,10
2014-10-06,5
2014-10-07,25
2014-10-08,2
2014-10-09,4
2014-10-10,4
2014-10-11,9
2014-10-12,9
2014-10-13,0
2014-10-14,9
2014-10-15,20
2014-10-16,23
2014-10-17,37
2014-10-18,23
2014-10-19,27
2014-10-20,34
2014-10-21,12
2014-10-22,26
2014-10-23,35
2014-10-24,35
2014-10-25,33
2014-10-26,35
2014-10-27,62
2014-10-28,58
2014-10-29,39
2014-10-30,32
2014-10-31,35
2014-11-01,43
2014-11-02,49
2014-11-03,48
2014-11-04,33
2014-11-05,27
2014-11-06,47
2014-11-07,30
2014-11-08,33
2014-11-09,49
2014-11-10,44
2014-11-11,29
2014-11-12,26
2014-11-13,43
2014-11-14,43
2014-11-15,49
2014-11-16,45
2014-11-17,51
2014-11-18,39
2014-11-19,44
2014-11-20,20
2014-11-21,26
2014-11-22,18
2014-11-23,10
2014-11-24,24
2014-11-25,5
2014-11-26,1
2014-11-27,30
2014-11-28,22
2014-11-29,37
2014-11-30,44
2014-12-01,0
2014-12-02,37
2014-12-03,48
2014-12-04,48
2014-12-05,25
2014-12-06,47
2014-12-07,44
2014-12-08,55
2014-12-09,57
2014-12-10,48
2014-12-11,38
2014-12-12,21
2014-12-13,16
2014-12-14,44
2014-12-15,33
2014-12-16,11
2014-12-17,0
2014-12-18,17
2014-12-19,43
2014-12-20,42
2014-12-21,43
2014-12-22,38
2014-12-23,24
2014-12-24,24
2014-12-25,23
2014-12-26,22
2014-12-27,6
2014-12-28,14
2014-12-29,3
2014-12-30,15
2014-12-31,6
2015-01-01,0
2015-01-02,4
2015-01-03,7
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,0
2015-01-10,0
2015-01-11,0
2015-01-12,0
2015-01-13,0
2015-01-14,0
2015-01-15,0
2015-01-16,1
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,0
2015-01-22,4
2015-01-23,3
2015-01-24,3
2015-01-25,9
2015-01-26,16
2015-01-27,11
2015-01-28,15
2015-01-29,6
2015-01-30,7
2015-01-31,22
2015-02-01,18
2015-02-02,18
2015-02-03,9
2015-02-04,22
2015-02-05,10
2015-02-06,22
2015-02-07,19
2015-02-08,2
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,0
2015-02-13,0
2015-02-14,5
2015-02-15,27
2015-02-16,12
2015-02-17,22
2015-02-18,22
2015-02-19,2
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,15
2015-02-24,10
2015-02-25,11
2015-02-26,8
2015-02-27,13
2015-02-28,0
2015-03-01,0
2015-03-02,4
2015-03-03,2
2015-03-04,6
2015-03-05,14
2015-03-06,18
2015-03-07,11
2015-03-08,11
2015-03-09,23
2015-03-10,1
2015-03-11,0
2015-03-12,0
2015-03-13,0
2015-03-14,3
2015-03-15,25
2015-03-16,17
2015-03-17,2
2015-03-18,0
2015-03-19,0
2015-03-20,0
2015-03-21,0
2015-03-22,0
2015-03-23,0
2015-03-24,0
2015-03-25,0
2015-03-26,19
2015-03-27,0
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,0
2015-04-01,0
2015-04-02,0
2015-04-03,0
2015-04-04,4
2015-04-05,8
2015-04-06,14
2015-04-07,9
2015-04-08,0
2015-04-09,0
2015-04-10,14
2015-04-11,20
2015-04-12,10
2015-04-13,19
2015-04-14,18
