date,fishing
2012-01-05,0
2012-01-06,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,0
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-25,0
2012-01-26,0
2012-01-27,0
2012-01-28,0
2012-01-29,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-05,0
2012-02-06,0
2012-02-07,0
2012-02-08,0
2012-02-09,0
2012-02-10,0
2012-02-11,0
2012-02-15,0
2012-02-17,0
2012-02-18,0
2012-02-19,0
2012-02-26,0
2012-02-27,0
2012-02-28,0
2012-02-29,0
2012-03-08,0
2012-03-09,0
2012-03-10,0
2012-03-11,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-28,0
2012-03-29,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-12,0
2012-04-13,0
2012-04-14,0
2012-04-15,0
2012-04-16,0
2012-04-17,0
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-21,0
2012-04-22,0
2012-04-23,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0
2012-05-01,0
2012-05-02,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-26,0
2012-06-27,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-12,0
2012-07-13,0
2012-07-22,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-17,0
2012-08-18,0
2012-08-25,0
2012-08-26,0
2012-09-01,0
2012-09-05,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,25
2012-10-12,33
2012-10-13,25
2012-10-14,57
2012-10-15,40
2012-10-16,41
2012-10-17,29
2012-10-18,49
2012-10-19,47
2012-10-20,47
2012-10-21,45
2012-10-22,56
2012-10-23,39
2012-10-24,44
2012-10-25,48
2012-10-26,42
2012-10-27,48
2012-10-28,43
2012-10-29,48
2012-10-30,27
2012-10-31,24
2012-11-01,25
2012-11-02,19
2012-11-03,2
2012-11-04,0
2012-11-05,18
2012-11-06,41
2012-11-07,20
2012-11-08,24
2012-11-09,22
2012-11-10,26
2012-11-11,24
2012-11-12,48
2012-11-13,66
2012-11-14,84
2012-11-15,104
2012-11-16,111
2012-11-17,84
2012-11-18,66
2012-11-19,55
2012-11-20,67
2012-11-21,72
2012-11-22,102
2012-11-23,96
2012-11-24,87
2012-11-25,83
2012-11-26,101
2012-11-27,81
2012-11-28,87
2012-11-29,104
2012-11-30,117
2012-12-01,98
2012-12-02,73
2012-12-03,53
2012-12-04,86
2012-12-05,105
2012-12-06,76
2012-12-07,47
2012-12-08,27
2012-12-09,12
2012-12-10,22
2012-12-11,19
2012-12-13,55
2012-12-14,65
2012-12-15,86
2012-12-16,71
2012-12-17,84
2012-12-18,68
2012-12-19,72
2012-12-20,50
2012-12-21,77
2012-12-22,79
2012-12-23,60
2012-12-24,72
2012-12-25,71
2012-12-26,73
2012-12-27,59
2012-12-28,25
2012-12-29,43
2012-12-30,55
2012-12-31,26
2013-01-01,64
2013-01-02,101
2013-01-03,90
2013-01-04,86
2013-01-05,80
2013-01-06,56
2013-01-07,61
2013-01-08,65
