date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-07,0
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,12
2012-01-19,24
2012-01-20,9
2012-01-21,15
2012-01-22,16
2012-01-23,7
2012-01-24,7
2012-01-25,0
2012-01-26,17
2012-01-27,19
2012-01-28,23
2012-01-29,28
2012-01-30,24
2012-01-31,8
2012-02-02,0
2012-02-03,7
2012-02-04,19
2012-02-05,13
2012-02-06,19
2012-02-07,12
2012-02-08,0
2012-02-09,0
2012-02-10,19
2012-02-11,24
2012-02-12,22
2012-02-13,16
2012-02-14,0
2012-02-16,0
2012-02-17,20
2012-02-18,23
2012-02-19,17
2012-02-20,15
2012-02-21,0
2012-02-22,0
2012-02-23,8
2012-02-24,15
2012-02-25,5
2012-02-26,13
2012-02-27,8
2012-02-28,16
2012-02-29,0
2012-03-01,0
2012-03-02,7
2012-03-03,19
2012-03-04,11
2012-03-05,16
2012-03-06,7
2012-03-07,0
2012-03-08,4
2012-03-09,8
2012-03-10,20
2012-03-11,23
2012-03-12,24
2012-03-13,23
2012-03-14,25
2012-03-15,16
2012-03-16,0
2012-03-17,0
2012-03-18,24
2012-03-19,24
2012-03-20,23
2012-03-21,28
2012-03-22,16
2012-03-23,0
2012-03-24,18
2012-03-25,24
2012-03-26,23
2012-03-27,24
2012-03-28,23
2012-03-29,22
2012-03-30,24
2012-03-31,23
2012-04-01,19
2012-04-02,0
2012-04-03,0
2012-04-04,1
2012-04-05,16
2012-04-06,0
2012-04-07,17
2012-04-08,23
2012-04-09,23
2012-04-10,12
2012-04-11,0
2012-04-12,0
2012-04-13,0
2012-04-14,13
2012-04-15,9
2012-04-16,20
2012-04-17,19
2012-04-18,12
2012-04-19,0
2012-04-20,8
2012-04-21,23
2012-04-22,23
2012-04-23,18
2012-04-24,11
2012-04-25,0
2012-04-26,0
2012-04-27,4
2012-04-28,24
2012-04-29,23
2012-04-30,23
2012-05-01,0
2012-05-02,0
2012-05-03,9
2012-05-04,23
2012-05-05,10
2012-05-06,19
2012-05-07,23
2012-05-08,21
2012-05-09,13
2012-05-10,6
2012-05-11,0
2012-05-12,2
2012-05-13,23
2012-05-14,21
2012-05-15,25
2012-05-16,24
2012-05-17,10
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,4
2012-05-23,30
2012-05-24,21
2012-05-25,24
2012-05-26,20
2012-05-27,23
2012-05-28,24
2012-05-29,11
2012-05-30,0
2012-05-31,0
2012-06-01,6
2012-06-02,16
2012-06-03,23
2012-06-04,22
2012-06-05,22
2012-06-06,24
2012-06-07,24
2012-06-08,16
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,19
2012-06-16,25
2012-06-17,39
2012-06-18,13
2012-06-19,5
2012-06-20,0
2012-06-21,0
2012-06-22,8
2012-06-23,25
2012-06-24,26
2012-06-25,23
2012-06-26,21
2012-06-27,35
2012-06-28,9
2012-06-29,8
2012-06-30,24
2012-07-01,28
2012-07-02,12
