date,fishing
2012-01-05,0
2012-01-06,0
2012-01-07,9
2012-01-08,19
2012-01-09,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,1
2012-01-16,0
2012-01-17,0
2012-01-18,6
2012-01-19,11
2012-01-20,8
2012-01-21,7
2012-01-22,26
2012-01-23,25
2012-01-24,9
2012-01-25,1
2012-01-26,2
2012-01-27,0
2012-01-28,5
2012-01-29,24
2012-01-30,24
2012-01-31,23
2012-02-01,26
2012-02-02,38
2012-02-03,47
2012-02-04,44
2012-02-05,35
2012-02-06,23
2012-02-07,23
2012-02-08,23
2012-02-09,12
2012-02-10,0
2012-02-11,0
2012-02-12,20
2012-02-13,46
2012-02-14,49
2012-02-15,47
2012-02-16,52
2012-02-17,71
2012-02-18,63
2012-02-19,40
2012-02-20,27
2012-02-21,25
2012-02-22,3
2012-02-23,13
2012-02-24,13
2012-02-25,11
2012-02-26,0
2012-02-27,0
2012-02-28,0
2012-02-29,0
2012-03-01,23
2012-03-02,27
2012-03-03,48
2012-03-04,47
2012-03-05,67
2012-03-06,53
2012-03-07,61
2012-03-08,50
2012-03-09,27
2012-03-10,34
2012-03-11,27
2012-03-12,11
2012-03-13,3
2012-03-14,0
2012-03-15,5
2012-03-16,26
2012-03-17,33
2012-03-18,40
2012-03-19,40
2012-03-20,54
2012-03-21,54
2012-03-22,67
2012-03-23,81
2012-03-24,65
2012-03-25,60
2012-03-26,35
2012-03-27,25
2012-03-28,43
2012-03-29,52
2012-03-30,56
2012-03-31,46
2012-04-01,25
2012-04-02,16
2012-04-03,24
2012-04-04,26
2012-04-05,46
2012-04-06,31
2012-04-07,42
2012-04-08,23
2012-04-09,30
2012-04-10,35
2012-04-11,29
2012-04-12,13
2012-04-13,0
2012-04-14,2
2012-04-15,10
2012-04-16,19
2012-04-17,22
2012-04-18,46
2012-04-19,44
2012-04-20,51
2012-04-21,58
2012-04-22,64
2012-04-23,42
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,8
2012-04-29,23
2012-04-30,20
2012-05-01,71
2012-05-02,56
2012-05-03,68
2012-05-04,68
2012-05-05,71
2012-05-06,64
2012-05-07,48
2012-05-08,23
2012-05-09,10
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,18
2012-05-17,40
2012-05-18,46
2012-05-19,63
2012-05-20,76
2012-05-21,65
2012-05-22,57
2012-05-23,43
2012-05-24,37
2012-05-25,11
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,7
2012-06-01,28
2012-06-02,48
2012-06-03,29
2012-06-04,18
2012-06-05,23
2012-06-06,31
2012-06-07,45
2012-06-08,43
2012-06-09,47
2012-06-10,24
2012-06-11,29
2012-06-12,31
2012-06-13,22
2012-06-14,28
2012-06-15,23
2012-06-16,50
2012-06-17,32
2012-06-18,23
2012-06-19,15
2012-06-20,40
2012-06-21,32
2012-06-22,34
2012-06-23,45
2012-06-24,51
2012-06-25,36
2012-06-26,19
2012-06-27,24
2012-06-28,41
2012-06-29,47
2012-06-30,29
2012-07-01,22
2012-07-02,37
2012-07-03,21
2012-07-04,0
2012-07-05,21
2012-07-06,10
2012-07-07,0
2012-07-08,13
2012-07-09,29
2012-07-10,46
2012-07-11,73
2012-07-12,26
2012-07-13,47
2012-07-14,41
2012-07-15,39
2012-07-16,40
2012-07-17,29
2012-07-18,27
2012-07-19,18
2012-07-20,5
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,12
2012-07-26,24
2012-07-27,28
2012-07-28,31
2012-07-29,44
2012-07-30,47
2012-07-31,55
2012-08-01,26
2012-08-02,26
2012-08-03,26
2012-08-04,35
2012-08-05,21
2012-08-06,23
2012-08-07,23
2012-08-08,20
2012-08-09,46
2012-08-10,33
2012-08-11,12
2012-08-12,5
2012-08-13,28
2012-08-14,8
2012-08-15,23
2012-08-16,20
2012-08-17,30
2012-08-18,21
2012-08-19,22
2012-08-20,37
2012-08-21,81
2012-08-22,40
2012-08-23,58
2012-08-24,46
2012-08-25,39
2012-08-26,34
2012-08-27,28
2012-08-28,10
2012-08-29,5
2012-08-30,4
2012-08-31,4
2012-09-01,12
2012-09-02,24
2012-09-03,24
2012-09-04,45
2012-09-05,43
2012-09-06,49
2012-09-07,23
2012-09-08,11
2012-09-09,0
2012-09-10,14
2012-09-11,16
2012-09-12,46
2012-09-13,10
2012-09-14,4
2012-09-15,7
2012-09-16,4
2012-09-17,23
2012-09-18,25
2012-09-19,0
2012-09-20,0
2012-09-21,13
2012-09-22,69
2012-09-23,60
