date,fishing
2012-01-01,0
2012-01-02,9
2012-01-03,33
2012-01-04,5
2012-01-05,0
2012-01-06,1
2012-01-07,0
2012-01-08,0
2012-01-09,36
2012-01-10,38
2012-01-11,34
2012-01-12,15
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,102
2012-01-17,105
2012-01-18,110
2012-01-19,79
2012-01-20,27
2012-01-21,20
2012-01-22,35
2012-01-23,164
2012-01-24,252
2012-01-25,311
2012-01-26,300
2012-01-27,68
2012-01-28,23
2012-01-29,4
2012-01-30,164
2012-01-31,259
2012-02-01,255
2012-02-02,215
2012-02-03,52
2012-02-04,3
2012-02-05,10
2012-02-06,126
2012-02-07,223
2012-02-08,226
2012-02-09,248
2012-02-10,101
2012-02-11,58
2012-02-12,77
2012-02-13,178
2012-02-14,108
2012-02-15,99
2012-02-16,180
2012-02-17,190
2012-02-18,92
2012-02-19,84
2012-02-20,355
2012-02-21,345
2012-02-22,255
2012-02-23,241
2012-02-24,256
2012-02-25,175
2012-02-26,161
2012-02-27,302
2012-02-28,293
2012-02-29,384
2012-03-01,361
2012-03-02,209
2012-03-03,128
2012-03-04,128
2012-03-05,339
2012-03-06,433
2012-03-07,271
2012-03-08,262
2012-03-09,234
2012-03-10,182
2012-03-11,115
2012-03-12,366
2012-03-13,575
2012-03-14,604
2012-03-15,519
2012-03-16,301
2012-03-17,99
2012-03-18,110
2012-03-19,336
2012-03-20,523
2012-03-21,616
2012-03-22,566
2012-03-23,303
2012-03-24,150
2012-03-25,226
2012-03-26,808
2012-03-27,974
2012-03-28,904
2012-03-29,594
2012-03-30,240
2012-03-31,188
2012-04-01,111
2012-04-02,528
2012-04-03,758
2012-04-04,727
2012-04-05,756
2012-04-06,246
2012-04-07,136
2012-04-08,196
2012-04-09,272
2012-04-10,715
2012-04-11,1007
2012-04-12,860
2012-04-13,387
2012-04-14,211
2012-04-15,141
2012-04-16,798
2012-04-17,885
2012-04-18,864
2012-04-19,829
2012-04-20,362
2012-04-21,158
2012-04-22,186
2012-04-23,633
2012-04-24,765
2012-04-25,689
2012-04-26,557
2012-04-27,204
2012-04-28,89
2012-04-29,62
2012-04-30,437
2012-05-01,773
2012-05-02,892
2012-05-03,659
2012-05-04,210
2012-05-05,50
2012-05-06,40
2012-05-07,582
2012-05-08,736
2012-05-09,712
2012-05-10,478
2012-05-11,88
2012-05-12,23
2012-05-13,42
2012-05-14,511
2012-05-15,476
2012-05-16,222
2012-05-17,268
2012-05-18,84
2012-05-19,40
2012-05-20,56
2012-05-21,633
2012-05-22,720
2012-05-23,699
2012-05-24,583
2012-05-25,149
2012-05-26,35
2012-05-27,55
2012-05-28,214
2012-05-29,731
2012-05-30,897
2012-05-31,778
2012-06-01,163
2012-06-02,50
2012-06-03,73
2012-06-04,915
2012-06-05,1063
2012-06-06,898
2012-06-07,731
2012-06-08,133
2012-06-09,41
2012-06-10,43
2012-06-11,757
2012-06-12,908
2012-06-13,791
2012-06-14,710
2012-06-15,150
2012-06-16,36
2012-06-17,51
2012-06-18,672
2012-06-19,889
2012-06-20,866
2012-06-21,407
2012-06-22,38
2012-06-23,1
2012-06-24,4
2012-06-25,373
2012-06-26,517
2012-06-27,564
2012-06-28,582
2012-06-29,144
2012-06-30,66
2012-07-01,15
2012-07-02,503
2012-07-03,700
2012-07-04,636
2012-07-05,449
2012-07-06,108
2012-07-07,49
2012-07-08,36
2012-07-09,569
2012-07-10,768
2012-07-11,595
2012-07-12,506
2012-07-13,117
2012-07-14,61
2012-07-15,78
2012-07-16,749
2012-07-17,743
2012-07-18,479
2012-07-19,294
2012-07-20,91
2012-07-21,82
2012-07-22,96
2012-07-23,781
2012-07-24,985
2012-07-25,1036
2012-07-26,808
2012-07-27,230
2012-07-28,106
2012-07-29,77
2012-07-30,538
2012-07-31,728
2012-08-01,723
2012-08-02,573
2012-08-03,153
2012-08-04,5
2012-08-05,42
2012-08-06,570
2012-08-07,658
2012-08-08,668
2012-08-09,477
2012-08-10,112
2012-08-11,76
