date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,0
2012-01-21,9
2012-01-22,8
2012-01-23,18
2012-01-24,19
2012-01-25,10
2012-01-26,5
2012-01-27,12
2012-01-28,24
2012-01-29,54
2012-01-30,24
2012-01-31,23
2012-02-01,4
2012-02-02,0
2012-02-03,0
2012-02-04,0
2012-02-05,2
2012-02-06,23
2012-02-07,20
2012-02-08,7
2012-02-09,10
2012-02-10,10
2012-02-11,22
2012-02-12,23
2012-02-13,23
2012-02-14,23
2012-02-15,24
2012-02-16,24
2012-02-17,16
2012-02-18,23
2012-02-19,20
2012-02-20,23
2012-02-21,30
2012-02-22,17
2012-02-23,23
2012-02-24,24
2012-02-25,29
2012-02-26,7
2012-02-27,0
2012-02-28,28
2012-02-29,29
2012-03-01,11
2012-03-02,17
2012-03-03,18
2012-03-04,24
2012-03-05,28
2012-03-06,14
2012-03-07,5
2012-03-08,19
2012-03-09,25
2012-03-10,23
2012-03-11,23
2012-03-12,18
2012-03-13,21
2012-03-14,28
2012-03-15,0
2012-03-16,11
2012-03-17,26
2012-03-18,11
2012-03-19,1
2012-03-20,10
2012-03-21,24
2012-03-22,27
2012-03-23,48
2012-03-24,36
2012-03-25,33
2012-03-26,42
2012-03-27,29
2012-03-28,29
2012-03-29,31
2012-03-30,44
2012-03-31,34
2012-04-01,45
2012-04-02,26
2012-04-03,24
2012-04-04,25
2012-04-05,43
2012-04-06,44
2012-04-07,58
2012-04-08,77
2012-04-09,67
2012-04-10,63
2012-04-11,66
2012-04-12,38
2012-04-13,30
2012-04-14,66
2012-04-15,35
2012-04-16,31
2012-04-17,38
2012-04-18,43
2012-04-19,55
2012-04-20,58
2012-04-21,54
2012-04-22,40
2012-04-23,31
2012-04-24,52
2012-04-25,54
2012-04-26,32
2012-04-27,45
2012-04-28,84
2012-04-29,68
2012-04-30,35
2012-05-01,83
2012-05-02,77
2012-05-03,26
2012-05-04,24
2012-05-05,20
2012-05-06,52
2012-05-07,55
2012-05-08,41
2012-05-09,56
2012-05-10,53
2012-05-11,53
2012-05-12,34
2012-05-13,41
2012-05-14,64
2012-05-15,44
2012-05-16,74
2012-05-17,55
2012-05-18,59
2012-05-19,68
2012-05-20,58
2012-05-21,55
2012-05-22,68
2012-05-23,56
2012-05-24,59
2012-05-25,56
2012-05-26,67
2012-05-27,69
2012-05-28,72
2012-05-29,37
2012-05-30,27
2012-05-31,4
2012-06-01,1
2012-06-02,3
2012-06-03,4
2012-06-04,22
2012-06-05,36
2012-06-06,36
2012-06-07,10
2012-06-08,8
2012-06-09,0
2012-06-10,0
2012-06-11,5
2012-06-12,18
2012-06-13,8
2012-06-14,19
2012-06-15,10
2012-06-16,17
2012-06-17,33
2012-06-18,36
2012-06-19,28
2012-06-20,48
2012-06-21,42
2012-06-22,2
2012-06-23,21
2012-06-24,14
2012-06-25,21
2012-06-26,27
2012-06-27,20
2012-06-28,7
2012-06-29,13
