date,fishing
2012-10-19,0
2012-11-12,0
2013-02-16,0
2013-03-15,0
2013-05-25,0
2013-05-26,0
2013-06-14,0
2013-06-15,0
2013-06-23,5
2013-06-24,9
2013-06-26,0
2013-06-27,0
2013-07-05,0
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-12,0
2013-07-13,0
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-21,0
2013-07-23,0
2013-07-24,0
2013-07-25,0
2013-08-02,0
2013-08-10,0
2013-08-18,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-11,1
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-21,8
2013-10-04,0
2013-10-13,0
2013-10-18,0
2013-10-19,0
2013-11-01,0
2014-01-28,0
2014-01-29,0
2014-02-14,0
2014-02-15,0
2014-02-21,0
2014-02-22,0
2014-02-23,0
2014-02-24,0
2014-02-25,0
2014-02-26,0
2014-02-27,0
2014-02-28,0
2014-03-01,0
2014-03-03,0
2014-03-04,7
2014-03-05,0
2014-03-07,0
2014-03-08,0
2014-03-09,0
2014-03-18,0
2014-03-19,0
2014-03-20,0
2014-03-21,0
2014-03-23,0
2014-03-24,0
2014-03-25,0
2014-03-27,0
2014-03-28,14
2014-03-29,17
2014-03-30,0
2014-04-07,0
2014-04-08,0
2014-04-09,0
2014-04-10,4
2014-04-13,7
2014-04-14,21
2014-04-15,12
2014-04-16,1
2014-04-17,2
2014-04-20,0
2014-04-21,0
2014-04-22,0
2014-04-23,19
2014-04-24,17
2014-04-25,22
2014-04-26,9
2014-04-27,0
2014-04-28,0
2014-04-29,14
2014-04-30,7
2014-05-05,0
2014-05-06,18
2014-05-07,22
2014-05-08,19
2014-05-09,10
2014-05-10,0
2014-05-11,6
2014-05-12,0
2014-05-15,0
2014-05-16,29
2014-05-17,60
2014-05-18,55
2014-05-19,49
2014-05-20,49
2014-05-21,5
2014-05-22,0
2014-05-23,0
2014-05-24,34
2014-05-25,75
2014-05-26,50
2014-05-27,39
2014-05-28,15
2014-05-29,23
2014-05-30,7
2014-05-31,0
2014-06-01,0
2014-06-02,14
2014-06-03,16
2014-06-06,9
2014-06-07,73
2014-06-08,82
2014-06-09,57
2014-06-10,10
2014-06-11,0
2014-06-12,0
2014-06-16,0
2014-06-17,13
2014-06-18,3
2014-06-19,47
2014-06-20,70
2014-06-21,67
2014-06-22,57
2014-06-23,0
2014-06-24,12
2014-06-25,22
2014-06-26,18
2014-06-27,47
2014-06-28,62
2014-06-29,123
2014-06-30,119
2014-07-01,41
2014-07-02,26
2014-07-03,31
2014-07-04,82
2014-07-05,86
2014-07-06,69
2014-07-07,61
2014-07-08,48
2014-07-09,34
2014-07-10,24
2014-07-12,1
2014-07-16,0
2014-07-17,44
2014-07-18,86
2014-07-19,77
2014-07-20,49
2014-07-21,4
2014-07-22,9
2014-07-23,1
2014-07-24,16
2014-07-25,36
2014-07-26,61
2014-07-27,24
2014-07-28,12
2014-07-29,15
2014-07-30,47
2014-07-31,24
2014-08-01,29
2014-08-02,52
2014-08-03,25
2014-08-04,32
2014-08-05,43
2014-08-06,39
2014-08-07,18
2014-08-08,0
2014-08-09,25
2014-08-10,69
2014-08-11,109
2014-08-12,129
2014-08-13,86
2014-08-14,65
2014-08-15,25
2014-08-16,11
2014-08-17,0
2014-08-18,0
2014-08-19,14
2014-08-20,40
2014-08-21,35
2014-08-22,42
2014-08-23,10
2014-08-24,0
2014-08-25,23
2014-08-26,14
2014-08-27,13
2014-08-28,45
2014-08-29,87
2014-08-30,18
2014-09-01,0
2014-09-02,48
2014-09-03,38
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-10,16
2014-09-11,15
2014-09-13,9
2014-09-14,0
2014-09-17,0
2015-04-15,0
2015-04-16,1
2015-04-17,0
2015-04-28,0
2015-04-29,0
2015-05-04,0
2015-05-05,0
2015-05-06,0
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,16
2015-05-25,7
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,3
2015-05-30,13
2015-05-31,0
2015-06-01,16
2015-06-02,13
2015-06-03,43
2015-06-04,70
2015-06-05,60
2015-06-06,65
2015-06-07,55
2015-06-08,25
2015-06-09,34
2015-06-10,182
2015-06-11,192
2015-06-12,144
2015-06-13,41
2015-06-14,19
2015-06-15,48
2015-06-16,80
2015-06-17,189
2015-06-18,179
2015-06-19,59
2015-06-20,10
2015-06-21,0
2015-06-22,12
2015-06-23,8
2015-06-24,5
2015-06-25,66
2015-06-26,136
2015-06-27,132
2015-06-28,127
2015-06-29,135
2015-06-30,46
2015-07-01,4
2015-07-02,71
2015-07-03,218
2015-07-04,210
2015-07-05,181
2015-07-06,18
2015-07-07,2
2015-07-08,12
2015-07-09,128
2015-07-10,98
2015-07-11,80
2015-07-12,236
2015-07-13,159
2015-07-14,141
2015-07-15,80
2015-07-16,84
2015-07-17,73
2015-07-18,50
2015-07-19,66
