date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,22
2012-01-07,0
2012-01-08,3
2012-01-09,6
2012-01-10,6
2012-01-11,0
2012-01-12,0
2012-01-13,8
2012-01-14,24
2012-01-15,29
2012-01-16,26
2012-01-17,31
2012-01-18,72
2012-01-19,77
2012-01-20,46
2012-01-21,27
2012-01-22,43
2012-01-23,30
2012-01-24,49
2012-01-25,71
2012-01-26,55
2012-01-27,36
2012-01-28,56
2012-01-29,110
2012-01-30,129
2012-01-31,111
2012-02-01,97
2012-02-02,131
2012-02-03,169
2012-02-04,140
2012-02-05,114
2012-02-06,85
2012-02-07,87
2012-02-08,90
2012-02-09,115
2012-02-10,123
2012-02-11,85
2012-02-12,79
2012-02-13,69
2012-02-14,49
2012-02-15,58
2012-02-16,95
2012-02-17,147
2012-02-18,126
2012-02-19,131
2012-02-20,148
2012-02-21,134
2012-02-22,138
2012-02-23,122
2012-02-24,112
2012-02-25,105
2012-02-26,86
2012-02-27,106
2012-02-28,56
2012-02-29,60
2012-03-01,48
2012-03-02,24
2012-03-03,40
2012-03-04,47
2012-03-05,31
2012-03-06,13
2012-03-07,3
2012-03-08,43
2012-03-09,71
2012-03-10,111
2012-03-11,115
2012-03-12,115
2012-03-13,98
2012-03-14,86
2012-03-15,84
2012-03-16,85
2012-03-17,75
2012-03-18,95
2012-03-19,33
2012-03-20,27
2012-03-21,37
2012-03-22,24
2012-03-23,42
2012-03-24,87
2012-03-25,86
2012-03-26,96
2012-03-27,136
2012-03-28,146
2012-03-29,167
2012-03-30,169
2012-03-31,152
2012-04-01,107
2012-04-02,119
2012-04-03,101
2012-04-04,79
2012-04-05,63
2012-04-06,36
2012-04-07,17
2012-04-08,24
2012-04-09,29
2012-04-10,30
2012-04-11,67
2012-04-12,72
2012-04-13,95
2012-04-14,74
2012-04-15,83
2012-04-16,93
2012-04-17,84
2012-04-18,70
2012-04-19,60
2012-04-20,57
2012-04-21,73
2012-04-22,57
2012-04-23,72
2012-04-24,57
2012-04-25,44
2012-04-26,21
2012-04-27,47
2012-04-28,43
2012-04-29,56
2012-04-30,56
2012-05-01,47
2012-05-02,88
2012-05-03,99
2012-05-04,71
2012-05-05,84
2012-05-06,95
2012-05-07,55
2012-05-08,86
2012-05-09,65
2012-05-10,77
2012-05-11,67
2012-05-12,70
2012-05-13,42
2012-05-14,31
2012-05-15,21
2012-05-16,34
2012-05-17,40
2012-05-18,41
2012-05-19,32
2012-05-20,41
2012-05-21,46
2012-05-22,47
2012-05-23,66
2012-05-24,70
2012-05-25,83
2012-05-26,115
2012-05-27,116
2012-05-28,96
2012-05-29,98
2012-05-30,114
2012-05-31,50
2012-06-01,40
2012-06-02,43
2012-06-03,42
2012-06-04,71
2012-06-05,60
2012-06-06,69
2012-06-07,85
2012-06-08,89
2012-06-09,75
2012-06-10,70
2012-06-11,72
2012-06-12,47
2012-06-13,50
2012-06-14,39
2012-06-15,64
2012-06-16,73
2012-06-17,50
2012-06-18,23
2012-06-19,39
2012-06-20,48
2012-06-21,65
2012-06-22,69
2012-06-23,74
2012-06-24,74
2012-06-25,65
2012-06-26,69
2012-06-27,65
2012-06-28,49
2012-06-29,38
