date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,26
2012-01-04,15
2012-01-05,18
2012-01-06,48
2012-01-07,85
2012-01-08,84
2012-01-09,97
2012-01-10,98
2012-01-11,96
2012-01-12,86
2012-01-13,155
2012-01-14,205
2012-01-15,174
2012-01-16,163
2012-01-17,290
2012-01-18,457
2012-01-19,634
2012-01-20,733
2012-01-21,537
2012-01-22,658
2012-01-23,617
2012-01-24,637
2012-01-25,764
2012-01-26,724
2012-01-27,767
2012-01-28,781
2012-01-29,761
2012-01-30,876
2012-01-31,1023
2012-02-01,1092
2012-02-02,1105
2012-02-03,1367
2012-02-04,1602
2012-02-05,1656
2012-02-06,1904
2012-02-07,1934
2012-02-08,1994
2012-02-09,2086
2012-02-10,2072
2012-02-11,2164
2012-02-12,2295
2012-02-13,2637
2012-02-14,2636
2012-02-15,2442
2012-02-16,2571
2012-02-17,2842
2012-02-18,2599
2012-02-19,2377
2012-02-20,2498
2012-02-21,2515
2012-02-22,2658
2012-02-23,2571
2012-02-24,2853
2012-02-25,3042
2012-02-26,3089
2012-02-27,2708
2012-02-28,2825
2012-02-29,2883
2012-03-01,2933
2012-03-02,2918
2012-03-03,2786
2012-03-04,2879
2012-03-05,3093
2012-03-06,3072
2012-03-07,2614
2012-03-08,3018
2012-03-09,2748
2012-03-10,3399
2012-03-11,2952
2012-03-12,3082
2012-03-13,3016
2012-03-14,3307
2012-03-15,3338
2012-03-16,3139
2012-03-17,3049
2012-03-18,3131
2012-03-19,3005
2012-03-20,2857
2012-03-21,2873
2012-03-22,3112
2012-03-23,3343
2012-03-24,3092
2012-03-25,2967
2012-03-26,3105
2012-03-27,3116
2012-03-28,2898
2012-03-29,2851
2012-03-30,2801
2012-03-31,3224
2012-04-01,3075
2012-04-02,2812
2012-04-03,2888
2012-04-04,2885
2012-04-05,3476
2012-04-06,3156
2012-04-07,3043
2012-04-08,2859
2012-04-09,3081
2012-04-10,2569
2012-04-11,2561
2012-04-12,2655
2012-04-13,2695
2012-04-14,2575
2012-04-15,2475
2012-04-16,2454
2012-04-17,2740
2012-04-18,3057
2012-04-19,2723
2012-04-20,2746
2012-04-21,3068
2012-04-22,3253
2012-04-23,2777
2012-04-24,2770
2012-04-25,2704
2012-04-26,3181
2012-04-27,2811
2012-04-28,2881
2012-04-29,2923
2012-04-30,2978
2012-05-01,3012
2012-05-02,2965
2012-05-03,2981
2012-05-04,3142
2012-05-05,3279
2012-05-06,3284
2012-05-07,3408
2012-05-08,3628
2012-05-09,3635
2012-05-10,3269
2012-05-11,3468
2012-05-12,3398
2012-05-13,3680
2012-05-14,3375
2012-05-15,3276
2012-05-16,3274
2012-05-17,3393
2012-05-18,3294
2012-05-19,3287
2012-05-20,3317
2012-05-21,3335
2012-05-22,3187
2012-05-23,3277
2012-05-24,3004
2012-05-25,3143
2012-05-26,3379
2012-05-27,2995
2012-05-28,3367
2012-05-29,3373
2012-05-30,3390
2012-05-31,3082
2012-06-01,3028
2012-06-02,3063
2012-06-03,3547
2012-06-04,3101
2012-06-05,2992
2012-06-06,2901
2012-06-07,3224
2012-06-08,2858
2012-06-09,2788
2012-06-10,2947
2012-06-11,3078
2012-06-12,2933
2012-06-13,2809
2012-06-14,3019
