date,fishing
2014-06-03,0
2014-06-04,0
2014-06-05,0
2014-06-06,0
2014-06-07,0
2014-06-08,0
2014-06-09,0
2014-06-10,0
2014-06-11,0
2014-06-12,0
2014-06-13,0
2014-06-14,0
2014-06-15,0
2014-06-16,0
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,0
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-09-12,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-10,0
2014-10-11,0
2014-10-12,0
2014-10-13,0
2014-10-14,0
2014-10-15,0
2014-10-16,0
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,0
2014-10-22,0
2014-10-23,0
2014-10-24,0
2014-11-04,0
2014-11-12,0
2014-11-13,0
2014-11-14,0
2014-11-15,0
2014-11-16,0
2014-11-17,0
2014-11-18,0
2014-11-19,0
2014-11-20,0
2014-11-21,0
2014-11-22,0
2014-11-23,0
2014-11-24,0
2014-11-25,0
2014-11-26,0
2014-11-27,0
2014-11-28,0
2014-11-29,0
2014-11-30,0
2014-12-01,0
2014-12-02,0
2014-12-03,0
2014-12-04,0
2014-12-05,0
2014-12-06,0
2014-12-07,1
2014-12-08,1
2014-12-09,0
2014-12-10,0
2014-12-11,0
2014-12-18,0
2014-12-19,0
2014-12-20,0
2014-12-21,0
2014-12-22,0
2014-12-23,0
2014-12-24,0
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,0
2014-12-30,0
2014-12-31,0
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,5
2015-01-09,0
2015-01-10,0
2015-01-11,0
2015-01-12,0
2015-01-13,6
2015-01-14,5
2015-01-15,6
2015-01-16,2
2015-01-17,11
2015-01-18,0
2015-01-19,2
2015-01-20,0
2015-01-21,0
2015-01-22,0
2015-01-23,0
2015-01-24,0
2015-01-25,2
2015-01-26,14
2015-01-27,7
2015-01-28,9
2015-01-29,0
2015-01-30,0
2015-01-31,5
2015-02-01,11
2015-02-02,0
2015-02-03,5
2015-02-04,3
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,3
2015-02-13,11
2015-02-14,16
2015-02-15,20
2015-02-16,13
2015-02-17,12
2015-02-18,3
2015-02-19,0
2015-02-20,15
2015-02-21,7
2015-02-22,0
2015-02-23,0
2015-02-24,5
2015-02-25,6
2015-02-26,4
2015-02-27,2
2015-02-28,6
2015-03-01,2
2015-03-02,9
2015-03-03,0
2015-03-04,0
2015-03-05,0
2015-03-20,0
2015-03-21,11
2015-03-22,0
2015-03-28,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,0
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,0
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,5
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0
2015-06-20,0
2015-06-21,0
2015-06-22,1
2015-06-23,0
2015-06-24,0
2015-06-25,9
2015-06-30,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-09,0
2015-08-10,0
2015-08-11,11
2015-08-12,7
2015-08-13,4
2015-08-14,4
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,5
2015-08-26,12
2015-08-27,10
2015-08-28,6
2015-08-29,0
2015-08-30,16
2015-08-31,8
2015-09-01,15
2015-09-02,14
2015-09-03,25
2015-09-04,12
2015-09-05,22
2015-09-06,26
2015-09-07,24
2015-09-08,14
2015-09-09,26
2015-09-10,28
2015-09-11,17
2015-09-12,15
2015-09-13,10
2015-09-14,5
2015-09-15,22
2015-09-16,25
2015-09-17,9
2015-09-18,1
2015-09-19,0
2015-09-20,6
2015-09-21,0
2015-09-22,0
2015-09-23,3
2015-09-24,0
2015-09-25,0
2015-09-26,10
2015-09-27,1
2015-09-28,10
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,1
2015-10-23,1
2015-10-24,0
2015-10-25,6
2015-10-26,9
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,11
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,3
2015-11-04,1
2015-11-05,0
2015-11-06,10
2015-11-07,0
2015-11-08,4
2015-11-09,12
2015-11-10,2
2015-11-11,0
2015-11-12,0
2015-11-13,2
2015-11-14,5
2015-11-15,0
2015-11-16,0
2015-11-17,0
2015-11-18,0
2015-11-19,0
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,0
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,0
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,0
2015-12-16,0
2015-12-17,0
2015-12-18,5
2015-12-19,0
2015-12-20,0
2015-12-21,6
2015-12-22,3
2015-12-23,6
2015-12-24,11
2015-12-25,0
2015-12-26,23
2015-12-27,15
2015-12-28,0
2015-12-29,0
2015-12-30,12
2015-12-31,0
2016-01-01,16
2016-01-02,11
2016-01-03,11
2016-01-04,8
2016-01-05,4
2016-01-06,0
2016-01-07,3
2016-01-08,9
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,0
2016-01-13,0
2016-01-14,0
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,9
2016-02-03,0
2016-02-04,4
2016-02-05,3
2016-02-06,0
2016-02-07,1
2016-02-08,4
2016-02-09,0
2016-02-10,6
2016-02-11,3
2016-02-12,15
2016-02-13,0
2016-02-14,0
2016-02-15,2
2016-02-16,9
2016-02-17,9
2016-02-18,0
2016-02-19,9
2016-02-20,17
2016-02-21,13
2016-02-22,10
2016-02-23,12
2016-02-24,2
2016-02-25,12
2016-02-26,23
