date,fishing
2012-10-10,0
2013-01-25,0
2013-01-30,0
2013-02-08,0
2013-03-17,0
2013-03-18,0
2013-03-19,0
2013-03-20,0
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,6
2013-03-26,25
2013-03-27,22
2013-03-28,8
2013-03-29,0
2013-03-30,18
2013-03-31,24
2013-04-01,22
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-17,0
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,0
2013-05-01,0
2013-05-02,0
2013-05-03,0
2013-05-04,0
2013-05-08,0
2013-05-09,0
2013-05-10,0
2013-05-11,0
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,0
2013-05-16,0
2013-05-17,0
2013-05-18,6
2013-05-19,25
2013-05-20,23
2013-05-21,5
2013-05-26,0
2013-07-18,0
2013-07-30,0
2013-07-31,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-09-02,0
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,0
2013-09-10,0
2013-09-11,0
2013-09-12,0
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,16
2013-10-02,10
2013-10-03,22
2013-10-04,24
2013-10-05,23
2013-10-06,17
2013-10-07,18
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-12,0
2013-10-13,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,11
2013-10-18,6
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,37
2013-10-24,31
2013-10-25,24
2013-10-26,43
2013-10-27,38
2013-10-28,34
2013-10-29,39
2013-10-30,42
2013-10-31,43
2013-11-01,47
2013-11-02,46
2013-11-03,40
2013-11-04,38
2013-11-05,30
2013-11-06,25
2013-11-07,53
2013-11-08,48
2013-11-09,41
2013-11-10,14
2013-11-11,41
2013-11-12,36
2013-11-13,23
2013-11-14,27
2013-11-15,53
2013-11-16,37
2013-11-17,15
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,25
2013-11-22,25
2013-11-23,22
2013-11-24,22
2013-11-25,23
2013-11-26,25
2013-11-27,22
2013-11-28,18
2013-11-29,18
2013-11-30,24
2013-12-01,23
2013-12-02,24
2013-12-03,24
2013-12-04,26
2013-12-05,17
2013-12-06,27
2013-12-07,23
2013-12-08,23
2013-12-09,17
2013-12-10,31
2013-12-11,8
2013-12-14,15
2013-12-15,10
2013-12-16,19
2013-12-17,11
2013-12-18,20
2013-12-19,27
2013-12-20,18
2013-12-21,0
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,22
2013-12-26,29
2013-12-27,36
2013-12-28,43
2013-12-29,45
2013-12-30,41
2013-12-31,17
2014-01-01,0
2014-01-02,34
2014-01-03,43
2014-01-04,32
2014-01-05,20
2014-01-06,41
2014-01-07,50
2014-01-08,9
2014-01-09,28
2014-01-10,36
2014-01-11,37
2014-01-12,10
2014-01-13,27
2014-01-14,45
2014-01-15,24
2014-01-16,40
2014-01-17,37
2014-01-18,53
2014-01-19,54
2014-01-20,25
2014-01-21,15
2014-01-22,11
2014-01-23,25
2014-01-24,25
2014-01-25,21
2014-01-26,0
2014-01-27,27
2014-01-28,12
2014-01-29,0
2014-01-30,0
2014-01-31,0
2014-02-01,0
2014-02-02,0
2014-02-04,0
2014-02-05,0
2014-02-06,0
2014-02-20,0
2014-02-21,0
2014-02-22,0
2014-02-23,0
2014-02-24,0
2014-02-25,0
2014-02-26,0
2014-02-27,0
2014-02-28,0
2014-03-01,0
2014-03-02,0
2014-03-03,0
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-09,0
2014-03-10,0
2014-03-11,0
2014-03-12,0
2014-03-13,21
2014-03-14,22
2014-03-15,25
2014-03-16,23
2014-03-17,23
2014-03-18,24
2014-03-19,24
2014-03-20,21
2014-03-21,26
2014-03-22,0
2014-03-23,28
2014-03-24,23
2014-03-25,22
2014-03-26,3
2014-03-27,0
2014-03-28,0
2014-03-29,22
2014-03-30,14
2014-03-31,15
2014-04-01,0
2014-04-02,0
2014-04-03,27
2014-04-04,23
2014-04-05,22
2014-04-06,25
2014-04-07,11
2014-04-08,0
2014-04-09,0
2014-04-10,0
2014-04-11,0
2014-04-12,0
2014-04-13,0
2014-04-14,16
2014-04-15,25
2014-04-16,21
2014-04-17,25
2014-04-18,21
2014-04-19,23
2014-04-20,6
2014-04-21,8
2014-04-22,23
2014-04-23,23
2014-04-24,17
2014-04-25,5
2014-04-26,0
2014-04-27,0
2014-04-28,0
2014-04-29,0
2014-04-30,0
2014-05-01,0
2014-05-02,5
2014-05-03,22
2014-05-04,29
2014-05-05,23
2014-05-06,23
2014-05-07,4
2014-05-08,0
2014-05-11,8
2014-05-12,23
2014-05-13,23
2014-05-14,18
2014-05-17,7
2014-05-18,6
2014-05-19,6
2014-05-20,23
2014-05-21,25
2014-05-22,19
2014-05-23,18
2014-05-24,0
2014-05-25,0
2014-05-26,18
2014-05-27,6
2014-05-28,8
2014-05-30,2
2014-05-31,8
2014-06-01,3
2014-06-03,0
2014-06-05,0
2014-06-06,4
2014-06-07,18
2014-06-08,11
2014-06-09,0
2014-06-10,15
2014-06-11,31
2014-06-12,19
2014-06-13,21
2014-06-14,28
2014-06-15,2
2014-06-16,28
2014-06-17,23
2014-06-18,44
2014-06-19,61
2014-06-20,15
2014-06-21,26
2014-06-22,24
2014-06-23,22
2014-06-24,28
2014-06-25,20
2014-06-26,51
2014-06-27,24
2014-06-28,27
2014-06-29,21
2014-06-30,3
2014-07-01,3
2014-07-02,0
2014-07-03,0
2014-07-04,6
2014-07-05,0
2014-07-06,10
2014-07-07,22
2014-07-08,27
2014-07-09,24
2014-07-10,5
2014-07-11,6
2014-07-12,0
2014-07-14,0
2014-07-15,4
2014-07-16,0
2014-07-17,16
2014-07-18,22
2014-07-19,28
2014-07-20,23
2014-07-21,25
2014-07-22,30
2014-07-23,17
2014-07-24,24
2014-07-25,23
2014-07-26,6
2014-07-27,22
2014-07-28,24
2014-07-29,20
2014-07-30,27
2014-07-31,14
2014-08-01,24
2014-08-02,24
2014-08-03,23
2014-08-04,24
2014-08-05,23
2014-08-06,23
2014-08-07,25
2014-08-08,23
2014-08-09,24
2014-08-10,17
2014-08-11,0
2014-08-12,19
2014-08-13,18
2014-08-14,0
