date,fishing
2015-02-08,0
2015-02-09,0
2015-04-11,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0
2015-06-20,0
2015-06-21,0
2015-06-22,20
2015-06-23,8
2015-06-24,18
2015-06-25,12
2015-07-20,4
2015-07-31,8
2015-09-02,19
2015-09-03,26
2015-09-04,24
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-15,0
2015-09-16,0
2015-10-09,2
2015-10-26,0
2015-10-27,0
2015-12-08,0
2015-12-09,0
2016-02-13,0
2016-02-14,0
2016-02-19,0
2016-02-20,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-04-08,3
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-06,0
2016-05-07,6
2016-05-08,0
2016-05-09,0
2016-05-14,4
2016-05-22,8
2016-05-23,6
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,1
2016-06-07,6
2016-06-08,6
2016-06-09,3
2016-06-11,11
2016-06-12,17
2016-06-14,26
2016-06-15,15
2016-06-16,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-30,0
2016-07-01,0
2016-07-12,0
2016-07-13,0
2016-07-14,0
2016-07-15,0
2016-07-16,0
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-09-11,0
2016-09-12,0
2016-09-25,0
2016-10-16,0
2016-10-22,0
2016-10-27,0
2016-10-28,0
2016-10-30,3
2016-11-13,0
2016-11-25,17
2016-11-26,10
2016-11-28,0
2016-11-29,0
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,0
2016-12-30,0
2016-12-31,0
