date,fishing
2012-01-01,40
2012-01-02,68
2012-01-03,42
2012-01-04,12
2012-01-05,27
2012-01-06,50
2012-01-07,53
2012-01-08,83
2012-01-09,94
2012-01-10,125
2012-01-11,117
2012-01-12,83
2012-01-13,61
2012-01-14,114
2012-01-15,112
2012-01-16,151
2012-01-17,101
2012-01-18,137
2012-01-19,144
2012-01-20,152
2012-01-21,151
2012-01-22,127
2012-01-23,114
2012-01-24,149
2012-01-25,132
2012-01-26,162
2012-01-27,176
2012-01-28,217
2012-01-29,237
2012-01-30,205
2012-01-31,219
2012-02-01,215
2012-02-02,185
2012-02-03,187
2012-02-04,190
2012-02-05,227
2012-02-06,231
2012-02-07,265
2012-02-08,339
2012-02-09,352
2012-02-10,347
2012-02-11,340
2012-02-12,288
2012-02-13,307
2012-02-14,260
2012-02-15,255
2012-02-16,259
2012-02-17,340
2012-02-18,333
2012-02-19,411
2012-02-20,429
2012-02-21,694
2012-02-22,506
2012-02-23,465
2012-02-24,607
2012-02-25,514
2012-02-26,634
2012-02-27,763
2012-02-28,667
2012-02-29,696
2012-03-01,728
2012-03-02,733
2012-03-03,466
2012-03-04,709
2012-03-05,686
2012-03-06,646
2012-03-07,557
2012-03-08,578
2012-03-09,591
2012-03-10,676
2012-03-11,668
2012-03-12,755
2012-03-13,678
2012-03-14,782
2012-03-15,693
2012-03-16,678
2012-03-17,572
2012-03-18,666
2012-03-19,621
2012-03-20,614
2012-03-21,598
2012-03-22,519
2012-03-23,416
2012-03-24,494
2012-03-25,372
2012-03-26,482
2012-03-27,473
2012-03-28,536
2012-03-29,532
2012-03-30,399
2012-03-31,536
2012-04-01,580
2012-04-02,494
2012-04-03,483
2012-04-04,474
2012-04-05,583
2012-04-06,526
2012-04-07,505
2012-04-08,500
2012-04-09,543
2012-04-10,573
2012-04-11,539
2012-04-12,520
2012-04-13,499
2012-04-14,649
2012-04-15,482
2012-04-16,482
2012-04-17,682
2012-04-18,94
2012-04-19,119
2012-04-20,138
2012-04-21,115
2012-04-22,168
2012-04-23,129
2012-04-24,135
2012-04-25,119
2012-04-26,101
2012-04-27,139
2012-04-28,145
2012-04-29,161
2012-04-30,143
2012-05-01,159
2012-05-02,124
2012-05-03,117
2012-05-04,57
2012-05-05,23
2012-05-06,42
2012-05-07,47
2012-05-08,30
2012-05-09,41
2012-05-10,52
2012-05-11,60
2012-05-12,65
2012-05-13,63
2012-05-14,46
2012-05-15,64
2012-05-16,74
2012-05-17,62
2012-05-18,72
2012-05-19,66
2012-05-20,69
2012-05-21,67
2012-05-22,71
2012-05-23,71
2012-05-24,75
2012-05-25,71
2012-05-26,67
2012-05-27,75
2012-05-28,67
2012-05-29,78
2012-05-30,54
2012-05-31,43
2012-06-01,61
2012-06-02,70
2012-06-03,64
2012-06-04,53
2012-06-05,61
2012-06-06,70
2012-06-07,55
2012-06-08,63
2012-06-09,91
2012-06-10,104
2012-06-11,89
2012-06-12,77
2012-06-13,75
2012-06-14,72
2012-06-15,69
2012-06-16,54
2012-06-17,111
2012-06-18,127
2012-06-19,123
2012-06-20,134
2012-06-21,115
2012-06-22,129
2012-06-23,101
2012-06-24,58
2012-06-25,51
2012-06-26,76
2012-06-27,117
2012-06-28,73
2012-06-29,119
2012-06-30,96
2012-07-01,104
2012-07-02,106
2012-07-03,86
2012-07-04,80
2012-07-05,109
2012-07-06,145
2012-07-07,106
2012-07-08,164
2012-07-09,135
2012-07-10,153
2012-07-11,146
2012-07-12,160
2012-07-13,133
2012-07-14,134
2012-07-15,238
2012-07-16,181
2012-07-17,176
2012-07-18,280
2012-07-19,155
2012-07-20,127
2012-07-21,169
2012-07-22,173
2012-07-23,138
2012-07-24,194
2012-07-25,232
2012-07-26,149
2012-07-27,142
2012-07-28,167
2012-07-29,196
2012-07-30,244
2012-07-31,220
2012-08-01,213
2012-08-02,201
2012-08-03,140
2012-08-04,241
2012-08-05,333
2012-08-06,240
2012-08-07,232
2012-08-08,311
2012-08-09,314
2012-08-10,301
2012-08-11,252
2012-08-12,283
2012-08-13,188
2012-08-14,301
2012-08-15,195
2012-08-16,228
2012-08-17,233
2012-08-18,243
2012-08-19,222
2012-08-20,366
2012-08-21,275
2012-08-22,291
2012-08-23,290
2012-08-24,354
2012-08-25,422
2012-08-26,358
2012-08-27,344
2012-08-28,409
2012-08-29,400
2012-08-30,426
2012-08-31,297
2012-09-01,206
2012-09-02,166
2012-09-03,136
2012-09-04,78
2012-09-05,109
2012-09-06,116
2012-09-07,105
2012-09-08,122
2012-09-09,213
2012-09-10,137
2012-09-11,99
2012-09-12,96
2012-09-13,109
2012-09-14,117
2012-09-15,107
2012-09-16,113
2012-09-17,145
2012-09-18,89
2012-09-19,98
2012-09-20,107
2012-09-21,127
2012-09-22,153
2012-09-23,171
2012-09-24,190
2012-09-25,210
2012-09-26,215
2012-09-27,197
2012-09-28,161
2012-09-29,152
2012-09-30,258
2012-10-01,456
2012-10-02,386
2012-10-03,391
2012-10-04,468
2012-10-05,377
2012-10-06,391
2012-10-07,476
2012-10-08,478
2012-10-09,454
2012-10-10,374
2012-10-11,462
2012-10-12,482
2012-10-13,451
2012-10-14,492
2012-10-15,475
2012-10-16,412
2012-10-17,364
2012-10-18,358
2012-10-19,457
2012-10-20,396
2012-10-21,377
2012-10-22,468
2012-10-23,613
2012-10-24,523
2012-10-25,515
2012-10-26,425
2012-10-27,508
2012-10-28,500
2012-10-29,551
2012-10-30,615
2012-10-31,420
2012-11-01,525
2012-11-02,785
2012-11-03,658
2012-11-04,618
2012-11-05,535
2012-11-06,561
2012-11-07,503
2012-11-08,616
2012-11-09,623
2012-11-10,713
2012-11-11,496
2012-11-12,548
2012-11-13,592
2012-11-14,723
2012-11-15,717
2012-11-16,684
2012-11-17,571
2012-11-18,708
2012-11-19,536
2012-11-20,805
2012-11-21,853
2012-11-22,669
2012-11-23,632
2012-11-24,532
2012-11-25,612
2012-11-26,558
2012-11-27,618
2012-11-28,637
2012-11-29,741
2012-11-30,676
2012-12-01,647
2012-12-02,613
2012-12-03,638
2012-12-04,510
2012-12-05,649
2012-12-06,614
2012-12-07,740
2012-12-08,592
2012-12-09,636
2012-12-10,740
2012-12-11,768
2012-12-12,749
2012-12-13,843
2012-12-14,1064
2012-12-15,879
2012-12-16,765
2012-12-17,817
2012-12-18,811
2012-12-19,901
2012-12-20,972
2012-12-21,1013
2012-12-22,765
2012-12-23,647
2012-12-24,905
2012-12-25,923
2012-12-26,902
2012-12-27,818
2012-12-28,624
2012-12-29,721
2012-12-30,615
2012-12-31,813
2013-01-01,944
2013-01-02,833
2013-01-03,672
2013-01-04,766
2013-01-05,784
2013-01-06,877
2013-01-07,826
2013-01-08,847
2013-01-09,803
2013-01-10,848
2013-01-11,838
2013-01-12,827
2013-01-13,787
2013-01-14,782
2013-01-15,1146
2013-01-16,958
2013-01-17,1051
2013-01-18,980
2013-01-19,1040
2013-01-20,1075
2013-01-21,1122
