date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-11,5
2012-01-12,15
2012-01-13,24
2012-01-14,28
2012-01-15,22
2012-01-16,22
2012-01-17,24
2012-01-18,24
2012-01-19,31
2012-01-20,31
2012-01-21,36
2012-01-22,54
2012-01-23,66
2012-01-24,64
2012-01-25,67
2012-01-26,59
2012-01-27,62
2012-01-28,63
2012-01-29,60
2012-01-30,40
2012-01-31,47
2012-02-01,42
2012-02-02,39
2012-02-03,40
2012-02-04,51
2012-02-05,35
2012-02-06,27
2012-02-07,24
2012-02-08,46
2012-02-09,45
2012-02-10,32
2012-02-11,33
2012-02-12,44
2012-02-13,21
2012-02-14,28
2012-02-15,45
2012-02-16,46
2012-02-17,47
2012-02-18,21
2012-02-19,59
2012-02-20,74
2012-02-21,67
2012-02-22,36
2012-02-23,38
2012-02-24,58
2012-02-25,39
2012-02-26,27
2012-02-27,55
2012-02-28,58
2012-02-29,17
2012-03-01,23
2012-03-02,51
2012-03-03,59
2012-03-04,53
2012-03-05,51
2012-03-06,55
2012-03-07,62
2012-03-08,52
2012-03-09,64
2012-03-10,58
2012-03-11,50
2012-03-12,48
2012-03-13,48
2012-03-14,59
2012-03-15,58
2012-03-16,66
2012-03-17,65
2012-03-18,73
2012-03-19,90
2012-03-20,67
2012-03-21,64
2012-03-22,63
2012-03-23,39
2012-03-24,56
2012-03-25,47
2012-03-26,70
2012-03-27,86
2012-03-28,82
2012-03-29,55
2012-03-30,46
2012-03-31,48
2012-04-01,81
2012-04-02,69
2012-04-03,74
2012-04-04,64
2012-04-05,57
2012-04-06,93
2012-04-07,85
2012-04-08,66
2012-04-09,93
2012-04-10,86
2012-04-11,73
2012-04-12,66
2012-04-13,110
2012-04-14,106
2012-04-15,93
2012-04-16,87
2012-04-17,84
2012-04-18,79
2012-04-19,87
2012-04-20,71
2012-04-21,62
2012-04-22,45
2012-04-23,65
2012-04-24,115
2012-04-25,117
2012-04-26,105
2012-04-27,101
2012-04-28,110
2012-04-29,91
2012-04-30,111
2012-05-01,97
2012-05-02,64
2012-05-03,33
2012-05-04,46
2012-05-05,54
2012-05-06,86
2012-05-07,68
2012-05-08,62
2012-05-09,50
2012-05-10,57
2012-05-11,61
2012-05-12,75
2012-05-13,46
2012-05-14,41
2012-05-15,35
2012-05-16,75
2012-05-17,83
2012-05-18,96
2012-05-19,109
2012-05-20,113
2012-05-21,103
2012-05-22,92
2012-05-23,83
2012-05-24,100
2012-05-25,51
2012-05-26,24
2012-05-27,49
2012-05-28,48
2012-05-29,88
2012-05-30,98
2012-05-31,87
2012-06-01,91
2012-06-02,80
2012-06-03,70
2012-06-04,55
2012-06-05,59
2012-06-06,77
2012-06-07,72
2012-06-08,60
2012-06-09,69
2012-06-10,73
2012-06-11,89
2012-06-12,86
2012-06-13,94
2012-06-14,77
2012-06-15,73
2012-06-16,62
2012-06-17,64
2012-06-18,71
2012-06-19,71
2012-06-20,82
2012-06-21,32
2012-06-22,46
2012-06-23,50
2012-06-24,8
2012-06-25,23
2012-06-26,54
2012-06-27,58
2012-06-28,29
2012-06-29,54
