date,fishing
2012-01-01,27
2012-01-02,53
2012-01-03,80
2012-01-04,83
2012-01-05,125
2012-01-06,78
2012-01-07,83
2012-01-08,128
2012-01-09,115
2012-01-10,100
2012-01-11,110
2012-01-12,144
2012-01-13,135
2012-01-14,209
2012-01-15,232
2012-01-16,326
2012-01-17,309
2012-01-18,263
2012-01-19,314
2012-01-20,438
2012-01-21,446
2012-01-22,625
2012-01-23,538
2012-01-24,527
2012-01-25,601
2012-01-26,621
2012-01-27,590
2012-01-28,698
2012-01-29,925
2012-01-30,1032
2012-01-31,1071
2012-02-01,1011
2012-02-02,871
2012-02-03,1100
2012-02-04,1193
2012-02-05,1411
2012-02-06,1646
2012-02-07,1563
2012-02-08,1425
2012-02-09,1954
2012-02-10,1868
2012-02-11,1667
2012-02-12,1643
2012-02-13,1907
2012-02-14,1652
2012-02-15,1862
2012-02-16,2128
2012-02-17,2338
2012-02-18,2456
2012-02-19,2496
2012-02-20,2555
2012-02-21,2488
2012-02-22,2766
2012-02-23,2108
2012-02-24,2157
2012-02-25,2100
2012-02-26,2136
2012-02-27,2476
2012-02-28,2565
2012-02-29,2475
2012-03-01,2332
2012-03-02,2184
2012-03-03,1875
2012-03-04,1710
2012-03-05,1990
2012-03-06,2251
2012-03-07,2420
2012-03-08,2619
2012-03-09,2327
2012-03-10,2709
2012-03-11,2085
2012-03-12,2219
2012-03-13,2315
2012-03-14,2312
2012-03-15,2350
2012-03-16,1875
2012-03-17,1890
2012-03-18,1720
2012-03-19,2050
2012-03-20,1689
2012-03-21,1510
2012-03-22,1325
2012-03-23,1278
2012-03-24,1099
2012-03-25,1292
2012-03-26,1328
2012-03-27,1312
2012-03-28,1379
2012-03-29,1761
2012-03-30,1883
2012-03-31,1760
2012-04-01,1847
2012-04-02,1550
2012-04-03,1517
2012-04-04,1515
2012-04-05,1836
2012-04-06,1850
2012-04-07,1977
2012-04-08,1516
2012-04-09,1815
2012-04-10,1846
2012-04-11,1813
2012-04-12,1850
2012-04-13,1829
2012-04-14,1675
2012-04-15,1261
2012-04-16,994
2012-04-17,1089
2012-04-18,1171
2012-04-19,1062
2012-04-20,820
2012-04-21,943
2012-04-22,1077
2012-04-23,966
2012-04-24,1215
2012-04-25,1300
2012-04-26,1444
2012-04-27,1455
2012-04-28,1278
2012-04-29,1403
2012-04-30,1310
2012-05-01,1198
2012-05-02,1250
2012-05-03,1151
2012-05-04,1229
2012-05-05,1073
2012-05-06,966
2012-05-07,796
2012-05-08,766
2012-05-09,735
2012-05-10,720
2012-05-11,734
2012-05-12,847
2012-05-13,1045
2012-05-14,979
2012-05-15,1369
2012-05-16,1438
2012-05-17,1485
2012-05-18,1241
2012-05-19,1029
2012-05-20,945
2012-05-21,1052
2012-05-22,1185
2012-05-23,1200
2012-05-24,1334
2012-05-25,1288
2012-05-26,1218
2012-05-27,947
2012-05-28,882
2012-05-29,1005
2012-05-30,909
2012-05-31,835
2012-06-01,848
2012-06-02,1038
2012-06-03,1088
2012-06-04,828
2012-06-05,991
2012-06-06,944
2012-06-07,1070
2012-06-08,1049
2012-06-09,1091
2012-06-10,1294
2012-06-11,1462
2012-06-12,1623
2012-06-13,1545
2012-06-14,1602
2012-06-15,1702
2012-06-16,1296
2012-06-17,1469
2012-06-18,1615
2012-06-19,1833
2012-06-20,1568
2012-06-21,1461
2012-06-22,1386
2012-06-23,1459
2012-06-24,1886
2012-06-25,1882
2012-06-26,1556
2012-06-27,1470
2012-06-28,1502
2012-06-29,1288
2012-06-30,1279
2012-07-01,1512
2012-07-02,1546
2012-07-03,1540
2012-07-04,1572
2012-07-05,1559
2012-07-06,1926
2012-07-07,1735
2012-07-08,1806
2012-07-09,1764
2012-07-10,1690
2012-07-11,1686
2012-07-12,1690
2012-07-13,1783
2012-07-14,1514
2012-07-15,1381
2012-07-16,1643
2012-07-17,1701
2012-07-18,1658
2012-07-19,1677
2012-07-20,1617
2012-07-21,1652
2012-07-22,1768
2012-07-23,1496
2012-07-24,1595
2012-07-25,1659
2012-07-26,1631
2012-07-27,1680
2012-07-28,1655
2012-07-29,1537
2012-07-30,1551
2012-07-31,1523
2012-08-01,1490
2012-08-02,1657
2012-08-03,1900
2012-08-04,1573
2012-08-05,1561
2012-08-06,1484
2012-08-07,1512
2012-08-08,1606
2012-08-09,1577
2012-08-10,1408
2012-08-11,1369
2012-08-12,1482
2012-08-13,1559
2012-08-14,1760
2012-08-15,1691
2012-08-16,1543
2012-08-17,1302
2012-08-18,1478
2012-08-19,1776
2012-08-20,1953
2012-08-21,1589
2012-08-22,1864
2012-08-23,2005
2012-08-24,1728
2012-08-25,1663
2012-08-26,1925
2012-08-27,1942
2012-08-28,1794
2012-08-29,1782
2012-08-30,1857
2012-08-31,2035
2012-09-01,1933
2012-09-02,1803
2012-09-03,1479
2012-09-04,1390
2012-09-05,1353
2012-09-06,1796
2012-09-07,2079
2012-09-08,2238
2012-09-09,2125
2012-09-10,1922
2012-09-11,1821
2012-09-12,2489
2012-09-13,2705
2012-09-14,2223
2012-09-15,1981
2012-09-16,1537
2012-09-17,1786
2012-09-18,2059
2012-09-19,1939
2012-09-20,2047
2012-09-21,2123
2012-09-22,1775
2012-09-23,1457
2012-09-24,1780
2012-09-25,1774
2012-09-26,1501
2012-09-27,1591
2012-09-28,1850
2012-09-29,2400
2012-09-30,2125
2012-10-01,1862
2012-10-02,2023
2012-10-03,2060
2012-10-04,1758
2012-10-05,1967
2012-10-06,1965
2012-10-07,1826
2012-10-08,1744
2012-10-09,1925
2012-10-10,1939
2012-10-11,1927
2012-10-12,1623
2012-10-13,1806
2012-10-14,1680
2012-10-15,1277
2012-10-16,1122
2012-10-17,916
