date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-11,3
2012-01-12,24
2012-01-13,24
2012-01-14,20
2012-01-15,1
2012-01-16,19
2012-01-17,23
2012-01-18,27
2012-01-19,24
2012-01-20,24
2012-01-21,26
2012-01-22,24
2012-01-23,23
2012-01-24,20
2012-01-25,6
2012-01-26,21
2012-01-27,24
2012-01-28,23
2012-01-29,23
2012-01-30,29
2012-01-31,48
2012-02-01,72
2012-02-02,23
2012-02-03,42
2012-02-04,43
2012-02-05,26
2012-02-06,48
2012-02-07,63
2012-02-08,51
2012-02-09,48
2012-02-10,46
2012-02-11,48
2012-02-12,42
2012-02-13,46
2012-02-14,46
2012-02-15,47
2012-02-16,48
2012-02-17,31
2012-02-18,20
2012-02-19,36
2012-02-20,49
2012-02-21,50
2012-02-22,49
2012-02-23,45
2012-02-24,52
2012-02-25,26
2012-02-26,51
2012-02-27,40
2012-02-28,47
2012-02-29,54
2012-03-01,41
2012-03-02,27
2012-03-03,24
2012-03-04,20
2012-03-05,14
2012-03-06,20
2012-03-07,37
2012-03-08,37
2012-03-09,28
2012-03-10,51
2012-03-11,20
2012-03-12,36
2012-03-13,29
2012-03-14,41
2012-03-15,32
2012-03-16,38
2012-03-17,40
2012-03-18,35
2012-03-19,41
2012-03-20,38
2012-03-21,35
2012-03-22,46
2012-03-23,47
2012-03-24,39
2012-03-25,26
2012-03-26,47
2012-03-27,37
2012-03-28,32
2012-03-29,32
2012-03-30,29
2012-03-31,31
2012-04-01,33
2012-04-02,30
2012-04-03,41
2012-04-04,48
2012-04-05,55
2012-04-06,30
2012-04-07,23
2012-04-08,31
2012-04-09,33
2012-04-10,20
2012-04-11,21
2012-04-12,23
2012-04-13,40
2012-04-14,40
2012-04-15,30
2012-04-16,36
2012-04-17,38
2012-04-18,25
2012-04-19,23
2012-04-20,30
2012-04-21,41
2012-04-22,25
2012-04-23,23
2012-04-24,25
2012-04-25,44
2012-04-26,31
2012-04-27,36
2012-04-28,33
2012-04-29,33
2012-04-30,33
2012-05-01,43
2012-05-02,25
2012-05-03,31
2012-05-04,27
2012-05-05,23
2012-05-06,29
2012-05-07,42
2012-05-08,31
2012-05-09,25
2012-05-10,25
2012-05-11,38
2012-05-12,26
2012-05-13,50
2012-05-14,38
2012-05-15,44
2012-05-16,30
2012-05-17,33
2012-05-18,23
2012-05-19,32
2012-05-20,28
2012-05-21,32
2012-05-22,28
2012-05-23,37
2012-05-24,15
2012-05-25,0
2012-05-26,5
2012-05-27,33
2012-05-28,23
2012-05-29,23
2012-05-30,37
2012-05-31,23
2012-06-01,29
2012-06-02,22
2012-06-03,29
2012-06-04,26
2012-06-05,36
2012-06-06,30
2012-06-07,34
2012-06-08,26
2012-06-09,26
2012-06-10,31
2012-06-11,31
2012-06-12,40
2012-06-13,26
2012-06-14,25
2012-06-15,22
2012-06-16,58
2012-06-17,44
2012-06-18,49
2012-06-19,47
2012-06-20,34
2012-06-21,38
2012-06-22,45
2012-06-23,33
2012-06-24,46
2012-06-25,46
2012-06-26,36
2012-06-27,46
2012-06-28,47
2012-06-29,46
