date,fishing
2016-01-01,9
2016-01-02,5
2016-01-08,14
2016-01-09,0
2016-01-14,3
2016-01-19,10
2016-01-20,4
2016-01-21,3
2016-01-22,0
2016-01-23,1
2016-01-24,5
2016-01-25,0
2016-01-26,0
2016-01-27,4
2016-01-28,5
2016-01-29,12
2016-01-30,5
2016-01-31,0
2016-02-01,8
2016-02-02,4
2016-02-03,0
2016-02-21,0
2016-02-22,5
2016-02-23,0
2016-02-24,0
2016-03-07,1
2016-03-08,7
2016-03-09,11
2016-03-10,2
2016-03-11,7
2016-03-12,3
2016-03-13,0
2016-03-14,0
2016-03-15,8
2016-03-16,12
2016-03-17,4
2016-03-18,6
2016-03-19,1
2016-03-20,0
2016-03-26,7
2016-03-27,6
2016-03-29,3
2016-03-30,0
2016-03-31,0
2016-04-01,8
2016-04-02,18
2016-04-03,32
2016-04-04,30
2016-04-05,30
2016-04-06,15
2016-04-07,7
2016-04-10,0
2016-04-11,0
2016-04-12,12
2016-04-13,28
2016-04-14,0
2016-04-15,8
2016-04-16,1
2016-04-17,3
2016-04-18,0
2016-04-19,0
2016-04-20,3
2016-04-22,8
2016-04-23,2
2016-04-26,0
2016-05-01,0
2016-05-05,0
2016-05-06,0
2016-05-07,1
2016-05-08,2
2016-05-09,1
2016-05-10,0
2016-05-16,0
2016-05-17,5
2016-05-18,4
2016-05-19,0
2016-05-22,1
2016-05-23,0
2016-05-25,4
2016-05-26,8
2016-05-27,20
2016-05-28,20
2016-05-29,0
2016-05-30,7
2016-05-31,12
2016-06-01,7
2016-06-02,9
2016-06-03,32
2016-06-04,29
2016-06-05,28
2016-06-06,9
2016-06-07,0
2016-06-08,5
2016-06-09,0
2016-06-10,30
2016-06-11,10
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,2
2016-06-16,0
2016-06-17,7
2016-06-18,0
2016-06-19,9
2016-06-20,9
2016-06-21,3
2016-06-22,17
2016-06-23,0
2016-06-24,0
2016-06-25,3
2016-06-26,15
2016-06-27,9
2016-06-28,4
2016-06-29,0
2016-06-30,18
2016-07-01,35
2016-07-02,31
2016-07-03,28
2016-07-04,0
2016-07-05,5
2016-07-06,6
2016-07-07,0
2016-07-08,13
2016-07-09,34
2016-07-10,32
2016-07-11,9
2016-07-12,9
2016-07-13,5
2016-07-14,2
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,0
2016-07-21,7
2016-07-22,23
2016-07-23,23
2016-07-24,28
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,6
2016-07-30,28
2016-07-31,24
2016-08-01,23
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,4
2016-08-06,3
2016-08-07,0
2016-08-08,0
2016-08-09,20
2016-08-10,35
2016-08-11,9
2016-08-12,0
2016-08-13,0
2016-08-14,9
2016-08-15,31
2016-08-16,24
2016-08-17,26
2016-08-18,0
2016-08-19,0
2016-08-20,0
2016-08-21,0
2016-08-22,0
2016-08-23,0
2016-08-24,0
2016-08-25,10
2016-08-26,20
2016-08-27,24
2016-08-28,16
2016-08-29,9
2016-08-30,22
2016-08-31,27
2016-09-01,31
2016-09-02,8
2016-09-03,1
2016-09-04,8
2016-09-05,4
2016-09-06,0
2016-09-07,0
2016-09-08,13
2016-09-09,28
2016-09-10,11
2016-09-11,10
2016-09-12,10
2016-09-13,25
2016-09-14,35
2016-09-15,28
2016-09-16,19
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,1
2016-09-21,8
2016-09-22,0
2016-09-23,16
2016-09-24,16
2016-09-25,12
2016-09-26,25
2016-09-27,29
2016-09-28,30
2016-09-29,22
2016-09-30,7
2016-10-01,25
2016-10-02,35
2016-10-03,25
2016-10-04,14
2016-10-05,0
2016-10-06,2
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,5
2016-10-12,0
2016-10-13,5
2016-10-14,13
2016-10-15,3
2016-10-16,0
2016-10-17,10
2016-10-18,14
2016-10-19,3
2016-10-20,0
2016-10-21,0
2016-10-22,16
2016-10-23,35
2016-10-24,36
2016-10-25,33
2016-10-26,14
2016-10-27,1
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,7
2016-11-02,8
2016-11-03,0
2016-11-04,7
2016-11-05,5
2016-11-06,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-12,0
2016-11-13,14
2016-11-14,23
2016-11-15,46
2016-11-16,32
2016-11-17,11
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,4
2016-12-02,7
2016-12-03,10
2016-12-04,9
2016-12-05,13
2016-12-06,11
2016-12-07,5
2016-12-08,3
2016-12-09,17
2016-12-10,30
2016-12-11,18
2016-12-12,8
2016-12-13,0
2016-12-14,10
2016-12-15,9
2016-12-16,0
2016-12-17,0
2016-12-18,6
2016-12-19,12
2016-12-20,7
2016-12-21,5
2016-12-22,12
2016-12-23,12
2016-12-24,29
2016-12-25,22
2016-12-26,12
2016-12-27,13
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,0
