date,fishing
2016-01-04,0
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,6
2016-01-10,0
2016-01-11,0
2016-01-12,1
2016-01-13,0
2016-01-14,0
2016-01-15,0
2016-01-16,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,5
2016-02-02,1
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,6
2016-02-09,2
2016-02-10,3
2016-02-11,0
2016-02-12,2
2016-02-13,3
2016-02-14,14
2016-02-15,27
2016-02-16,32
2016-02-17,3
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,43
2016-02-22,25
2016-02-23,26
2016-02-24,24
2016-02-25,37
2016-02-26,16
2016-02-27,20
2016-02-28,30
2016-02-29,29
2016-03-01,47
2016-03-02,37
2016-03-03,14
2016-03-04,1
2016-03-05,53
2016-03-06,25
2016-03-07,3
2016-03-08,95
2016-03-09,138
2016-03-10,0
2016-03-11,50
2016-03-12,55
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,177
2016-03-18,205
2016-03-19,19
2016-03-20,90
2016-03-21,182
2016-03-22,92
2016-03-23,10
2016-03-24,0
2016-03-25,3
2016-03-26,37
2016-03-27,99
2016-03-28,59
2016-03-29,36
2016-03-30,57
2016-03-31,63
2016-04-01,42
2016-04-02,0
2016-04-03,35
2016-04-04,33
2016-04-05,40
2016-04-06,40
2016-04-07,51
2016-04-08,28
2016-04-09,25
2016-04-10,26
2016-04-11,11
2016-04-12,18
2016-04-13,39
2016-04-14,19
2016-04-15,0
2016-04-16,12
2016-04-17,23
2016-04-18,24
2016-04-19,36
2016-04-20,42
2016-04-21,29
2016-04-22,22
2016-04-23,38
2016-04-24,11
2016-04-25,16
2016-04-26,0
2016-04-27,25
2016-04-28,49
2016-04-29,36
2016-04-30,5
2016-05-01,0
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,83
2016-05-08,75
2016-05-09,68
2016-05-10,45
2016-05-11,71
2016-05-12,105
2016-05-13,40
2016-05-14,41
2016-05-15,17
2016-05-16,28
2016-05-17,17
2016-05-18,83
2016-05-19,67
2016-05-20,85
2016-05-21,19
2016-05-22,8
2016-05-23,31
2016-05-24,16
2016-05-25,21
2016-05-26,10
2016-05-27,7
2016-05-28,129
2016-05-29,119
2016-05-30,55
2016-05-31,55
2016-06-01,64
2016-06-02,70
2016-06-03,47
2016-06-04,47
2016-06-05,38
2016-06-06,32
2016-06-07,0
2016-06-08,15
2016-06-09,60
2016-06-10,37
2016-06-11,50
2016-06-12,23
2016-06-13,43
2016-06-14,21
2016-06-15,21
2016-06-16,62
2016-06-17,66
2016-06-18,33
2016-06-19,21
2016-06-20,16
2016-06-21,27
2016-06-22,23
2016-06-23,22
2016-06-24,22
2016-06-25,18
2016-06-26,0
2016-06-27,45
