date,fishing
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-06,2
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,1
2016-05-11,0
2016-05-12,0
2016-05-13,6
2016-05-14,0
2016-05-15,0
2016-05-16,9
2016-05-17,20
2016-05-18,21
2016-05-19,4
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,6
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,39
2016-06-04,58
2016-06-05,61
2016-06-06,18
2016-06-07,7
2016-06-08,2
2016-06-09,9
2016-06-10,1
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,23
2016-06-16,48
2016-06-17,25
2016-06-18,4
2016-06-19,4
2016-06-20,0
2016-06-21,0
2016-06-22,34
2016-06-23,89
2016-06-24,59
2016-06-25,32
2016-06-26,40
2016-06-27,12
2016-06-28,23
2016-06-29,25
2016-06-30,24
2016-07-01,5
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,40
2016-07-06,31
2016-07-07,13
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,0
2016-07-12,0
2016-07-13,6
2016-07-14,7
2016-07-15,72
2016-07-16,48
2016-07-17,2
2016-07-18,57
2016-07-19,135
2016-07-20,169
2016-07-21,149
2016-07-22,177
2016-07-23,44
2016-07-24,59
2016-07-25,81
2016-07-26,71
2016-07-27,46
2016-07-28,33
2016-07-29,31
2016-07-30,69
2016-07-31,188
2016-08-01,236
2016-08-02,193
2016-08-03,139
2016-08-04,95
2016-08-05,155
2016-08-06,265
2016-08-07,238
2016-08-08,127
2016-08-09,59
2016-08-10,168
2016-08-11,85
2016-08-12,81
2016-08-13,223
2016-08-14,303
2016-08-15,322
2016-08-16,178
2016-08-17,106
2016-08-18,88
2016-08-19,134
2016-08-20,109
2016-08-21,103
2016-08-22,109
2016-08-23,257
2016-08-24,160
2016-08-25,33
2016-08-26,90
2016-08-27,22
2016-08-28,28
2016-08-29,75
2016-08-30,149
2016-08-31,201
2016-09-01,83
2016-09-02,7
2016-09-03,102
2016-09-04,115
2016-09-05,18
2016-09-06,1
2016-09-07,0
2016-09-08,49
2016-09-09,74
2016-09-10,128
2016-09-11,79
2016-09-12,70
2016-09-13,52
2016-09-14,28
2016-09-15,52
2016-09-16,85
2016-09-17,69
2016-09-18,2
2016-09-19,0
2016-09-20,10
2016-09-21,0
2016-09-22,0
2016-09-23,24
2016-09-24,5
2016-09-25,0
2016-09-26,31
2016-09-27,40
2016-09-28,51
2016-09-29,2
2016-09-30,0
2016-10-01,7
2016-10-02,11
2016-10-03,17
2016-10-04,28
2016-10-05,25
2016-10-06,31
2016-10-07,77
2016-10-08,166
2016-10-09,215
2016-10-10,17
2016-10-11,28
2016-10-12,13
2016-10-13,0
2016-10-14,6
2016-10-15,66
2016-10-16,65
2016-10-17,0
2016-10-18,15
2016-10-19,42
2016-10-20,26
2016-10-21,6
2016-10-22,4
2016-10-23,9
2016-10-24,12
2016-10-25,3
2016-10-26,21
2016-10-27,17
2016-10-28,10
2016-10-29,11
2016-10-30,18
2016-10-31,29
2016-11-01,33
2016-11-02,31
2016-11-03,7
2016-11-04,7
2016-11-05,23
2016-11-06,33
2016-11-07,1
2016-11-08,0
2016-11-09,0
2016-11-10,5
2016-11-11,4
2016-11-12,24
2016-11-13,77
2016-11-14,67
2016-11-15,49
2016-11-16,50
2016-11-17,2
2016-11-18,23
2016-11-19,1
2016-11-20,0
2016-11-21,0
2016-11-22,25
2016-11-23,30
2016-11-24,6
2016-11-25,23
2016-11-26,3
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,12
2016-12-01,23
2016-12-02,29
2016-12-03,12
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,0
2016-12-14,28
2016-12-15,0
2016-12-16,0
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,12
2016-12-24,0
2016-12-25,51
2016-12-26,54
2016-12-27,82
2016-12-28,18
2016-12-29,18
2016-12-30,18
2016-12-31,23
