date,fishing
2016-01-01,0
2016-01-02,0
2016-01-03,23
2016-01-04,3
2016-01-05,6
2016-01-06,27
2016-01-07,75
2016-01-08,139
2016-01-09,108
2016-01-10,185
2016-01-11,148
2016-01-12,109
2016-01-13,187
2016-01-14,140
2016-01-15,107
2016-01-16,138
2016-01-17,90
2016-01-18,137
2016-01-19,146
2016-01-20,82
2016-01-21,120
2016-01-22,64
2016-01-23,77
2016-01-24,107
2016-01-25,91
2016-01-26,92
2016-01-27,121
2016-01-28,129
2016-01-29,162
2016-01-30,161
2016-01-31,180
2016-02-01,84
2016-02-02,109
2016-02-03,95
2016-02-04,55
2016-02-05,33
2016-02-06,26
2016-02-07,39
2016-02-08,55
2016-02-09,98
2016-02-10,62
2016-02-11,48
2016-02-12,112
2016-02-13,106
2016-02-14,91
2016-02-15,101
2016-02-16,148
2016-02-17,90
2016-02-18,64
2016-02-19,29
2016-02-20,24
2016-02-21,47
2016-02-22,54
2016-02-23,84
2016-02-24,149
2016-02-25,117
2016-02-26,81
2016-02-27,91
2016-02-28,67
2016-02-29,86
2016-03-01,102
2016-03-02,86
2016-03-03,54
2016-03-04,41
2016-03-05,43
2016-03-06,121
2016-03-07,94
2016-03-08,78
2016-03-09,73
2016-03-10,96
2016-03-11,110
2016-03-12,109
2016-03-13,91
2016-03-14,70
2016-03-15,61
2016-03-16,77
2016-03-17,117
2016-03-18,86
2016-03-19,81
2016-03-20,158
2016-03-21,85
2016-03-22,136
2016-03-23,142
2016-03-24,113
2016-03-25,117
2016-03-26,158
2016-03-27,192
2016-03-28,124
2016-03-29,163
2016-03-30,132
2016-03-31,75
2016-04-01,54
2016-04-02,132
2016-04-03,150
2016-04-04,123
2016-04-05,103
2016-04-06,78
2016-04-07,103
2016-04-08,116
2016-04-09,109
2016-04-10,172
2016-04-11,119
2016-04-12,164
2016-04-13,147
2016-04-14,199
2016-04-15,192
2016-04-16,234
2016-04-17,199
2016-04-18,247
2016-04-19,236
2016-04-20,218
2016-04-21,252
2016-04-22,196
2016-04-23,154
2016-04-24,243
2016-04-25,169
2016-04-26,42
2016-04-27,32
2016-04-28,29
2016-04-29,53
2016-04-30,67
2016-05-01,68
2016-05-02,128
2016-05-03,124
2016-05-04,139
2016-05-05,162
2016-05-06,123
2016-05-07,150
2016-05-08,86
2016-05-09,134
2016-05-10,108
2016-05-11,112
2016-05-12,87
2016-05-13,98
2016-05-14,126
2016-05-15,68
2016-05-16,97
2016-05-17,116
2016-05-18,108
2016-05-19,59
2016-05-20,100
2016-05-21,78
2016-05-22,109
2016-05-23,76
2016-05-24,103
2016-05-25,99
2016-05-26,100
2016-05-27,172
2016-05-28,118
2016-05-29,142
2016-05-30,168
2016-05-31,62
2016-06-01,91
2016-06-02,132
2016-06-03,107
2016-06-04,29
2016-06-05,21
2016-06-06,30
2016-06-07,47
2016-06-08,83
2016-06-09,65
2016-06-10,134
2016-06-11,84
2016-06-12,54
2016-06-13,150
2016-06-14,131
2016-06-15,100
2016-06-16,198
2016-06-17,245
