date,fishing
2016-01-01,80
2016-01-02,99
2016-01-03,105
2016-01-04,171
2016-01-05,204
2016-01-06,262
2016-01-07,158
2016-01-08,165
2016-01-09,151
2016-01-10,225
2016-01-11,226
2016-01-12,253
2016-01-13,207
2016-01-14,192
2016-01-15,187
2016-01-16,217
2016-01-17,198
2016-01-18,228
2016-01-19,217
2016-01-20,195
2016-01-21,109
2016-01-22,147
2016-01-23,171
2016-01-24,118
2016-01-25,156
2016-01-26,194
2016-01-27,212
2016-01-28,184
2016-01-29,188
2016-01-30,212
2016-01-31,149
2016-02-01,212
2016-02-02,268
2016-02-03,239
2016-02-04,213
2016-02-05,270
2016-02-06,279
2016-02-07,285
2016-02-08,242
2016-02-09,180
2016-02-10,124
2016-02-11,188
2016-02-12,201
2016-02-13,223
2016-02-14,173
2016-02-15,161
2016-02-16,181
2016-02-17,257
2016-02-18,184
2016-02-19,154
2016-02-20,191
2016-02-21,213
2016-02-22,188
2016-02-23,161
2016-02-24,228
2016-02-25,187
2016-02-26,189
2016-02-27,186
2016-02-28,237
2016-02-29,279
2016-03-01,254
2016-03-02,166
2016-03-03,193
2016-03-04,175
2016-03-05,170
2016-03-06,145
2016-03-07,156
2016-03-08,148
2016-03-09,237
2016-03-10,237
2016-03-11,221
2016-03-12,163
2016-03-13,178
2016-03-14,177
2016-03-15,211
2016-03-16,200
2016-03-17,192
2016-03-18,221
2016-03-19,185
2016-03-20,255
2016-03-21,237
2016-03-22,224
2016-03-23,211
2016-03-24,193
2016-03-25,225
2016-03-26,235
2016-03-27,195
2016-03-28,176
2016-03-29,293
2016-03-30,310
2016-03-31,246
2016-04-01,223
2016-04-02,256
2016-04-03,203
2016-04-04,140
2016-04-05,120
2016-04-06,194
2016-04-07,248
2016-04-08,245
2016-04-09,277
2016-04-10,230
2016-04-11,357
2016-04-12,289
2016-04-13,244
2016-04-14,230
2016-04-15,276
2016-04-16,286
2016-04-17,276
2016-04-18,204
2016-04-19,211
2016-04-20,188
2016-04-21,273
2016-04-22,302
2016-04-23,277
2016-04-24,161
2016-04-25,195
2016-04-26,290
2016-04-27,223
2016-04-28,251
2016-04-29,128
2016-04-30,223
2016-05-01,265
2016-05-02,267
2016-05-03,279
2016-05-04,318
2016-05-05,320
2016-05-06,341
2016-05-07,290
2016-05-08,301
2016-05-09,335
2016-05-10,321
2016-05-11,266
2016-05-12,284
2016-05-13,341
2016-05-14,261
2016-05-15,277
2016-05-16,277
2016-05-17,244
2016-05-18,252
2016-05-19,280
2016-05-20,215
2016-05-21,277
2016-05-22,205
2016-05-23,268
2016-05-24,211
2016-05-25,204
2016-05-26,229
2016-05-27,215
2016-05-28,269
2016-05-29,186
2016-05-30,201
2016-05-31,290
2016-06-01,353
2016-06-02,288
2016-06-03,197
2016-06-04,243
2016-06-05,245
2016-06-06,151
2016-06-07,200
2016-06-08,248
2016-06-09,181
2016-06-10,151
2016-06-11,205
2016-06-12,240
2016-06-13,208
2016-06-14,290
2016-06-15,237
2016-06-16,234
2016-06-17,241
2016-06-18,205
2016-06-19,219
2016-06-20,289
2016-06-21,239
2016-06-22,150
2016-06-23,233
2016-06-24,251
2016-06-25,226
2016-06-26,181
2016-06-27,149
2016-06-28,163
2016-06-29,256
2016-06-30,238
2016-07-01,275
2016-07-02,291
2016-07-03,236
2016-07-04,251
2016-07-05,242
2016-07-06,242
2016-07-07,261
2016-07-08,257
2016-07-09,242
2016-07-10,250
2016-07-11,307
2016-07-12,336
2016-07-13,297
2016-07-14,236
2016-07-15,278
2016-07-16,287
2016-07-17,295
2016-07-18,271
2016-07-19,214
2016-07-20,274
2016-07-21,226
2016-07-22,171
2016-07-23,192
2016-07-24,217
2016-07-25,154
2016-07-26,184
2016-07-27,178
2016-07-28,198
2016-07-29,173
2016-07-30,124
2016-07-31,151
2016-08-01,153
2016-08-02,111
2016-08-03,197
2016-08-04,181
2016-08-05,206
2016-08-06,257
2016-08-07,190
2016-08-08,127
2016-08-09,113
2016-08-10,134
2016-08-11,148
2016-08-12,148
2016-08-13,156
2016-08-14,153
2016-08-15,157
2016-08-16,125
2016-08-17,176
2016-08-18,180
2016-08-19,148
2016-08-20,125
2016-08-21,119
2016-08-22,147
2016-08-23,169
2016-08-24,221
2016-08-25,171
2016-08-26,173
2016-08-27,127
2016-08-28,112
2016-08-29,112
2016-08-30,109
2016-08-31,84
2016-09-01,88
2016-09-02,141
2016-09-03,101
2016-09-04,126
2016-09-05,143
2016-09-06,151
2016-09-07,153
