date,fishing
2016-01-01,43
2016-01-02,45
2016-01-03,55
2016-01-04,29
2016-01-05,46
2016-01-06,44
2016-01-07,29
2016-01-08,33
2016-01-09,26
2016-01-10,17
2016-01-11,15
2016-01-12,49
2016-01-13,68
2016-01-14,90
2016-01-15,81
2016-01-16,75
2016-01-17,72
2016-01-18,75
2016-01-19,82
2016-01-20,82
2016-01-21,71
2016-01-22,63
2016-01-23,71
2016-01-24,93
2016-01-25,57
2016-01-26,85
2016-01-27,89
2016-01-28,66
2016-01-29,30
2016-01-30,25
2016-01-31,63
2016-02-01,61
2016-02-02,115
2016-02-03,73
2016-02-04,52
2016-02-05,74
2016-02-06,63
2016-02-07,71
2016-02-08,95
2016-02-09,118
2016-02-10,68
2016-02-11,89
2016-02-12,120
2016-02-13,120
2016-02-14,94
2016-02-15,94
2016-02-16,99
2016-02-17,106
2016-02-18,98
2016-02-19,65
2016-02-20,101
2016-02-21,120
2016-02-22,119
2016-02-23,87
2016-02-24,76
2016-02-25,76
2016-02-26,71
2016-02-27,53
2016-02-28,79
2016-02-29,76
2016-03-01,62
2016-03-02,51
2016-03-03,25
2016-03-04,29
2016-03-05,41
2016-03-06,26
2016-03-07,63
2016-03-08,91
2016-03-09,57
2016-03-10,47
2016-03-11,63
2016-03-12,90
2016-03-13,93
2016-03-14,65
2016-03-15,78
2016-03-16,85
2016-03-17,89
2016-03-18,89
2016-03-19,120
2016-03-20,130
2016-03-21,95
2016-03-22,88
2016-03-23,70
2016-03-24,71
2016-03-25,94
2016-03-26,89
2016-03-27,92
2016-03-28,52
2016-03-29,55
2016-03-30,47
2016-03-31,64
2016-04-01,63
2016-04-02,55
2016-04-03,66
2016-04-04,44
2016-04-05,50
2016-04-06,42
2016-04-07,46
2016-04-08,36
2016-04-09,81
2016-04-10,63
2016-04-11,47
2016-04-12,28
2016-04-13,0
2016-04-14,8
2016-04-15,36
2016-04-16,67
2016-04-17,50
2016-04-18,41
2016-04-19,44
2016-04-20,61
2016-04-21,77
2016-04-22,80
2016-04-23,45
2016-04-24,48
2016-04-25,70
2016-04-26,23
2016-04-27,29
2016-04-28,23
2016-04-29,17
2016-04-30,0
2016-05-01,19
2016-05-02,3
2016-05-03,0
2016-05-04,0
2016-05-05,0
2016-05-06,5
2016-05-07,0
2016-05-08,5
2016-05-09,0
2016-05-10,0
2016-05-11,19
2016-05-12,0
2016-05-13,1
2016-05-14,5
2016-05-15,2
2016-05-16,9
2016-05-17,10
2016-05-18,8
2016-05-19,6
