date,fishing
2016-01-01,390
2016-01-02,428
2016-01-03,440
2016-01-04,415
2016-01-05,371
2016-01-06,394
2016-01-07,353
2016-01-08,458
2016-01-09,397
2016-01-10,365
2016-01-11,451
2016-01-12,447
2016-01-13,439
2016-01-14,303
2016-01-15,338
2016-01-16,400
2016-01-17,364
2016-01-18,378
2016-01-19,384
2016-01-20,377
2016-01-21,253
2016-01-22,259
2016-01-23,322
2016-01-24,347
2016-01-25,305
2016-01-26,423
2016-01-27,395
2016-01-28,384
2016-01-29,317
2016-01-30,315
2016-01-31,219
2016-02-01,265
2016-02-02,239
2016-02-03,334
2016-02-04,314
2016-02-05,275
2016-02-06,279
2016-02-07,301
2016-02-08,277
2016-02-09,257
2016-02-10,274
2016-02-11,264
2016-02-12,250
2016-02-13,276
2016-02-14,276
2016-02-15,277
2016-02-16,222
2016-02-17,256
2016-02-18,287
2016-02-19,292
2016-02-20,317
2016-02-21,303
2016-02-22,263
2016-02-23,261
2016-02-24,230
2016-02-25,277
2016-02-26,302
2016-02-27,301
2016-02-28,278
2016-02-29,256
2016-03-01,261
2016-03-02,270
2016-03-03,307
2016-03-04,325
2016-03-05,263
2016-03-06,294
2016-03-07,257
2016-03-08,281
2016-03-09,226
2016-03-10,294
2016-03-11,242
2016-03-12,193
2016-03-13,177
2016-03-14,180
2016-03-15,206
2016-03-16,264
2016-03-17,266
2016-03-18,343
2016-03-19,343
2016-03-20,311
2016-03-21,341
2016-03-22,361
2016-03-23,340
2016-03-24,381
2016-03-25,353
2016-03-26,396
2016-03-27,415
2016-03-28,379
2016-03-29,292
2016-03-30,308
2016-03-31,269
2016-04-01,333
2016-04-02,337
2016-04-03,387
2016-04-04,369
2016-04-05,259
2016-04-06,287
2016-04-07,238
2016-04-08,216
2016-04-09,204
2016-04-10,246
2016-04-11,248
2016-04-12,232
2016-04-13,277
2016-04-14,230
2016-04-15,269
2016-04-16,277
2016-04-17,300
2016-04-18,379
2016-04-19,305
2016-04-20,345
2016-04-21,343
2016-04-22,346
2016-04-23,284
2016-04-24,298
2016-04-25,252
2016-04-26,222
2016-04-27,196
2016-04-28,207
2016-04-29,198
2016-04-30,196
2016-05-01,292
2016-05-02,275
2016-05-03,244
