date,fishing
2016-01-01,763
2016-01-02,843
2016-01-03,1164
2016-01-04,2307
2016-01-05,2702
2016-01-06,3183
2016-01-07,2734
2016-01-08,3278
2016-01-09,2467
2016-01-10,1843
2016-01-11,2382
2016-01-12,2252
2016-01-13,3735
2016-01-14,4127
2016-01-15,3414
2016-01-16,3185
2016-01-17,3310
2016-01-18,3806
2016-01-19,4254
2016-01-20,4563
2016-01-21,4907
2016-01-22,4732
2016-01-23,4924
2016-01-24,5186
2016-01-25,4143
2016-01-26,3762
2016-01-27,3837
2016-01-28,4143
2016-01-29,3757
2016-01-30,2577
2016-01-31,2644
2016-02-01,4140
2016-02-02,3978
2016-02-03,3641
2016-02-04,4228
2016-02-05,4204
2016-02-06,1787
2016-02-07,1396
2016-02-08,1629
2016-02-09,2090
2016-02-10,3081
2016-02-11,4683
2016-02-12,4100
2016-02-13,2695
2016-02-14,2702
2016-02-15,3751
2016-02-16,5099
2016-02-17,5137
2016-02-18,4732
2016-02-19,4488
2016-02-20,4201
2016-02-21,4369
2016-02-22,4382
2016-02-23,5199
2016-02-24,5234
2016-02-25,5188
2016-02-26,4377
2016-02-27,3074
2016-02-28,3021
2016-02-29,4158
2016-03-01,4083
2016-03-02,2779
2016-03-03,3347
2016-03-04,4077
2016-03-05,3386
2016-03-06,3211
2016-03-07,4461
2016-03-08,4215
2016-03-09,2521
2016-03-10,3932
2016-03-11,4950
2016-03-12,4091
2016-03-13,3427
2016-03-14,3893
2016-03-15,4677
2016-03-16,4269
2016-03-17,4573
2016-03-18,4353
2016-03-19,2913
2016-03-20,3106
2016-03-21,4451
2016-03-22,5006
2016-03-23,4741
2016-03-24,4615
2016-03-25,4181
2016-03-26,2636
2016-03-27,2382
2016-03-28,1906
2016-03-29,3166
2016-03-30,4168
2016-03-31,4395
2016-04-01,4544
2016-04-02,4261
2016-04-03,4016
2016-04-04,4118
2016-04-05,3860
2016-04-06,3523
2016-04-07,3094
2016-04-08,3404
2016-04-09,2286
2016-04-10,2289
2016-04-11,4013
2016-04-12,6100
2016-04-13,5053
2016-04-14,5244
2016-04-15,3746
2016-04-16,3356
2016-04-17,3435
2016-04-18,4984
2016-04-19,5145
2016-04-20,4272
2016-04-21,3986
2016-04-22,3587
2016-04-23,2437
2016-04-24,2397
2016-04-25,3228
2016-04-26,3381
2016-04-27,3742
2016-04-28,4075
2016-04-29,3264
2016-04-30,3288
2016-05-01,3269
2016-05-02,4371
2016-05-03,4546
2016-05-04,5400
2016-05-05,5086
2016-05-06,4553
2016-05-07,3099
2016-05-08,2869
2016-05-09,3505
2016-05-10,4657
2016-05-11,5346
2016-05-12,4787
2016-05-13,3773
2016-05-14,3656
2016-05-15,3611
2016-05-16,3965
2016-05-17,4480
2016-05-18,3809
2016-05-19,3945
2016-05-20,3999
2016-05-21,3374
2016-05-22,2567
2016-05-23,3551
2016-05-24,4398
2016-05-25,4787
2016-05-26,5415
2016-05-27,5178
2016-05-28,4438
2016-05-29,3584
2016-05-30,4748
2016-05-31,4819
2016-06-01,4083
2016-06-02,4129
2016-06-03,4184
2016-06-04,3157
2016-06-05,3122
2016-06-06,4411
2016-06-07,4816
2016-06-08,4795
2016-06-09,4741
2016-06-10,3910
2016-06-11,3055
2016-06-12,3069
2016-06-13,3922
2016-06-14,3568
2016-06-15,3607
2016-06-16,3921
2016-06-17,3544
2016-06-18,3072
2016-06-19,2822
2016-06-20,3627
2016-06-21,4345
2016-06-22,4975
2016-06-23,5180
2016-06-24,4347
2016-06-25,3054
2016-06-26,3194
2016-06-27,4103
2016-06-28,4420
2016-06-29,3936
2016-06-30,4120
2016-07-01,3485
2016-07-02,2834
2016-07-03,3116
2016-07-04,3897
2016-07-05,4042
2016-07-06,5119
2016-07-07,4910
2016-07-08,4582
2016-07-09,4109
2016-07-10,3376
2016-07-11,3664
2016-07-12,3851
2016-07-13,3761
2016-07-14,4031
2016-07-15,4994
2016-07-16,4414
2016-07-17,4468
2016-07-18,5459
2016-07-19,5599
2016-07-20,4907
2016-07-21,4276
2016-07-22,4007
2016-07-23,3276
2016-07-24,3391
2016-07-25,4128
2016-07-26,4999
2016-07-27,4652
2016-07-28,4595
2016-07-29,4591
2016-07-30,3617
2016-07-31,3087
2016-08-01,3620
2016-08-02,4294
2016-08-03,4241
2016-08-04,3430
2016-08-05,3652
2016-08-06,3850
2016-08-07,4131
2016-08-08,4188
2016-08-09,4166
2016-08-10,4717
2016-08-11,5533
2016-08-12,5985
2016-08-13,4621
2016-08-14,4573
2016-08-15,5115
2016-08-16,5415
2016-08-17,4623
2016-08-18,4319
2016-08-19,3495
2016-08-20,2273
2016-08-21,2899
2016-08-22,4584
2016-08-23,5510
2016-08-24,6270
2016-08-25,6569
2016-08-26,5679
2016-08-27,4526
2016-08-28,3454
2016-08-29,4817
2016-08-30,6009
2016-08-31,5323
2016-09-01,4961
2016-09-02,4643
2016-09-03,3527
2016-09-04,3329
2016-09-05,5134
2016-09-06,6042
2016-09-07,6382
2016-09-08,4981
2016-09-09,5221
2016-09-10,4184
2016-09-11,4377
2016-09-12,5989
2016-09-13,5569
2016-09-14,4489
2016-09-15,4335
2016-09-16,3461
2016-09-17,2514
2016-09-18,2776
2016-09-19,3759
2016-09-20,4437
2016-09-21,4779
2016-09-22,5134
2016-09-23,4809
2016-09-24,4627
2016-09-25,4058
2016-09-26,4998
2016-09-27,5805
2016-09-28,6349
2016-09-29,5264
2016-09-30,3933
2016-10-01,3424
2016-10-02,2787
2016-10-03,5635
2016-10-04,5954
2016-10-05,5030
2016-10-06,4685
2016-10-07,4253
2016-10-08,3754
2016-10-09,4260
2016-10-10,5952
2016-10-11,6037
2016-10-12,5495
2016-10-13,4431
2016-10-14,3763
2016-10-15,3167
2016-10-16,3163
2016-10-17,5066
2016-10-18,4889
2016-10-19,5197
2016-10-20,5107
2016-10-21,4855
2016-10-22,4428
2016-10-23,4305
2016-10-24,6394
2016-10-25,6958
2016-10-26,6683
2016-10-27,6886
2016-10-28,5901
2016-10-29,4737
2016-10-30,4316
2016-10-31,5698
2016-11-01,6441
2016-11-02,6163
2016-11-03,6070
2016-11-04,4514
2016-11-05,3208
2016-11-06,3286
2016-11-07,4346
2016-11-08,5284
2016-11-09,3303
2016-11-10,3713
2016-11-11,4280
2016-11-12,3840
2016-11-13,3517
2016-11-14,4147
2016-11-15,6821
2016-11-16,5575
2016-11-17,4289
2016-11-18,3373
2016-11-19,2931
2016-11-20,2302
2016-11-21,3306
2016-11-22,4364
2016-11-23,5419
2016-11-24,4811
2016-11-25,4331
2016-11-26,4441
2016-11-27,4174
2016-11-28,5194
2016-11-29,5868
2016-11-30,6058
2016-12-01,6336
2016-12-02,5609
2016-12-03,4518
2016-12-04,4369
2016-12-05,5913
2016-12-06,6923
2016-12-07,7086
2016-12-08,6928
2016-12-09,6174
2016-12-10,5018
2016-12-11,5035
2016-12-12,6214
2016-12-13,6568
2016-12-14,6019
2016-12-15,5107
2016-12-16,4534
2016-12-17,4434
2016-12-18,4871
2016-12-19,5138
2016-12-20,4339
2016-12-21,3697
2016-12-22,3360
2016-12-23,1411
2016-12-24,623
2016-12-25,493
2016-12-26,1721
2016-12-27,3149
2016-12-28,3570
2016-12-29,3144
2016-12-30,1755
2016-12-31,1112
