date,fishing
2016-01-01,0
2016-01-02,0
2016-01-03,7
2016-01-04,7
2016-01-05,6
2016-01-06,14
2016-01-07,5
2016-01-08,0
2016-01-09,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,0
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-06-03,0
2016-06-04,0
2016-06-05,6
2016-06-06,5
2016-06-07,0
2016-06-08,5
2016-06-09,5
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,14
2016-06-14,6
2016-06-15,6
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,4
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,8
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,8
2016-07-07,15
2016-07-08,13
2016-07-09,15
2016-07-10,9
2016-07-11,12
2016-07-12,9
2016-07-13,12
2016-07-14,10
2016-07-15,11
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,0
2016-07-21,0
2016-07-22,0
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,7
2016-08-03,0
2016-08-04,0
2016-08-05,1
2016-08-06,12
2016-08-07,0
2016-08-08,4
2016-08-09,1
2016-08-10,9
2016-08-11,4
2016-08-12,9
2016-08-13,10
2016-08-14,13
2016-08-15,5
2016-08-16,6
2016-08-17,9
2016-08-18,8
2016-08-19,9
2016-08-20,15
2016-08-21,6
2016-08-22,6
2016-08-23,3
2016-08-24,7
2016-08-25,11
2016-08-26,8
2016-08-27,4
2016-08-28,3
2016-08-29,2
2016-08-30,6
2016-08-31,0
2016-09-01,0
2016-09-02,2
2016-09-03,3
2016-09-04,3
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,11
2016-09-11,0
2016-09-12,6
2016-09-13,7
2016-09-14,0
2016-09-15,0
2016-09-30,0
2016-10-01,8
2016-10-02,12
2016-10-03,14
2016-10-04,11
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,0
2016-10-23,5
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,1
2016-10-29,4
2016-10-30,3
2016-10-31,5
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-05,3
2016-11-06,4
2016-11-07,0
2016-11-08,3
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-12,0
2016-11-19,0
2016-11-20,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,4
2016-11-29,0
2016-11-30,0
2016-12-01,5
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,4
2016-12-08,8
2016-12-09,8
2016-12-10,7
2016-12-13,3
2016-12-14,11
2016-12-29,4
2016-12-30,4
2016-12-31,12
