date,fishing
2016-01-01,13
2016-01-02,24
2016-01-03,25
2016-01-04,18
2016-01-05,15
2016-01-06,11
2016-01-07,0
2016-01-10,11
2016-01-11,0
2016-01-12,0
2016-01-13,31
2016-01-14,38
2016-01-15,25
2016-01-16,0
2016-01-20,3
2016-01-21,0
2016-01-23,0
2016-01-25,27
2016-01-26,35
2016-01-28,20
2016-01-29,3
2016-01-30,8
2016-02-01,0
2016-02-02,0
2016-02-15,0
2016-02-16,0
2016-02-17,12
2016-02-18,22
2016-02-19,12
2016-02-20,0
2016-02-21,0
2016-02-23,0
2016-02-24,0
2016-02-27,0
2016-02-28,12
2016-02-29,3
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,1
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,4
2016-03-16,0
2016-03-17,8
2016-03-18,26
2016-03-19,11
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-26,0
2016-03-27,1
2016-03-28,0
2016-03-29,3
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,2
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-09,4
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-14,2
2016-04-15,0
2016-04-16,0
2016-04-17,4
2016-04-18,0
2016-04-19,3
2016-04-20,10
2016-04-21,14
2016-04-22,4
2016-04-23,39
2016-04-24,38
2016-04-25,0
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,20
2016-04-30,25
2016-05-01,46
2016-05-02,33
2016-05-03,31
2016-05-04,28
2016-05-05,34
2016-05-06,27
2016-05-07,20
2016-05-08,10
2016-05-09,33
2016-05-10,3
2016-05-11,10
2016-05-12,3
2016-05-13,0
2016-05-14,3
2016-05-15,3
2016-05-16,0
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,4
2016-05-21,23
2016-05-22,18
2016-05-23,19
2016-05-24,2
2016-05-25,4
2016-05-26,0
2016-05-27,0
2016-05-28,1
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,2
2016-06-04,0
2016-06-05,0
2016-06-06,3
2016-06-07,3
2016-06-08,0
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,2
2016-06-16,1
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,11
2016-06-21,6
2016-06-22,5
2016-06-23,6
2016-06-24,7
2016-06-25,4
2016-06-27,0
2016-06-28,0
2016-06-29,6
2016-06-30,0
2016-07-01,0
2016-07-02,17
2016-07-03,13
2016-07-04,0
2016-07-06,0
2016-07-07,6
2016-07-08,2
2016-07-10,7
2016-07-11,0
2016-07-14,0
2016-07-15,0
2016-07-17,0
2016-07-18,1
2016-07-19,0
2016-07-20,0
2016-07-21,0
2016-07-22,1
2016-07-23,2
2016-07-24,0
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-29,5
2016-07-30,0
2016-07-31,0
2016-08-01,2
2016-08-02,12
2016-08-03,33
2016-08-04,40
2016-08-05,49
2016-08-06,27
2016-08-07,28
2016-08-08,22
2016-08-09,8
2016-08-10,21
2016-08-11,37
2016-08-12,24
2016-08-13,0
2016-08-14,26
2016-08-15,36
2016-08-16,10
2016-08-17,10
2016-08-18,9
2016-08-19,12
2016-08-20,31
2016-08-21,24
2016-08-22,49
2016-08-23,52
2016-08-24,45
2016-08-25,23
2016-08-26,19
2016-08-27,13
2016-08-28,63
2016-08-29,45
2016-08-30,37
2016-08-31,18
2016-09-01,21
2016-09-02,38
2016-09-03,44
2016-09-04,23
2016-09-05,33
2016-09-06,8
2016-09-07,0
2016-09-08,11
2016-09-09,27
2016-09-10,50
2016-09-11,63
2016-09-12,61
2016-09-13,64
2016-09-14,30
2016-09-15,6
2016-09-16,22
2016-09-17,23
2016-09-18,0
2016-09-19,25
2016-09-20,29
2016-09-21,22
2016-09-22,38
2016-09-23,22
2016-09-24,13
2016-09-25,12
2016-09-26,28
2016-09-27,48
2016-09-28,36
2016-09-29,46
2016-09-30,47
2016-10-01,53
2016-10-02,32
2016-10-03,28
2016-10-04,61
2016-10-05,45
2016-10-06,30
2016-10-07,50
2016-10-08,13
2016-10-09,0
2016-10-10,24
2016-10-11,11
2016-10-12,0
2016-10-13,5
2016-10-14,5
2016-10-15,42
2016-10-16,51
2016-10-17,39
2016-10-18,50
2016-10-19,53
2016-10-20,35
2016-10-21,25
2016-10-22,0
2016-10-23,0
2016-10-24,8
2016-10-25,21
2016-10-26,14
2016-10-27,14
2016-10-28,17
2016-10-29,4
2016-10-30,12
2016-10-31,0
2016-11-01,0
2016-11-02,20
2016-11-03,7
2016-11-04,17
2016-11-05,29
2016-11-06,36
2016-11-07,19
2016-11-08,2
2016-11-09,0
2016-11-10,1
2016-11-11,0
2016-11-12,18
2016-11-13,40
2016-11-14,13
2016-11-15,16
2016-11-16,39
2016-11-17,30
2016-11-18,22
2016-11-19,29
2016-11-20,16
2016-11-21,8
2016-11-22,0
2016-11-23,0
2016-11-24,3
2016-11-25,0
2016-11-26,0
2016-11-27,17
2016-11-28,0
2016-11-29,3
2016-11-30,0
2016-12-01,7
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,4
2016-12-07,0
2016-12-08,7
2016-12-09,0
2016-12-10,11
2016-12-11,7
2016-12-12,0
2016-12-13,0
2016-12-14,12
2016-12-15,1
2016-12-16,4
2016-12-17,1
2016-12-18,16
2016-12-19,17
2016-12-20,22
2016-12-21,0
2016-12-22,0
2016-12-23,2
2016-12-24,0
2016-12-25,3
2016-12-26,0
2016-12-27,0
2016-12-28,4
2016-12-29,2
2016-12-30,1
2016-12-31,0
