date,fishing
2016-01-01,0
2016-01-02,27
2016-01-03,116
2016-01-04,184
2016-01-05,171
2016-01-06,194
2016-01-07,198
2016-01-08,269
2016-01-09,167
2016-01-10,246
2016-01-11,198
2016-01-12,180
2016-01-13,377
2016-01-14,422
2016-01-15,269
2016-01-16,191
2016-01-17,64
2016-01-18,205
2016-01-19,475
2016-01-20,594
2016-01-21,545
2016-01-22,467
2016-01-23,461
2016-01-24,422
2016-01-25,707
2016-01-26,569
2016-01-27,635
2016-01-28,744
2016-01-29,695
2016-01-30,459
2016-01-31,531
2016-02-01,1121
2016-02-02,1339
2016-02-03,762
2016-02-04,418
2016-02-05,968
2016-02-06,1060
2016-02-07,256
2016-02-08,178
2016-02-09,305
2016-02-10,176
2016-02-11,775
2016-02-12,546
2016-02-13,458
2016-02-14,548
2016-02-15,717
2016-02-16,579
2016-02-17,391
2016-02-18,535
2016-02-19,575
2016-02-20,453
2016-02-21,637
2016-02-22,520
2016-02-23,266
2016-02-24,429
2016-02-25,595
2016-02-26,583
2016-02-27,259
2016-02-28,36
2016-02-29,244
2016-03-01,891
2016-03-02,1090
2016-03-03,407
2016-03-04,603
2016-03-05,342
2016-03-06,455
2016-03-07,1166
2016-03-08,1262
2016-03-09,1118
2016-03-10,1446
2016-03-11,1272
2016-03-12,815
2016-03-13,529
2016-03-14,655
2016-03-15,1284
2016-03-16,1004
2016-03-17,1147
2016-03-18,930
2016-03-19,781
2016-03-20,661
2016-03-21,515
2016-03-22,260
2016-03-23,116
2016-03-24,204
2016-03-25,54
2016-03-26,65
2016-03-27,1
2016-03-28,160
2016-03-29,532
2016-03-30,496
2016-03-31,377
2016-04-01,574
2016-04-02,1173
2016-04-03,1398
2016-04-04,1564
2016-04-05,1717
2016-04-06,1775
2016-04-07,1549
2016-04-08,1089
2016-04-09,826
2016-04-10,980
2016-04-11,1428
2016-04-12,1276
2016-04-13,634
2016-04-14,654
2016-04-15,1099
2016-04-16,415
2016-04-17,157
2016-04-18,247
2016-04-19,242
2016-04-20,400
2016-04-21,824
2016-04-22,774
2016-04-23,440
2016-04-24,376
2016-04-25,234
2016-04-26,458
2016-04-27,405
2016-04-28,962
2016-04-29,1204
2016-04-30,1114
2016-05-01,415
2016-05-02,356
2016-05-03,372
2016-05-04,445
2016-05-05,739
2016-05-06,998
2016-05-07,659
2016-05-08,571
2016-05-09,817
2016-05-10,684
2016-05-11,172
2016-05-12,209
2016-05-13,320
2016-05-14,318
2016-05-15,358
2016-05-16,549
2016-05-17,781
2016-05-18,728
2016-05-19,346
2016-05-20,236
2016-05-21,306
2016-05-22,475
2016-05-23,230
2016-05-24,243
2016-05-25,764
2016-05-26,936
2016-05-27,1207
2016-05-28,1051
2016-05-29,638
2016-05-30,1047
2016-05-31,1502
2016-06-01,1510
2016-06-02,1391
2016-06-03,1560
2016-06-04,1517
2016-06-05,1516
2016-06-06,1354
2016-06-07,1465
2016-06-08,1653
2016-06-09,1364
2016-06-10,750
2016-06-11,662
2016-06-12,794
2016-06-13,1200
2016-06-14,1218
2016-06-15,497
2016-06-16,95
2016-06-17,227
2016-06-18,577
2016-06-19,664
2016-06-20,669
2016-06-21,756
2016-06-22,810
2016-06-23,1006
2016-06-24,1053
2016-06-25,998
2016-06-26,1117
2016-06-27,939
2016-06-28,904
2016-06-29,1197
2016-06-30,1379
2016-07-01,1322
2016-07-02,1185
2016-07-03,929
2016-07-04,978
2016-07-05,1222
2016-07-06,1219
2016-07-07,1199
2016-07-08,1394
2016-07-09,1245
2016-07-10,1343
2016-07-11,1481
2016-07-12,1346
2016-07-13,933
2016-07-14,298
2016-07-15,206
2016-07-16,126
2016-07-17,292
2016-07-18,431
2016-07-19,510
2016-07-20,609
2016-07-21,737
2016-07-22,778
2016-07-23,537
2016-07-24,495
2016-07-25,876
2016-07-26,1191
2016-07-27,1366
2016-07-28,1388
2016-07-29,1434
2016-07-30,1249
2016-07-31,1121
2016-08-01,965
2016-08-02,826
2016-08-03,1178
2016-08-04,1211
2016-08-05,774
2016-08-06,237
2016-08-07,437
2016-08-08,1057
2016-08-09,1324
2016-08-10,842
2016-08-11,422
2016-08-12,453
2016-08-13,447
2016-08-14,368
2016-08-15,182
2016-08-16,559
2016-08-17,551
2016-08-18,482
2016-08-19,610
2016-08-20,564
2016-08-21,472
2016-08-22,267
2016-08-23,295
2016-08-24,631
2016-08-25,1154
2016-08-26,1281
2016-08-27,1345
2016-08-28,1437
2016-08-29,1463
2016-08-30,1410
2016-08-31,1366
2016-09-01,1414
2016-09-02,1281
2016-09-03,1133
2016-09-04,1128
2016-09-05,513
2016-09-06,200
2016-09-07,461
2016-09-08,1013
2016-09-09,1050
2016-09-10,1190
2016-09-11,1188
2016-09-12,1213
2016-09-13,1027
2016-09-14,806
2016-09-15,535
2016-09-16,61
2016-09-17,39
2016-09-18,102
2016-09-19,138
2016-09-20,123
2016-09-21,180
2016-09-22,452
2016-09-23,733
2016-09-24,963
2016-09-25,978
2016-09-26,1035
2016-09-27,1071
2016-09-28,1024
2016-09-29,948
2016-09-30,764
2016-10-01,428
2016-10-02,416
2016-10-03,592
2016-10-04,443
2016-10-05,503
2016-10-06,949
2016-10-07,794
2016-10-08,813
2016-10-09,583
2016-10-10,400
2016-10-11,354
2016-10-12,406
2016-10-13,222
2016-10-14,16
2016-10-15,18
2016-10-16,298
2016-10-17,615
2016-10-18,510
2016-10-19,386
2016-10-20,358
2016-10-21,641
2016-10-22,1016
2016-10-23,933
2016-10-24,983
2016-10-25,1209
2016-10-26,1188
2016-10-27,666
2016-10-28,855
2016-10-29,1280
2016-10-30,1175
2016-10-31,1128
2016-11-01,1084
2016-11-02,1017
2016-11-03,875
2016-11-04,1159
2016-11-05,246
2016-11-06,26
2016-11-07,460
2016-11-08,1023
2016-11-09,1089
2016-11-10,854
2016-11-11,303
2016-11-12,151
2016-11-13,351
2016-11-14,383
2016-11-15,679
2016-11-16,725
2016-11-17,653
2016-11-18,156
2016-11-19,106
2016-11-20,190
2016-11-21,425
2016-11-22,527
2016-11-23,867
2016-11-24,878
2016-11-25,659
2016-11-26,1071
2016-11-27,1148
2016-11-28,314
2016-11-29,346
2016-11-30,958
2016-12-01,1483
2016-12-02,1507
2016-12-03,1267
2016-12-04,1208
2016-12-05,1584
2016-12-06,1289
2016-12-07,1112
2016-12-08,1364
2016-12-09,1211
2016-12-10,679
2016-12-11,685
2016-12-12,673
2016-12-13,414
2016-12-14,719
2016-12-15,648
2016-12-16,497
2016-12-17,558
2016-12-18,593
2016-12-19,422
2016-12-20,282
2016-12-21,405
2016-12-22,350
2016-12-23,104
2016-12-24,0
2016-12-25,0
2016-12-26,9
2016-12-27,161
2016-12-28,135
2016-12-29,77
2016-12-30,9
2016-12-31,0
