date,fishing
2016-01-01,82
2016-01-02,66
2016-01-03,216
2016-01-04,512
2016-01-05,1074
2016-01-06,1302
2016-01-07,1100
2016-01-08,1165
2016-01-09,1217
2016-01-10,1218
2016-01-11,886
2016-01-12,676
2016-01-13,973
2016-01-14,949
2016-01-15,1083
2016-01-16,1359
2016-01-17,998
2016-01-18,946
2016-01-19,1216
2016-01-20,1240
2016-01-21,837
2016-01-22,454
2016-01-23,440
2016-01-24,381
2016-01-25,280
2016-01-26,109
2016-01-27,209
2016-01-28,215
2016-01-29,233
2016-01-30,428
2016-01-31,517
2016-02-01,344
2016-02-02,424
2016-02-03,928
2016-02-04,1303
2016-02-05,830
2016-02-06,335
2016-02-07,239
2016-02-08,115
2016-02-09,222
2016-02-10,876
2016-02-11,1309
2016-02-12,1230
2016-02-13,1203
2016-02-14,930
2016-02-15,835
2016-02-16,678
2016-02-17,1005
2016-02-18,1316
2016-02-19,1159
2016-02-20,608
2016-02-21,559
2016-02-22,986
2016-02-23,1223
2016-02-24,1349
2016-02-25,1320
2016-02-26,1128
2016-02-27,997
2016-02-28,1101
2016-02-29,973
2016-03-01,775
2016-03-02,480
2016-03-03,673
2016-03-04,935
2016-03-05,911
2016-03-06,1040
2016-03-07,1053
2016-03-08,956
2016-03-09,777
2016-03-10,954
2016-03-11,1135
2016-03-12,1015
2016-03-13,1096
2016-03-14,961
2016-03-15,1398
2016-03-16,1284
2016-03-17,1142
2016-03-18,1210
2016-03-19,1195
2016-03-20,1627
2016-03-21,1667
2016-03-22,1572
2016-03-23,1089
2016-03-24,741
2016-03-25,536
2016-03-26,371
2016-03-27,351
2016-03-28,470
2016-03-29,787
2016-03-30,1110
2016-03-31,1087
2016-04-01,675
2016-04-02,744
2016-04-03,892
2016-04-04,1199
2016-04-05,1002
2016-04-06,625
2016-04-07,389
2016-04-08,705
2016-04-09,588
2016-04-10,284
2016-04-11,242
2016-04-12,830
2016-04-13,1104
2016-04-14,1056
2016-04-15,980
2016-04-16,892
2016-04-17,949
2016-04-18,1347
2016-04-19,1377
2016-04-20,1307
2016-04-21,987
2016-04-22,882
2016-04-23,963
2016-04-24,1022
2016-04-25,1032
2016-04-26,1005
2016-04-27,1003
2016-04-28,1124
2016-04-29,979
2016-04-30,960
2016-05-01,1034
2016-05-02,875
2016-05-03,915
2016-05-04,1066
2016-05-05,1267
2016-05-06,1260
2016-05-07,917
2016-05-08,799
2016-05-09,691
2016-05-10,777
2016-05-11,1060
2016-05-12,1316
2016-05-13,1659
2016-05-14,1545
2016-05-15,1506
2016-05-16,1420
2016-05-17,1284
2016-05-18,1050
2016-05-19,1259
2016-05-20,988
2016-05-21,789
2016-05-22,832
2016-05-23,814
2016-05-24,1087
2016-05-25,980
2016-05-26,1148
2016-05-27,1164
2016-05-28,1291
2016-05-29,1242
2016-05-30,1397
2016-05-31,1488
2016-06-01,1456
2016-06-02,1210
2016-06-03,1029
2016-06-04,844
2016-06-05,846
2016-06-06,764
2016-06-07,822
2016-06-08,1177
2016-06-09,1510
2016-06-10,1399
2016-06-11,1251
2016-06-12,1203
2016-06-13,912
2016-06-14,1007
2016-06-15,1055
2016-06-16,966
2016-06-17,925
2016-06-18,989
2016-06-19,870
2016-06-20,807
2016-06-21,837
2016-06-22,1092
2016-06-23,1170
2016-06-24,1158
2016-06-25,1023
2016-06-26,1167
2016-06-27,1080
2016-06-28,1115
2016-06-29,988
2016-06-30,1013
2016-07-01,877
2016-07-02,912
2016-07-03,941
2016-07-04,1066
2016-07-05,1112
2016-07-06,1218
2016-07-07,1059
2016-07-08,920
2016-07-09,774
2016-07-10,494
2016-07-11,725
2016-07-12,1080
2016-07-13,1187
2016-07-14,1519
2016-07-15,1346
2016-07-16,1247
2016-07-17,1345
2016-07-18,1433
2016-07-19,1430
2016-07-20,1353
2016-07-21,1022
2016-07-22,888
2016-07-23,896
2016-07-24,704
2016-07-25,726
2016-07-26,1186
2016-07-27,1418
2016-07-28,1452
2016-07-29,1347
2016-07-30,1102
2016-07-31,1028
2016-08-01,661
2016-08-02,438
2016-08-03,496
2016-08-04,639
2016-08-05,673
2016-08-06,641
2016-08-07,593
2016-08-08,518
2016-08-09,878
2016-08-10,1153
2016-08-11,1488
2016-08-12,1278
2016-08-13,1256
2016-08-14,1299
2016-08-15,1286
2016-08-16,1271
2016-08-17,1060
2016-08-18,703
2016-08-19,222
2016-08-20,116
2016-08-21,212
2016-08-22,484
2016-08-23,987
2016-08-24,1445
2016-08-25,1554
2016-08-26,1166
2016-08-27,1197
2016-08-28,1166
2016-08-29,1021
2016-08-30,966
2016-08-31,907
2016-09-01,796
2016-09-02,642
2016-09-03,342
2016-09-04,297
2016-09-05,420
2016-09-06,853
2016-09-07,1128
2016-09-08,993
2016-09-09,928
2016-09-10,951
2016-09-11,624
2016-09-12,387
2016-09-13,1187
2016-09-14,1369
2016-09-15,1247
2016-09-16,668
2016-09-17,583
2016-09-18,465
2016-09-19,549
2016-09-20,632
2016-09-21,574
2016-09-22,655
2016-09-23,464
2016-09-24,315
2016-09-25,285
2016-09-26,541
2016-09-27,906
2016-09-28,777
2016-09-29,550
2016-09-30,642
2016-10-01,573
2016-10-02,446
