date,fishing
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,22
2016-01-05,23
2016-01-06,26
2016-01-07,11
2016-01-08,39
2016-01-09,40
2016-01-10,31
2016-01-11,0
2016-01-12,0
2016-01-14,28
2016-01-15,59
2016-01-16,24
2016-01-17,0
2016-01-18,8
2016-01-19,39
2016-01-20,41
2016-01-21,50
2016-01-22,62
2016-01-23,79
2016-01-24,31
2016-01-25,19
2016-01-26,23
2016-01-27,15
2016-01-28,11
2016-01-29,24
2016-01-30,25
2016-01-31,27
2016-02-01,23
2016-02-02,24
2016-02-03,26
2016-02-04,23
2016-02-05,46
2016-02-06,40
2016-02-07,28
2016-02-08,15
2016-02-09,0
2016-02-10,12
2016-02-11,23
2016-02-12,54
2016-02-13,30
2016-02-14,20
2016-02-15,30
2016-02-16,44
2016-02-17,103
2016-02-18,76
2016-02-19,55
2016-02-20,114
2016-02-21,79
2016-02-22,98
2016-02-23,142
2016-02-24,118
2016-02-25,114
2016-02-26,117
2016-02-27,222
2016-02-28,140
2016-02-29,84
2016-03-01,84
2016-03-02,43
2016-03-03,91
2016-03-04,134
2016-03-05,105
2016-03-06,65
2016-03-07,66
2016-03-08,72
2016-03-09,147
2016-03-10,148
2016-03-11,61
2016-03-12,96
2016-03-13,84
2016-03-14,70
2016-03-15,46
2016-03-16,23
2016-03-17,24
2016-03-18,7
2016-03-19,27
2016-03-20,95
2016-03-21,80
2016-03-22,21
2016-03-23,33
2016-03-24,82
2016-03-25,113
2016-03-26,130
2016-03-27,64
2016-03-28,67
2016-03-29,50
2016-03-30,67
2016-03-31,28
2016-04-01,24
2016-04-02,23
2016-04-03,3
2016-04-04,8
2016-04-05,22
2016-04-06,31
2016-04-07,42
2016-04-08,76
2016-04-09,57
2016-04-10,35
2016-04-11,36
2016-04-12,34
2016-04-13,36
2016-04-14,40
2016-04-15,22
2016-04-16,18
2016-04-17,28
2016-04-18,18
2016-04-19,53
2016-04-20,49
2016-04-21,49
2016-04-22,67
2016-04-23,28
2016-04-24,59
2016-04-25,43
2016-04-26,23
2016-04-27,31
2016-04-28,39
2016-04-29,46
2016-04-30,16
2016-05-01,21
2016-05-02,16
2016-05-03,33
2016-05-04,46
2016-05-05,71
2016-05-06,94
2016-05-07,84
2016-05-08,72
2016-05-09,82
2016-05-10,81
2016-05-11,62
2016-05-12,101
2016-05-13,61
2016-05-14,60
2016-05-15,91
2016-05-16,103
2016-05-17,102
2016-05-18,69
2016-05-19,41
2016-05-20,24
2016-05-21,5
2016-05-22,0
2016-05-23,7
2016-05-24,38
2016-05-25,0
2016-05-26,28
2016-05-27,50
2016-05-28,58
2016-05-29,83
2016-05-30,29
2016-05-31,4
2016-06-01,0
2016-06-02,2
2016-06-03,0
2016-06-04,11
2016-06-05,51
2016-06-06,2
2016-06-07,23
2016-06-08,5
2016-06-09,0
2016-06-10,5
2016-06-11,12
2016-06-12,1
2016-06-13,8
2016-06-14,50
2016-06-15,88
2016-06-16,40
2016-06-17,7
2016-06-18,0
