date,fishing
2016-01-01,22
2016-01-02,639
2016-01-03,1577
2016-01-04,1958
2016-01-05,1885
2016-01-06,879
2016-01-07,669
2016-01-08,848
2016-01-09,1814
2016-01-10,2291
2016-01-11,2139
2016-01-12,1349
2016-01-13,1883
2016-01-14,2071
2016-01-15,1922
2016-01-16,2076
2016-01-17,1707
2016-01-18,2390
2016-01-19,2255
2016-01-20,2082
2016-01-21,1611
2016-01-22,1559
2016-01-23,1286
2016-01-24,1259
2016-01-25,1198
2016-01-26,1514
2016-01-27,1881
2016-01-28,1816
2016-01-29,1194
2016-01-30,1421
2016-01-31,1433
2016-02-01,1062
2016-02-02,1397
2016-02-03,1649
2016-02-04,994
2016-02-05,1344
2016-02-06,1629
2016-02-07,1563
2016-02-08,1585
2016-02-09,1585
2016-02-10,1884
2016-02-11,2074
2016-02-12,1643
2016-02-13,1437
2016-02-14,1936
2016-02-15,1081
2016-02-16,576
2016-02-17,1312
2016-02-18,2048
2016-02-19,1568
2016-02-20,1209
2016-02-21,1016
2016-02-22,1825
2016-02-23,2223
2016-02-24,1990
2016-02-25,1646
2016-02-26,1642
2016-02-27,2077
2016-02-28,1343
2016-02-29,1394
2016-03-01,1679
2016-03-02,2000
2016-03-03,1973
2016-03-04,1990
2016-03-05,1869
2016-03-06,1536
2016-03-07,1460
2016-03-08,1735
2016-03-09,2177
2016-03-10,886
2016-03-11,729
2016-03-12,729
2016-03-13,890
2016-03-14,1028
2016-03-15,1999
2016-03-16,1681
2016-03-17,2027
2016-03-18,1748
2016-03-19,1659
2016-03-20,1524
2016-03-21,1297
2016-03-22,761
2016-03-23,726
2016-03-24,524
2016-03-25,507
2016-03-26,528
2016-03-27,506
2016-03-28,1132
2016-03-29,1724
2016-03-30,2284
2016-03-31,1704
2016-04-01,821
2016-04-02,1561
2016-04-03,2367
2016-04-04,2449
2016-04-05,1772
2016-04-06,1501
2016-04-07,2103
2016-04-08,1171
2016-04-09,1514
2016-04-10,2388
2016-04-11,2398
2016-04-12,2261
2016-04-13,2120
2016-04-14,1698
2016-04-15,2118
