date,fishing
2016-01-01,0
2016-01-02,0
2016-01-03,33
2016-01-04,62
2016-01-05,51
2016-01-06,173
2016-01-07,146
2016-01-08,0
2016-01-09,17
2016-01-10,90
2016-01-11,127
2016-01-12,141
2016-01-13,168
2016-01-14,142
2016-01-15,100
2016-01-16,113
2016-01-17,67
2016-01-18,0
2016-01-19,3
2016-01-20,121
2016-01-21,171
2016-01-22,144
2016-01-23,62
2016-01-24,0
2016-01-25,21
2016-01-26,166
2016-01-27,198
2016-01-28,207
2016-01-29,71
2016-01-30,69
2016-01-31,131
2016-02-01,150
2016-02-02,187
2016-02-03,202
2016-02-04,177
2016-02-05,3
2016-02-06,0
2016-02-07,0
2016-02-08,142
2016-02-09,176
2016-02-10,191
2016-02-11,159
2016-02-12,61
2016-02-13,65
2016-02-14,118
2016-02-15,142
2016-02-16,143
2016-02-17,182
2016-02-18,169
2016-02-19,53
2016-02-20,22
2016-02-21,2
2016-02-22,9
2016-02-23,171
2016-02-24,238
2016-02-25,181
2016-02-26,76
2016-02-27,87
2016-02-28,119
2016-02-29,167
2016-03-01,200
2016-03-02,180
2016-03-03,138
2016-03-04,77
2016-03-05,84
2016-03-06,117
2016-03-07,181
2016-03-08,198
2016-03-09,157
2016-03-10,183
2016-03-11,81
2016-03-12,99
2016-03-13,151
2016-03-14,15
2016-03-15,0
2016-03-16,2
2016-03-17,131
2016-03-18,140
2016-03-19,167
2016-03-20,41
2016-03-21,94
2016-03-22,198
2016-03-23,183
2016-03-24,193
2016-03-25,104
2016-03-26,96
2016-03-27,76
2016-03-28,6
2016-03-29,94
2016-03-30,171
2016-03-31,180
2016-04-01,101
2016-04-02,120
2016-04-03,177
2016-04-04,205
2016-04-05,184
2016-04-06,165
2016-04-07,161
2016-04-08,101
2016-04-09,91
2016-04-10,132
2016-04-11,78
2016-04-12,76
2016-04-13,102
2016-04-14,86
2016-04-15,19
2016-04-16,33
2016-04-17,122
2016-04-18,153
2016-04-19,116
2016-04-20,108
2016-04-21,75
2016-04-22,0
2016-04-23,0
2016-04-24,37
2016-04-25,65
2016-04-26,100
2016-04-27,34
2016-04-28,2
2016-04-29,1
2016-04-30,0
2016-05-01,37
2016-05-02,70
2016-05-03,51
2016-05-04,60
2016-05-05,56
2016-05-06,8
2016-05-07,23
2016-05-08,84
2016-05-09,103
2016-05-10,91
2016-05-11,0
2016-05-12,0
2016-05-13,32
2016-05-14,57
2016-05-15,83
2016-05-16,69
2016-05-17,106
2016-05-18,63
2016-05-19,56
2016-05-20,22
2016-05-21,29
2016-05-22,68
2016-05-23,36
2016-05-24,4
2016-05-25,69
2016-05-26,95
2016-05-27,8
2016-05-28,19
2016-05-29,59
2016-05-30,124
2016-05-31,124
2016-06-01,25
2016-06-02,12
2016-06-03,24
2016-06-04,23
2016-06-05,14
2016-06-06,20
2016-06-07,25
2016-06-08,4
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,17
2016-06-15,4
2016-06-16,0
2016-06-17,0
