date,fishing
2016-01-01,75
2016-01-02,70
2016-01-03,46
2016-01-04,52
2016-01-05,52
2016-01-06,49
2016-01-07,52
2016-01-08,51
2016-01-09,54
2016-01-10,19
2016-01-11,29
2016-01-12,2
2016-01-13,2
2016-01-14,4
2016-01-15,10
2016-01-16,11
2016-01-17,9
2016-01-18,40
2016-01-19,28
2016-01-20,52
2016-01-21,31
2016-01-22,43
2016-01-23,33
2016-01-24,44
2016-01-25,34
2016-01-26,46
2016-01-27,42
2016-01-28,17
2016-01-29,41
2016-01-30,16
2016-01-31,30
2016-02-01,25
2016-02-02,24
2016-02-03,26
2016-02-04,24
2016-02-05,59
2016-02-06,38
2016-02-07,32
2016-02-08,14
2016-02-09,22
2016-02-10,36
2016-02-11,30
2016-02-12,16
2016-02-13,1
2016-02-14,32
2016-02-15,35
2016-02-16,40
2016-02-17,11
2016-02-18,27
2016-02-19,44
2016-02-20,50
2016-02-21,38
2016-02-22,52
2016-02-23,19
2016-02-24,20
2016-02-25,17
2016-02-26,29
2016-02-27,33
2016-02-28,41
2016-02-29,24
2016-03-01,36
2016-03-02,27
2016-03-03,31
2016-03-04,54
2016-03-05,35
2016-03-06,43
2016-03-07,30
2016-03-08,38
2016-03-09,36
2016-03-10,22
2016-03-11,51
2016-03-12,53
2016-03-13,48
2016-03-14,18
2016-03-15,32
2016-03-16,37
2016-03-17,33
2016-03-18,61
2016-03-19,63
2016-03-20,29
2016-03-21,39
2016-03-22,46
2016-03-23,57
2016-03-24,34
2016-03-25,45
2016-03-26,59
2016-03-27,57
2016-03-28,53
2016-03-29,27
2016-03-30,43
2016-03-31,11
2016-04-01,10
2016-04-02,37
2016-04-03,17
2016-04-04,5
2016-04-05,3
2016-04-06,0
2016-04-07,25
2016-04-08,5
2016-04-09,16
2016-04-10,25
2016-04-11,28
2016-04-12,46
2016-04-13,49
2016-04-14,69
2016-04-15,39
2016-04-16,54
2016-04-17,68
2016-04-18,48
2016-04-19,25
2016-04-20,71
2016-04-21,47
2016-04-22,58
2016-04-23,44
2016-04-24,42
2016-04-25,51
2016-04-26,25
2016-04-27,50
2016-04-28,62
2016-04-29,73
2016-04-30,88
2016-05-01,70
2016-05-02,71
2016-05-03,89
2016-05-04,66
2016-05-05,27
2016-05-06,34
2016-05-07,36
2016-05-08,49
2016-05-09,75
2016-05-10,26
2016-05-11,51
2016-05-12,49
2016-05-13,47
2016-05-14,63
2016-05-15,66
2016-05-16,59
2016-05-17,59
2016-05-18,75
2016-05-19,50
2016-05-20,58
2016-05-21,47
2016-05-22,73
2016-05-23,64
2016-05-24,39
2016-05-25,39
2016-05-26,45
2016-05-27,37
2016-05-28,69
2016-05-29,56
2016-05-30,66
2016-05-31,51
2016-06-01,59
2016-06-02,44
