date,fishing
2016-01-01,2569
2016-01-02,2709
2016-01-03,2734
2016-01-04,2510
2016-01-05,2443
2016-01-06,2520
2016-01-07,2324
2016-01-08,2308
2016-01-09,2474
2016-01-10,2798
2016-01-11,2339
2016-01-12,2260
2016-01-13,2258
2016-01-14,2452
2016-01-15,2810
2016-01-16,2523
2016-01-17,2156
2016-01-18,1905
2016-01-19,1938
2016-01-20,2452
2016-01-21,2239
2016-01-22,2117
2016-01-23,2111
2016-01-24,2391
2016-01-25,2227
2016-01-26,3127
2016-01-27,3306
2016-01-28,2789
2016-01-29,2037
2016-01-30,2598
2016-01-31,3260
2016-02-01,3045
2016-02-02,3147
2016-02-03,3203
2016-02-04,2880
2016-02-05,2520
2016-02-06,2382
2016-02-07,1923
2016-02-08,1998
2016-02-09,2245
2016-02-10,2518
2016-02-11,2480
2016-02-12,2115
2016-02-13,1886
2016-02-14,1910
2016-02-15,2292
2016-02-16,2790
2016-02-17,3843
2016-02-18,3265
2016-02-19,3150
2016-02-20,2964
2016-02-21,2622
2016-02-22,2742
2016-02-23,3158
2016-02-24,2673
2016-02-25,3218
2016-02-26,3195
2016-02-27,2690
2016-02-28,2624
2016-02-29,2155
2016-03-01,2871
2016-03-02,3360
2016-03-03,3361
2016-03-04,2949
2016-03-05,2274
2016-03-06,2711
2016-03-07,3500
2016-03-08,2791
2016-03-09,2401
2016-03-10,2695
2016-03-11,2817
2016-03-12,3380
2016-03-13,3445
2016-03-14,3152
2016-03-15,3214
2016-03-16,3558
2016-03-17,3236
2016-03-18,2683
2016-03-19,2862
2016-03-20,3451
2016-03-21,3571
2016-03-22,3295
2016-03-23,2884
2016-03-24,2595
2016-03-25,2767
2016-03-26,3103
2016-03-27,3277
2016-03-28,3294
2016-03-29,2826
2016-03-30,3456
2016-03-31,3578
2016-04-01,3468
2016-04-02,3239
2016-04-03,2900
2016-04-04,3004
2016-04-05,3702
2016-04-06,2859
2016-04-07,2441
2016-04-08,4060
2016-04-09,4046
2016-04-10,2984
2016-04-11,2837
2016-04-12,2732
2016-04-13,3079
2016-04-14,3883
2016-04-15,3172
2016-04-16,2517
2016-04-17,2668
2016-04-18,3280
2016-04-19,4145
2016-04-20,3095
2016-04-21,2756
2016-04-22,3948
2016-04-23,4032
2016-04-24,3810
2016-04-25,4114
2016-04-26,3105
2016-04-27,2274
2016-04-28,2675
2016-04-29,3215
2016-04-30,3733
2016-05-01,3560
2016-05-02,2417
2016-05-03,2260
2016-05-04,3511
2016-05-05,3127
2016-05-06,3081
2016-05-07,4297
2016-05-08,3843
2016-05-09,3334
2016-05-10,2981
2016-05-11,3598
2016-05-12,3895
2016-05-13,3644
2016-05-14,2889
2016-05-15,2830
2016-05-16,3390
2016-05-17,5381
2016-05-18,4653
2016-05-19,4682
2016-05-20,4303
2016-05-21,4006
2016-05-22,3966
2016-05-23,3257
2016-05-24,2821
2016-05-25,4211
2016-05-26,4543
2016-05-27,4847
2016-05-28,4784
2016-05-29,4027
2016-05-30,4328
2016-05-31,3898
2016-06-01,3180
2016-06-02,4349
2016-06-03,4165
2016-06-04,3031
2016-06-05,2895
2016-06-06,3382
2016-06-07,3802
2016-06-08,3782
2016-06-09,3942
2016-06-10,3928
2016-06-11,3633
2016-06-12,3501
2016-06-13,3419
2016-06-14,3429
2016-06-15,3116
2016-06-16,3756
2016-06-17,4792
2016-06-18,3667
2016-06-19,3716
2016-06-20,3436
2016-06-21,2868
2016-06-22,2805
2016-06-23,3373
2016-06-24,3017
2016-06-25,3609
2016-06-26,4723
2016-06-27,4150
2016-06-28,3434
2016-06-29,3121
2016-06-30,3172
2016-07-01,2907
2016-07-02,2865
2016-07-03,3501
2016-07-04,3524
2016-07-05,3833
2016-07-06,3943
2016-07-07,3973
2016-07-08,3445
2016-07-09,3881
2016-07-10,4073
2016-07-11,3341
2016-07-12,2951
2016-07-13,3395
2016-07-14,3645
2016-07-15,3368
2016-07-16,3234
2016-07-17,3585
2016-07-18,3880
