date,fishing
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,0
2016-08-17,0
2016-08-18,0
2016-08-19,4
2016-08-20,0
2016-08-21,0
2016-08-22,0
2016-08-23,0
2016-08-24,4
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,0
2016-08-31,0
2016-09-01,0
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,7
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,7
2016-09-11,0
2016-09-12,0
2016-09-13,0
2016-10-18,0
2016-10-19,13
2016-10-20,0
2016-10-21,3
2016-10-22,22
2016-10-23,18
2016-10-24,23
2016-10-25,10
2016-10-26,17
2016-10-27,12
2016-10-29,9
2016-10-30,13
2016-11-01,12
2016-11-02,15
2016-11-03,20
2016-11-04,14
2016-11-05,19
2016-11-06,20
2016-11-07,14
2016-11-10,15
2016-11-11,6
2016-11-14,3
2016-11-15,0
2016-11-16,18
2016-11-17,10
