date,fishing
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,0
2016-01-13,0
2016-01-14,0
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,0
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-03-01,0
2016-03-07,0
2016-03-08,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,0
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,0
2016-05-11,0
2016-05-12,0
2016-05-13,0
2016-05-14,0
2016-05-15,0
2016-05-16,0
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,0
2016-05-24,0
2016-05-25,24
2016-05-26,47
2016-05-27,42
2016-05-28,31
2016-05-29,44
2016-05-30,47
2016-05-31,44
2016-06-01,23
2016-06-02,19
2016-06-03,51
2016-06-04,29
2016-06-05,33
2016-06-06,46
2016-06-07,25
2016-06-08,29
2016-06-09,5
2016-06-10,15
2016-06-11,9
2016-06-12,81
2016-06-13,29
2016-06-14,8
2016-06-15,41
2016-06-16,22
2016-06-17,1
2016-06-18,0
2016-06-19,3
2016-06-20,3
2016-06-21,0
2016-06-22,0
2016-06-23,3
2016-06-24,9
2016-06-25,17
2016-06-26,17
2016-06-27,22
2016-06-28,23
2016-06-29,24
2016-06-30,2
2016-07-01,23
2016-07-02,23
2016-07-03,24
2016-07-04,23
2016-07-05,8
2016-07-06,0
2016-07-07,0
2016-07-08,15
2016-07-09,23
2016-07-10,24
2016-07-11,23
2016-07-12,23
