date,fishing
2016-01-01,0
2016-01-02,2
2016-01-03,91
2016-01-04,46
2016-01-05,54
2016-01-06,27
2016-01-07,22
2016-01-08,0
2016-01-09,12
2016-01-10,0
2016-01-11,7
2016-01-12,8
2016-01-13,0
2016-01-14,7
2016-01-15,57
2016-01-16,23
2016-01-17,34
2016-01-18,18
2016-01-19,20
2016-01-20,41
2016-01-21,41
2016-01-22,47
2016-01-23,82
2016-01-24,39
2016-01-25,74
2016-01-26,31
2016-01-27,14
2016-01-28,16
2016-01-29,8
2016-01-30,10
2016-01-31,32
2016-02-01,31
2016-02-02,35
2016-02-03,28
2016-02-04,35
2016-02-05,55
2016-02-06,53
2016-02-07,24
2016-02-08,27
2016-02-09,37
2016-02-10,37
2016-02-11,97
2016-02-12,70
2016-02-13,50
2016-02-14,64
2016-02-15,114
2016-02-16,78
2016-02-17,95
2016-02-18,41
2016-02-19,134
2016-02-20,84
2016-02-21,44
2016-02-22,22
2016-02-23,22
2016-02-24,31
2016-02-25,51
2016-02-26,50
2016-02-27,67
2016-02-28,127
2016-02-29,71
2016-03-01,51
2016-03-02,104
2016-03-03,110
2016-03-04,72
2016-03-05,88
2016-03-06,27
2016-03-07,10
2016-03-08,228
2016-03-09,253
2016-03-10,191
2016-03-11,35
2016-03-12,53
2016-03-13,182
2016-03-14,108
2016-03-15,87
2016-03-16,288
2016-03-17,134
2016-03-18,14
2016-03-19,16
2016-03-20,113
2016-03-21,94
2016-03-22,120
2016-03-23,110
2016-03-24,43
2016-03-25,36
2016-03-26,87
2016-03-27,35
2016-03-28,28
2016-03-29,21
2016-03-30,122
2016-03-31,84
2016-04-01,76
2016-04-02,160
2016-04-03,203
2016-04-04,202
2016-04-05,145
2016-04-06,62
2016-04-07,50
2016-04-08,151
2016-04-09,157
2016-04-10,203
2016-04-11,148
2016-04-12,187
2016-04-13,174
2016-04-14,228
2016-04-15,243
2016-04-16,50
2016-04-17,26
2016-04-18,17
2016-04-19,19
2016-04-20,40
2016-04-21,69
2016-04-22,57
2016-04-23,229
2016-04-24,97
2016-04-25,100
2016-04-26,99
2016-04-27,81
2016-04-28,94
2016-04-29,157
2016-04-30,175
2016-05-01,174
2016-05-02,186
2016-05-03,140
2016-05-04,241
2016-05-05,228
2016-05-06,172
2016-05-07,188
2016-05-08,236
2016-05-09,236
2016-05-10,205
2016-05-11,151
2016-05-12,129
2016-05-13,222
2016-05-14,166
2016-05-15,80
2016-05-16,54
2016-05-17,51
2016-05-18,103
2016-05-19,221
2016-05-20,360
2016-05-21,199
2016-05-22,150
2016-05-23,122
2016-05-24,178
2016-05-25,158
2016-05-26,182
2016-05-27,333
2016-05-28,324
2016-05-29,218
2016-05-30,105
2016-05-31,129
2016-06-01,221
2016-06-02,287
2016-06-03,188
2016-06-04,50
2016-06-05,65
2016-06-06,65
2016-06-07,242
2016-06-08,176
2016-06-09,31
2016-06-10,21
2016-06-11,19
2016-06-12,86
2016-06-13,205
2016-06-14,195
2016-06-15,107
2016-06-16,43
2016-06-17,22
2016-06-18,56
2016-06-19,169
2016-06-20,346
2016-06-21,334
2016-06-22,199
2016-06-23,125
2016-06-24,174
2016-06-25,190
2016-06-26,121
2016-06-27,132
2016-06-28,311
2016-06-29,280
2016-06-30,129
2016-07-01,47
2016-07-02,44
2016-07-03,49
2016-07-04,45
2016-07-05,49
2016-07-06,48
2016-07-07,36
2016-07-08,43
2016-07-09,60
2016-07-10,44
2016-07-11,38
2016-07-12,20
2016-07-13,7
2016-07-14,0
2016-07-15,2
2016-07-16,22
2016-07-17,20
2016-07-18,20
2016-07-19,22
2016-07-20,14
2016-07-21,21
2016-07-22,22
2016-07-23,24
2016-07-24,33
2016-07-25,32
2016-07-26,23
2016-07-27,16
2016-07-28,30
2016-07-29,28
2016-07-30,23
2016-07-31,49
2016-08-01,48
2016-08-02,35
2016-08-03,29
2016-08-04,48
2016-08-05,32
2016-08-06,23
2016-08-07,24
2016-08-08,22
2016-08-09,24
2016-08-10,25
2016-08-11,22
2016-08-12,24
2016-08-13,24
2016-08-14,22
2016-08-15,18
2016-08-16,33
2016-08-17,0
2016-08-18,0
2016-08-19,0
2016-08-20,1
2016-08-21,23
2016-08-22,40
2016-08-23,50
2016-08-24,65
2016-08-25,58
2016-08-26,47
2016-08-27,72
2016-08-28,83
2016-08-29,72
2016-08-30,82
2016-08-31,81
2016-09-01,91
2016-09-02,115
2016-09-03,115
2016-09-04,94
2016-09-05,52
2016-09-06,77
2016-09-07,64
2016-09-08,142
2016-09-09,113
2016-09-10,156
2016-09-11,124
2016-09-12,124
2016-09-13,149
2016-09-14,99
2016-09-15,150
2016-09-16,207
2016-09-17,264
2016-09-18,135
2016-09-19,123
2016-09-20,148
2016-09-21,150
2016-09-22,153
2016-09-23,82
2016-09-24,110
2016-09-25,207
2016-09-26,236
2016-09-27,185
2016-09-28,32
2016-09-29,23
2016-09-30,24
2016-10-01,74
2016-10-02,152
2016-10-03,60
2016-10-04,57
2016-10-05,40
2016-10-06,28
2016-10-07,46
2016-10-08,49
2016-10-09,47
2016-10-10,57
2016-10-11,122
2016-10-12,258
2016-10-13,247
2016-10-14,237
2016-10-15,161
2016-10-16,150
2016-10-17,177
2016-10-18,274
2016-10-19,290
2016-10-20,198
2016-10-21,94
2016-10-22,112
2016-10-23,176
2016-10-24,248
2016-10-25,376
2016-10-26,239
2016-10-27,65
2016-10-28,44
2016-10-29,55
2016-10-30,71
2016-10-31,71
2016-11-01,24
2016-11-02,16
2016-11-03,50
2016-11-04,234
2016-11-05,118
2016-11-06,50
2016-11-07,97
2016-11-08,185
2016-11-09,230
2016-11-10,146
2016-11-11,177
2016-11-12,198
2016-11-13,149
2016-11-14,79
2016-11-15,4
2016-11-16,54
2016-11-17,19
2016-11-18,7
2016-11-19,115
2016-11-20,128
2016-11-21,28
2016-11-22,35
2016-11-23,88
2016-11-24,68
2016-11-25,79
2016-11-26,23
2016-11-27,23
2016-11-28,38
2016-11-29,52
2016-11-30,34
2016-12-01,53
2016-12-02,31
2016-12-03,61
2016-12-04,172
2016-12-05,31
2016-12-06,48
2016-12-07,35
2016-12-08,62
2016-12-09,51
2016-12-10,106
2016-12-11,64
2016-12-12,25
2016-12-13,0
2016-12-14,0
2016-12-15,139
2016-12-16,175
2016-12-17,207
2016-12-18,66
2016-12-19,87
2016-12-20,226
2016-12-21,28
2016-12-22,24
2016-12-23,23
2016-12-24,26
2016-12-25,24
2016-12-26,23
2016-12-27,24
2016-12-28,25
2016-12-29,32
2016-12-30,27
2016-12-31,26
