date,fishing
2016-01-01,0
2016-01-02,17
2016-01-03,4
2016-01-04,0
2016-01-05,9
2016-01-06,42
2016-01-07,56
2016-01-08,33
2016-01-09,70
2016-01-10,48
2016-01-11,13
2016-01-12,75
2016-01-13,48
2016-01-14,91
2016-01-15,82
2016-01-16,89
2016-01-17,45
2016-01-18,26
2016-01-19,29
2016-01-20,85
2016-01-21,107
2016-01-22,99
2016-01-23,214
2016-01-24,127
2016-01-25,118
2016-01-26,218
2016-01-27,346
2016-01-28,284
2016-01-29,215
2016-01-30,299
2016-01-31,363
2016-02-01,319
2016-02-02,346
2016-02-03,226
2016-02-04,154
2016-02-05,129
2016-02-06,134
2016-02-07,108
2016-02-08,99
2016-02-09,144
2016-02-10,146
2016-02-11,178
2016-02-12,150
2016-02-13,231
2016-02-14,225
2016-02-15,239
2016-02-16,231
2016-02-17,280
2016-02-18,265
2016-02-19,265
2016-02-20,211
2016-02-21,125
2016-02-22,105
2016-02-23,247
2016-02-24,218
2016-02-25,240
2016-02-26,246
2016-02-27,320
2016-02-28,309
2016-02-29,278
2016-03-01,312
2016-03-02,252
2016-03-03,304
2016-03-04,297
2016-03-05,258
2016-03-06,168
2016-03-07,172
2016-03-08,225
2016-03-09,227
2016-03-10,180
2016-03-11,165
2016-03-12,200
2016-03-13,219
2016-03-14,254
2016-03-15,271
2016-03-16,281
2016-03-17,255
2016-03-18,192
2016-03-19,137
2016-03-20,176
2016-03-21,166
2016-03-22,201
2016-03-23,272
2016-03-24,259
2016-03-25,261
2016-03-26,234
2016-03-27,229
2016-03-28,299
2016-03-29,286
2016-03-30,323
2016-03-31,377
2016-04-01,278
2016-04-02,238
2016-04-03,199
2016-04-04,138
2016-04-05,178
2016-04-06,197
2016-04-07,199
2016-04-08,96
2016-04-09,152
2016-04-10,261
2016-04-11,265
2016-04-12,230
2016-04-13,206
2016-04-14,222
2016-04-15,248
2016-04-16,227
2016-04-17,246
2016-04-18,280
2016-04-19,276
2016-04-20,226
2016-04-21,314
2016-04-22,296
2016-04-23,247
2016-04-24,169
2016-04-25,164
2016-04-26,273
2016-04-27,270
2016-04-28,259
2016-04-29,192
2016-04-30,193
2016-05-01,183
2016-05-02,198
2016-05-03,138
2016-05-04,168
2016-05-05,178
2016-05-06,212
2016-05-07,167
2016-05-08,190
2016-05-09,131
2016-05-10,175
2016-05-11,160
2016-05-12,227
2016-05-13,256
2016-05-14,152
2016-05-15,280
2016-05-16,260
2016-05-17,190
2016-05-18,250
2016-05-19,212
2016-05-20,219
2016-05-21,226
2016-05-22,242
2016-05-23,189
2016-05-24,215
2016-05-25,200
2016-05-26,192
2016-05-27,113
2016-05-28,148
2016-05-29,125
2016-05-30,107
2016-05-31,91
2016-06-01,174
2016-06-02,198
2016-06-03,160
2016-06-04,173
2016-06-05,176
2016-06-06,231
2016-06-07,213
2016-06-08,242
2016-06-09,163
2016-06-10,228
2016-06-11,191
2016-06-12,188
2016-06-13,215
2016-06-14,277
2016-06-15,261
2016-06-16,193
2016-06-17,282
2016-06-18,239
2016-06-19,234
2016-06-20,228
2016-06-21,224
2016-06-22,194
2016-06-23,132
2016-06-24,119
2016-06-25,198
2016-06-26,194
2016-06-27,143
2016-06-28,167
2016-06-29,180
2016-06-30,242
2016-07-01,168
2016-07-02,142
2016-07-03,223
2016-07-04,274
2016-07-05,305
2016-07-06,212
2016-07-07,190
2016-07-08,166
2016-07-09,231
2016-07-10,169
2016-07-11,176
2016-07-12,202
2016-07-13,192
2016-07-14,205
2016-07-15,174
2016-07-16,142
2016-07-17,122
2016-07-18,121
2016-07-19,120
2016-07-20,112
2016-07-21,131
2016-07-22,101
2016-07-23,150
2016-07-24,155
2016-07-25,117
2016-07-26,173
2016-07-27,167
2016-07-28,120
2016-07-29,114
2016-07-30,115
2016-07-31,120
2016-08-01,89
2016-08-02,66
2016-08-03,97
2016-08-04,100
2016-08-05,82
2016-08-06,101
2016-08-07,80
2016-08-08,73
2016-08-09,92
2016-08-10,88
2016-08-11,99
2016-08-12,129
2016-08-13,124
2016-08-14,105
2016-08-15,120
2016-08-16,128
2016-08-17,115
2016-08-18,168
2016-08-19,197
2016-08-20,128
2016-08-21,103
2016-08-22,124
2016-08-23,202
2016-08-24,135
2016-08-25,112
2016-08-26,157
2016-08-27,194
2016-08-28,159
2016-08-29,99
2016-08-30,150
2016-08-31,186
2016-09-01,180
2016-09-02,247
2016-09-03,192
2016-09-04,170
2016-09-05,158
2016-09-06,138
2016-09-07,158
2016-09-08,206
2016-09-09,258
2016-09-10,139
2016-09-11,93
2016-09-12,119
2016-09-13,107
2016-09-14,133
2016-09-15,101
2016-09-16,148
2016-09-17,127
2016-09-18,133
2016-09-19,126
2016-09-20,199
2016-09-21,155
2016-09-22,163
2016-09-23,190
2016-09-24,169
2016-09-25,148
2016-09-26,149
2016-09-27,195
2016-09-28,168
2016-09-29,171
2016-09-30,122
2016-10-01,119
2016-10-02,111
2016-10-03,176
2016-10-04,201
2016-10-05,200
2016-10-06,267
2016-10-07,202
2016-10-08,187
2016-10-09,254
2016-10-10,290
2016-10-11,230
2016-10-12,197
2016-10-13,187
2016-10-14,230
2016-10-15,224
2016-10-16,151
2016-10-17,98
2016-10-18,108
2016-10-19,140
2016-10-20,178
2016-10-21,174
2016-10-22,177
2016-10-23,140
2016-10-24,215
2016-10-25,232
2016-10-26,234
2016-10-27,237
2016-10-28,218
2016-10-29,115
2016-10-30,101
2016-10-31,129
2016-11-01,79
2016-11-02,93
2016-11-03,144
2016-11-04,178
2016-11-05,154
2016-11-06,247
2016-11-07,252
2016-11-08,196
2016-11-09,155
2016-11-10,141
2016-11-11,125
2016-11-12,107
2016-11-13,138
2016-11-14,107
2016-11-15,102
2016-11-16,38
2016-11-17,14
2016-11-18,14
2016-11-19,0
2016-11-20,0
2016-11-21,0
2016-11-22,19
2016-11-23,47
2016-11-24,37
2016-11-25,23
2016-11-26,14
2016-11-27,0
2016-11-28,0
2016-11-29,5
2016-11-30,23
2016-12-01,20
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,14
2016-12-08,5
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,4
2016-12-14,7
2016-12-15,0
2016-12-16,4
2016-12-17,0
2016-12-18,0
2016-12-19,14
2016-12-20,3
2016-12-21,0
2016-12-22,4
2016-12-23,5
2016-12-24,0
2016-12-25,0
2016-12-26,8
2016-12-27,22
2016-12-28,19
2016-12-29,4
2016-12-30,0
2016-12-31,0
