date,fishing
2016-01-01,11
2016-01-02,2
2016-01-03,1
2016-01-04,16
2016-01-05,21
2016-01-06,26
2016-01-07,10
2016-01-08,10
2016-01-09,48
2016-01-10,40
2016-01-11,30
2016-01-12,25
2016-01-13,35
2016-01-14,27
2016-01-15,37
2016-01-16,34
2016-01-17,38
2016-01-18,34
2016-01-19,16
2016-01-20,12
2016-01-21,26
2016-01-22,46
2016-01-23,39
2016-01-24,36
2016-01-25,61
2016-01-26,32
2016-01-27,53
2016-01-28,36
2016-01-29,22
2016-01-30,12
2016-01-31,17
2016-02-01,30
2016-02-02,19
2016-02-03,28
2016-02-04,51
2016-02-05,44
2016-02-06,99
2016-02-07,109
2016-02-08,15
2016-02-09,61
2016-02-10,60
2016-02-11,51
2016-02-12,75
2016-02-13,80
2016-02-14,113
2016-02-15,78
2016-02-16,103
2016-02-17,104
2016-02-18,72
2016-02-19,80
2016-02-20,102
2016-02-21,103
2016-02-22,132
2016-02-23,116
2016-02-24,111
2016-02-25,104
2016-02-26,164
2016-02-27,121
2016-02-28,97
2016-02-29,110
2016-03-01,108
2016-03-02,72
2016-03-03,132
2016-03-04,161
2016-03-05,123
2016-03-06,110
2016-03-07,117
2016-03-08,80
2016-03-09,69
2016-03-10,53
2016-03-11,42
2016-03-12,38
2016-03-13,62
2016-03-14,49
2016-03-15,68
2016-03-16,68
2016-03-17,78
2016-03-18,57
2016-03-19,82
2016-03-20,83
2016-03-21,72
2016-03-22,76
2016-03-23,80
2016-03-24,59
2016-03-25,57
2016-03-26,39
2016-03-27,73
2016-03-28,48
2016-03-29,71
2016-03-30,48
2016-03-31,59
2016-04-01,77
2016-04-02,52
2016-04-03,29
2016-04-04,52
2016-04-05,44
2016-04-06,75
2016-04-07,52
2016-04-08,69
2016-04-09,55
2016-04-10,47
2016-04-11,52
2016-04-12,27
2016-04-13,46
2016-04-14,40
2016-04-15,50
2016-04-16,41
2016-04-17,42
2016-04-18,25
2016-04-19,68
2016-04-20,61
2016-04-21,61
2016-04-22,82
2016-04-23,80
2016-04-24,76
2016-04-25,79
2016-04-26,75
2016-04-27,79
2016-04-28,75
2016-04-29,84
2016-04-30,63
2016-05-01,11
2016-05-02,0
2016-05-03,2
2016-05-04,0
2016-05-05,17
2016-05-06,61
2016-05-07,59
2016-05-08,47
2016-05-09,57
2016-05-10,62
2016-05-11,39
2016-05-12,42
2016-05-13,52
2016-05-14,48
2016-05-15,26
2016-05-16,46
2016-05-17,44
2016-05-18,34
2016-05-19,14
2016-05-20,12
2016-05-21,25
2016-05-22,17
2016-05-23,55
2016-05-24,63
2016-05-25,47
2016-05-26,45
2016-05-27,56
2016-05-28,77
2016-05-29,52
2016-05-30,48
2016-05-31,80
2016-06-01,68
