date,fishing
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,6
2016-01-06,0
2016-01-07,0
2016-01-08,2
2016-01-09,0
2016-01-10,5
2016-01-11,5
2016-01-12,0
2016-01-13,0
2016-01-14,12
2016-01-15,24
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,8
2016-01-21,29
2016-01-22,52
2016-01-23,34
2016-01-24,48
2016-01-25,36
2016-01-26,41
2016-01-27,106
2016-01-28,94
2016-01-29,76
2016-01-30,58
2016-01-31,16
2016-02-01,8
2016-02-02,42
2016-02-03,52
2016-02-04,5
2016-02-05,5
2016-02-06,31
2016-02-07,24
2016-02-08,20
2016-02-09,0
2016-02-10,0
2016-02-11,5
2016-02-12,38
2016-02-13,6
2016-02-14,30
2016-02-15,66
2016-02-16,39
2016-02-17,16
2016-02-18,2
2016-02-19,2
2016-02-20,24
2016-02-21,58
2016-02-22,81
2016-02-23,64
2016-02-24,30
2016-02-25,42
2016-02-26,82
2016-02-27,18
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,3
2016-03-08,53
2016-03-09,21
2016-03-10,0
2016-03-11,0
2016-03-12,28
2016-03-13,0
2016-03-14,0
2016-03-15,37
2016-03-16,40
2016-03-17,41
2016-03-18,32
2016-03-19,61
2016-03-20,77
2016-03-21,8
2016-03-22,1
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,15
2016-03-28,48
2016-03-29,59
2016-03-30,83
2016-03-31,73
2016-04-01,0
2016-04-02,20
2016-04-03,18
2016-04-04,17
2016-04-05,17
2016-04-06,0
2016-04-07,26
2016-04-08,1
2016-04-09,24
2016-04-10,26
2016-04-11,125
2016-04-12,191
2016-04-13,200
2016-04-14,108
2016-04-15,87
2016-04-16,118
2016-04-17,128
2016-04-18,63
2016-04-19,35
2016-04-20,8
2016-04-21,8
2016-04-22,29
2016-04-23,60
2016-04-24,18
2016-04-25,0
2016-04-26,12
2016-04-27,10
2016-04-28,15
2016-04-29,21
2016-04-30,67
2016-05-01,38
2016-05-02,11
2016-05-03,0
2016-05-04,0
2016-05-05,90
2016-05-06,102
2016-05-07,44
2016-05-08,14
2016-05-09,0
2016-05-10,0
2016-05-11,16
2016-05-12,34
2016-05-13,47
2016-05-14,62
2016-05-15,48
2016-05-16,108
2016-05-17,42
2016-05-18,74
2016-05-19,58
2016-05-20,6
2016-05-21,41
2016-05-22,151
2016-05-23,182
2016-05-24,184
2016-05-25,244
2016-05-26,323
2016-05-27,360
2016-05-28,408
2016-05-29,301
2016-05-30,245
2016-05-31,312
2016-06-01,202
2016-06-02,211
2016-06-03,320
2016-06-04,296
2016-06-05,272
2016-06-06,238
2016-06-07,330
2016-06-08,229
2016-06-09,120
2016-06-10,213
2016-06-11,164
2016-06-12,295
2016-06-13,199
2016-06-14,125
2016-06-15,240
2016-06-16,303
2016-06-17,220
