date,fishing
2016-11-20,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-30,0
2016-12-01,22
2016-12-02,24
2016-12-03,12
2016-12-05,16
2016-12-06,23
2016-12-07,18
2016-12-08,23
2016-12-09,23
2016-12-10,23
2016-12-11,23
2016-12-12,14
2016-12-13,9
2016-12-14,16
2016-12-15,10
2016-12-16,2
2016-12-17,13
2016-12-18,23
2016-12-19,19
2016-12-20,4
2016-12-21,22
2016-12-22,23
2016-12-23,23
2016-12-24,13
2016-12-25,23
2016-12-26,17
2016-12-27,12
2016-12-28,1
