date,fishing
2016-01-01,21
2016-01-02,21
2016-01-03,23
2016-01-04,18
2016-01-05,14
2016-01-06,21
2016-01-07,4
2016-01-08,0
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,0
2016-01-13,0
2016-01-14,0
2016-01-15,0
2016-01-16,4
2016-01-17,12
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,13
2016-01-26,29
2016-01-27,5
2016-01-28,0
2016-01-29,0
2016-01-30,6
2016-01-31,33
2016-02-01,29
2016-02-02,19
2016-02-03,19
2016-02-04,27
2016-02-05,31
2016-02-06,24
2016-02-07,22
2016-02-08,25
2016-02-09,24
2016-02-10,23
2016-02-11,28
2016-02-12,33
2016-02-13,35
2016-02-14,35
2016-02-15,46
2016-02-16,45
2016-02-17,41
2016-02-18,18
2016-02-19,35
2016-02-20,58
2016-02-21,56
2016-02-22,56
2016-02-23,67
2016-02-24,68
2016-02-25,62
2016-02-26,66
2016-02-27,82
2016-02-28,88
2016-02-29,83
2016-03-01,68
2016-03-02,67
2016-03-03,68
2016-03-04,49
2016-03-05,60
2016-03-06,71
2016-03-07,52
2016-03-08,43
2016-03-09,29
2016-03-10,49
2016-03-11,69
2016-03-12,56
2016-03-13,57
2016-03-14,62
2016-03-15,67
2016-03-16,61
2016-03-17,51
2016-03-18,42
2016-03-19,45
2016-03-20,33
2016-03-21,21
2016-03-22,11
2016-03-23,4
2016-03-24,4
2016-03-25,15
2016-03-26,0
2016-03-27,6
2016-03-28,13
2016-03-29,15
2016-03-30,15
2016-03-31,26
2016-04-01,13
2016-04-02,22
2016-04-03,21
2016-04-04,23
2016-04-05,25
2016-04-06,31
2016-04-07,64
2016-04-08,16
2016-04-09,43
2016-04-10,31
2016-04-11,26
2016-04-12,24
2016-04-13,27
2016-04-14,23
2016-04-15,23
2016-04-16,19
2016-04-17,21
2016-04-18,39
2016-04-19,43
2016-04-20,47
2016-04-21,48
2016-04-22,47
2016-04-23,53
2016-04-24,69
2016-04-25,65
2016-04-26,69
2016-04-27,62
2016-04-28,55
2016-04-29,31
2016-04-30,27
2016-05-01,77
2016-05-02,87
2016-05-03,55
2016-05-04,42
2016-05-05,47
2016-05-06,47
2016-05-07,44
2016-05-08,48
2016-05-09,60
2016-05-10,49
2016-05-11,47
2016-05-12,48
2016-05-13,55
2016-05-14,65
2016-05-15,61
2016-05-16,71
2016-05-17,79
2016-05-18,71
2016-05-19,49
2016-05-20,54
2016-05-21,69
2016-05-22,59
2016-05-23,64
2016-05-24,65
2016-05-25,67
2016-05-26,78
2016-05-27,78
2016-05-28,56
2016-05-29,34
