date,fishing
2016-01-01,114
2016-01-02,100
2016-01-03,108
2016-01-04,130
2016-01-05,79
2016-01-06,79
2016-01-07,113
2016-01-08,122
2016-01-09,122
2016-01-10,139
2016-01-11,144
2016-01-12,130
2016-01-13,119
2016-01-14,84
2016-01-15,42
2016-01-16,151
2016-01-17,191
2016-01-18,124
2016-01-19,119
2016-01-20,112
2016-01-21,118
2016-01-22,167
2016-01-23,143
2016-01-24,101
2016-01-25,65
2016-01-26,75
2016-01-27,96
2016-01-28,132
2016-01-29,175
2016-01-30,132
2016-01-31,108
2016-02-01,99
2016-02-02,124
2016-02-03,117
2016-02-04,119
2016-02-05,48
2016-02-06,96
2016-02-07,110
2016-02-08,81
2016-02-09,64
2016-02-10,48
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,18
2016-02-15,25
2016-02-16,0
2016-02-17,24
2016-02-18,0
2016-02-19,8
2016-02-20,0
2016-02-21,0
2016-02-22,21
2016-02-23,49
2016-02-24,64
2016-02-25,24
2016-02-26,37
2016-02-27,48
2016-02-28,38
2016-02-29,4
2016-03-01,0
2016-03-02,10
2016-03-03,0
2016-03-04,0
2016-03-05,9
2016-03-06,1
2016-03-07,0
2016-03-09,0
2016-03-12,16
2016-03-13,13
2016-03-14,27
2016-03-15,1
2016-03-16,30
2016-03-17,51
2016-03-18,35
2016-03-19,45
2016-03-20,50
2016-03-21,11
2016-03-22,26
2016-03-23,99
2016-03-24,113
2016-03-25,99
2016-03-26,122
2016-03-27,108
2016-03-28,116
2016-03-29,121
2016-03-30,125
2016-03-31,143
2016-04-01,136
2016-04-02,129
2016-04-03,136
2016-04-04,105
2016-04-05,35
2016-04-06,109
2016-04-07,117
2016-04-08,150
2016-04-09,120
2016-04-10,136
2016-04-11,113
2016-04-12,153
2016-04-13,181
2016-04-14,173
2016-04-15,116
2016-04-16,118
2016-04-17,127
2016-04-18,133
2016-04-19,165
2016-04-20,155
2016-04-21,209
2016-04-22,313
2016-04-23,254
2016-04-24,225
2016-04-25,147
2016-04-26,135
2016-04-27,170
2016-04-28,146
2016-04-29,166
2016-04-30,185
2016-05-01,187
2016-05-02,148
2016-05-03,134
2016-05-04,134
2016-05-05,196
2016-05-06,168
2016-05-07,168
2016-05-08,144
2016-05-09,181
2016-05-10,164
2016-05-11,140
2016-05-12,163
2016-05-13,129
2016-05-14,146
2016-05-15,165
2016-05-16,160
2016-05-17,135
2016-05-18,107
2016-05-19,105
2016-05-20,113
2016-05-21,120
2016-05-22,120
2016-05-23,119
2016-05-24,121
2016-05-25,115
2016-05-26,123
2016-05-27,117
2016-05-28,113
2016-05-29,118
2016-05-30,117
2016-05-31,110
2016-06-01,116
2016-06-02,100
2016-06-03,69
2016-06-04,134
2016-06-05,178
2016-06-06,148
2016-06-07,127
2016-06-08,129
2016-06-09,155
2016-06-10,176
2016-06-11,181
2016-06-12,131
2016-06-13,116
2016-06-14,122
2016-06-15,119
2016-06-16,152
2016-06-17,129
2016-06-18,171
2016-06-19,182
2016-06-20,157
2016-06-21,190
2016-06-22,112
2016-06-23,150
2016-06-24,142
2016-06-25,139
2016-06-26,91
2016-06-27,136
2016-06-28,87
2016-06-29,154
2016-06-30,117
2016-07-01,123
2016-07-02,144
2016-07-03,119
2016-07-04,120
2016-07-05,107
2016-07-06,118
2016-07-07,120
2016-07-08,118
2016-07-09,139
2016-07-10,155
2016-07-11,180
2016-07-12,115
2016-07-13,97
2016-07-14,162
2016-07-15,152
